RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
46.000000 	 50.000000 	 0.171154 	 0.444722 
43.000000 	 50.000000 	 0.273155 	 0.433930 
40.000000 	 50.000000 	 0.235372 	 0.426529 
38.000000 	 50.000000 	 0.254269 	 0.444329 
36.000000 	 50.000000 	 0.235463 	 0.447661 
34.000000 	 50.000000 	 0.235715 	 0.486437 
33.000000 	 50.000000 	 0.297786 	 0.472554 
32.000000 	 50.000000 	 0.263166 	 0.484209 
31.000000 	 50.000000 	 0.314814 	 0.511048 
30.000000 	 50.000000 	 0.286405 	 0.589905 
29.000000 	 50.000000 	 0.382155 	 0.774091 
28.000000 	 50.000000 	 0.526664 	 0.916382 
27.000000 	 50.000000 	 0.705736 	 1.219386 
26.000000 	 50.000000 	 0.890708 	 1.383536 
25.000000 	 50.000000 	 1.388116 	 1.799088 
24.000000 	 50.000000 	 1.739218 	 1.960191 
23.000000 	 50.000000 	 2.322421 	 2.318783 
22.000000 	 50.000000 	 2.822746 	 2.684511 
21.000000 	 50.000000 	 3.507925 	 2.715450 
20.000000 	 50.000000 	 3.924101 	 2.797977 
19.000000 	 50.000000 	 4.343531 	 2.812996 
18.000000 	 50.000000 	 4.776410 	 2.706578 
17.000000 	 50.000000 	 5.239401 	 2.592818 
16.000000 	 50.000000 	 5.628859 	 2.521858 
15.000000 	 50.000000 	 6.195896 	 2.205652 
14.000000 	 50.000000 	 6.459847 	 2.102201 
13.000000 	 50.000000 	 6.563730 	 1.986619 
12.000000 	 50.000000 	 6.101161 	 2.036802 
11.000000 	 50.000000 	 5.488022 	 2.136398 
10.000000 	 50.000000 	 3.892508 	 2.179628 
9.000000 	 50.000000 	 2.564515 	 2.035328 
8.000000 	 50.000000 	 1.429079 	 1.703216 
7.000000 	 50.000000 	 0.747621 	 1.553891 
6.000000 	 50.000000 	 0.250383 	 1.456861 
5.000000 	 50.000000 	 -0.009837 	 1.332051 
4.000000 	 50.000000 	 0.039450 	 1.279110 
3.000000 	 50.000000 	 0.062932 	 1.244496 
2.000000 	 50.000000 	 0.081892 	 1.268259 
1.000000 	 50.000000 	 0.130798 	 1.220545 
0.000000 	 50.000000 	 0.233328 	 1.243644 
-1.000000 	 50.000000 	 0.168583 	 1.244902 
-2.000000 	 50.000000 	 0.177991 	 1.320146 
-3.000000 	 50.000000 	 0.133032 	 1.385660 
-4.000000 	 50.000000 	 -0.163796 	 1.496526 
-5.000000 	 50.000000 	 -0.856358 	 1.715793 
-6.000000 	 50.000000 	 -1.561241 	 1.882983 
-7.000000 	 50.000000 	 -2.838354 	 2.095154 
-8.000000 	 50.000000 	 -4.003796 	 2.189274 
-9.000000 	 50.000000 	 -5.341716 	 2.091720 
-10.000000 	 50.000000 	 -6.295151 	 1.885848 
-11.000000 	 50.000000 	 -6.405475 	 1.718693 
-12.000000 	 50.000000 	 -6.071095 	 1.991877 
-13.000000 	 50.000000 	 -5.833337 	 2.078601 
-14.000000 	 50.000000 	 -5.322657 	 2.215786 
-15.000000 	 50.000000 	 -4.703394 	 2.366075 
-16.000000 	 50.000000 	 -4.228502 	 2.605092 
-17.000000 	 50.000000 	 -3.850150 	 2.553020 
-18.000000 	 50.000000 	 -3.457436 	 2.492965 
-19.000000 	 50.000000 	 -3.037697 	 2.362211 
-20.000000 	 50.000000 	 -2.435101 	 2.315443 
-21.000000 	 50.000000 	 -1.754351 	 2.143381 
-22.000000 	 50.000000 	 -1.376779 	 2.113000 
-23.000000 	 50.000000 	 -0.657103 	 1.643645 
-24.000000 	 50.000000 	 -0.187724 	 1.531871 
-25.000000 	 50.000000 	 0.213403 	 1.289714 
-26.000000 	 50.000000 	 0.562115 	 1.007884 
-27.000000 	 50.000000 	 0.693093 	 0.682620 
-28.000000 	 50.000000 	 0.437115 	 0.647910 
-29.000000 	 50.000000 	 0.742669 	 0.518684 
-30.000000 	 50.000000 	 0.729364 	 0.511018 
-31.000000 	 50.000000 	 0.744175 	 0.477233 
-32.000000 	 50.000000 	 0.710627 	 0.461104 
-33.000000 	 50.000000 	 0.722742 	 0.487121 
-34.000000 	 50.000000 	 0.490206 	 0.477255 
-36.000000 	 50.000000 	 0.640294 	 0.465898 
-38.000000 	 50.000000 	 0.512032 	 0.475868 
-40.000000 	 50.000000 	 0.718460 	 0.484349 
-43.000000 	 50.000000 	 0.689056 	 0.491557 
-46.000000 	 50.000000 	 0.662880 	 0.508309 
