RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.014969 	 0.368008 	 -0.474134 	 0.184843 
24.000000 	 2.000000 	 0.032395 	 0.394625 	 -0.467593 	 0.190649 
23.000000 	 2.000000 	 0.071914 	 0.368415 	 -0.495088 	 0.199097 
22.000000 	 2.000000 	 0.028631 	 0.366431 	 -0.514291 	 0.187449 
21.000000 	 2.000000 	 0.122458 	 0.393616 	 -0.587207 	 0.181524 
20.000000 	 2.000000 	 0.176435 	 0.386935 	 -0.661898 	 0.201789 
19.000000 	 2.000000 	 0.185617 	 0.446165 	 -0.745639 	 0.337896 
18.000000 	 2.000000 	 2.232258 	 2.036460 	 -0.539769 	 1.454856 
17.000000 	 2.000000 	 17.103732 	 2.777197 	 -0.822236 	 1.225219 
16.000000 	 2.000000 	 20.504435 	 1.950972 	 -1.175592 	 0.952416 
15.000000 	 2.000000 	 21.729954 	 1.554639 	 -1.472525 	 0.869057 
14.000000 	 2.000000 	 20.731955 	 1.841109 	 -1.641113 	 0.994299 
13.000000 	 2.000000 	 14.218344 	 3.517475 	 -1.707551 	 1.930867 
12.000000 	 2.000000 	 6.338565 	 1.812809 	 0.874039 	 0.920514 
11.000000 	 2.000000 	 8.672529 	 1.176749 	 0.744900 	 0.630984 
10.000000 	 2.000000 	 9.478349 	 0.985287 	 0.628809 	 0.601705 
9.000000 	 2.000000 	 9.719115 	 0.999134 	 0.517144 	 0.601940 
8.000000 	 2.000000 	 8.863636 	 1.540723 	 0.470289 	 0.695892 
7.000000 	 2.000000 	 5.409327 	 2.502734 	 0.290641 	 0.767274 
6.000000 	 2.000000 	 1.034512 	 1.271368 	 0.486458 	 0.813466 
5.000000 	 2.000000 	 0.122876 	 1.318144 	 0.650960 	 0.836553 
4.000000 	 2.000000 	 -0.346734 	 1.351293 	 0.652789 	 0.880939 
3.000000 	 2.000000 	 -1.207821 	 1.330680 	 0.588277 	 0.918629 
2.000000 	 2.000000 	 -1.464274 	 1.407983 	 0.518613 	 0.936432 
1.000000 	 2.000000 	 -1.864956 	 1.314104 	 0.328116 	 0.927274 
0.000000 	 2.000000 	 -1.932055 	 1.340392 	 0.099745 	 0.895913 
-1.000000 	 2.000000 	 -1.899828 	 1.326639 	 -0.140490 	 0.924035 
-2.000000 	 2.000000 	 -1.781478 	 1.350630 	 -0.375682 	 0.912645 
-3.000000 	 2.000000 	 -1.331264 	 1.376998 	 -0.544859 	 0.891278 
-4.000000 	 2.000000 	 -0.773660 	 1.396065 	 -0.639402 	 0.886429 
-5.000000 	 2.000000 	 -0.098781 	 1.297715 	 -0.655074 	 0.880757 
-6.000000 	 2.000000 	 0.679544 	 1.379689 	 -0.597241 	 0.884172 
-7.000000 	 2.000000 	 5.900608 	 2.675550 	 -0.605252 	 0.745318 
-8.000000 	 2.000000 	 9.095216 	 1.359562 	 -0.960864 	 0.675120 
-9.000000 	 2.000000 	 9.728933 	 0.973598 	 -1.048630 	 0.611363 
-10.000000 	 2.000000 	 9.249294 	 1.017206 	 -1.131474 	 0.602841 
-11.000000 	 2.000000 	 7.880579 	 1.371183 	 -1.240043 	 0.665095 
-12.000000 	 2.000000 	 3.583735 	 2.195876 	 -0.468396 	 2.206757 
-13.000000 	 2.000000 	 14.940551 	 1.957602 	 0.985499 	 1.030586 
-14.000000 	 2.000000 	 16.988659 	 1.357385 	 0.666955 	 0.774036 
-15.000000 	 2.000000 	 16.714005 	 1.467097 	 0.413890 	 0.771353 
-16.000000 	 2.000000 	 14.917486 	 1.901614 	 0.234965 	 0.958712 
-17.000000 	 2.000000 	 7.803086 	 3.483976 	 0.104353 	 1.370962 
-18.000000 	 2.000000 	 0.637912 	 0.604221 	 0.683340 	 0.536601 
-19.000000 	 2.000000 	 0.711289 	 0.435984 	 0.707147 	 0.239683 
-20.000000 	 2.000000 	 0.753848 	 0.420066 	 0.538333 	 0.234847 
-21.000000 	 2.000000 	 0.850641 	 0.416237 	 0.487914 	 0.254138 
-22.000000 	 2.000000 	 0.916864 	 0.437074 	 0.458370 	 0.229020 
-23.000000 	 2.000000 	 1.005169 	 0.445318 	 0.456398 	 0.206504 
-24.000000 	 2.000000 	 1.030588 	 0.479771 	 0.412034 	 0.205276 
-25.000000 	 2.000000 	 1.082912 	 0.471687 	 0.401529 	 0.209834 
