RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
46.000000 	 50.000000 	 0.114960 	 0.447888 
43.000000 	 50.000000 	 0.167666 	 0.457513 
40.000000 	 50.000000 	 0.148599 	 0.444036 
38.000000 	 50.000000 	 0.221685 	 0.501375 
36.000000 	 50.000000 	 0.234154 	 0.444595 
34.000000 	 50.000000 	 0.243708 	 0.444059 
33.000000 	 50.000000 	 0.265145 	 0.427030 
32.000000 	 50.000000 	 0.225230 	 0.474715 
31.000000 	 50.000000 	 0.303767 	 0.442345 
30.000000 	 50.000000 	 0.218668 	 0.494064 
29.000000 	 50.000000 	 0.188908 	 0.486288 
28.000000 	 50.000000 	 0.235724 	 0.477641 
27.000000 	 50.000000 	 0.150306 	 0.451184 
26.000000 	 50.000000 	 0.220185 	 0.449387 
25.000000 	 50.000000 	 0.250171 	 0.559198 
24.000000 	 50.000000 	 0.320923 	 0.632502 
23.000000 	 50.000000 	 0.126125 	 0.923803 
22.000000 	 50.000000 	 0.213128 	 1.104167 
21.000000 	 50.000000 	 0.159665 	 1.510338 
20.000000 	 50.000000 	 0.232948 	 1.740586 
19.000000 	 50.000000 	 0.250996 	 2.067581 
18.000000 	 50.000000 	 0.443585 	 2.230812 
17.000000 	 50.000000 	 0.476477 	 2.367163 
16.000000 	 50.000000 	 0.507671 	 2.187991 
15.000000 	 50.000000 	 0.582556 	 1.928796 
14.000000 	 50.000000 	 0.605627 	 1.679294 
13.000000 	 50.000000 	 0.698275 	 1.570973 
12.000000 	 50.000000 	 0.623804 	 1.548342 
11.000000 	 50.000000 	 0.574189 	 1.650258 
10.000000 	 50.000000 	 0.479075 	 1.667679 
9.000000 	 50.000000 	 0.399749 	 1.640277 
8.000000 	 50.000000 	 0.328394 	 1.569185 
7.000000 	 50.000000 	 0.277306 	 1.481976 
6.000000 	 50.000000 	 0.241555 	 1.394600 
5.000000 	 50.000000 	 0.135011 	 1.292103 
4.000000 	 50.000000 	 0.174536 	 1.325736 
3.000000 	 50.000000 	 0.223045 	 1.340774 
2.000000 	 50.000000 	 0.191557 	 1.334903 
1.000000 	 50.000000 	 0.251768 	 1.340754 
0.000000 	 50.000000 	 0.329241 	 1.260984 
-1.000000 	 50.000000 	 0.310305 	 1.318902 
-2.000000 	 50.000000 	 0.185166 	 1.286645 
-3.000000 	 50.000000 	 0.069653 	 1.348876 
-4.000000 	 50.000000 	 0.060326 	 1.377934 
-5.000000 	 50.000000 	 -0.027635 	 1.405109 
-6.000000 	 50.000000 	 -0.065635 	 1.509494 
-7.000000 	 50.000000 	 -0.121301 	 1.627845 
-8.000000 	 50.000000 	 -0.146971 	 1.720556 
-9.000000 	 50.000000 	 -0.244825 	 1.649389 
-10.000000 	 50.000000 	 -0.245983 	 1.579824 
-11.000000 	 50.000000 	 -0.309292 	 1.497643 
-12.000000 	 50.000000 	 -0.276417 	 1.542704 
-13.000000 	 50.000000 	 -0.240944 	 1.799303 
-14.000000 	 50.000000 	 -0.224535 	 2.061160 
-15.000000 	 50.000000 	 -0.129628 	 2.199094 
-16.000000 	 50.000000 	 -0.131936 	 2.118350 
-17.000000 	 50.000000 	 -0.129373 	 2.047995 
-18.000000 	 50.000000 	 0.023739 	 1.888509 
-19.000000 	 50.000000 	 0.227414 	 1.627592 
-20.000000 	 50.000000 	 0.469109 	 1.339298 
-21.000000 	 50.000000 	 0.787127 	 0.998781 
-22.000000 	 50.000000 	 0.783152 	 0.769181 
-23.000000 	 50.000000 	 0.831239 	 0.607947 
-24.000000 	 50.000000 	 0.800929 	 0.497827 
-25.000000 	 50.000000 	 0.746484 	 0.474992 
-26.000000 	 50.000000 	 0.702668 	 0.471301 
-27.000000 	 50.000000 	 0.687738 	 0.462087 
-28.000000 	 50.000000 	 0.669132 	 0.463692 
-29.000000 	 50.000000 	 0.683743 	 0.449399 
-30.000000 	 50.000000 	 0.654825 	 0.459934 
-31.000000 	 50.000000 	 0.666259 	 0.452921 
-32.000000 	 50.000000 	 0.690875 	 0.470632 
-33.000000 	 50.000000 	 0.675628 	 0.471439 
-34.000000 	 50.000000 	 0.640544 	 0.462667 
-36.000000 	 50.000000 	 0.657194 	 0.444970 
-38.000000 	 50.000000 	 0.625733 	 0.461047 
-40.000000 	 50.000000 	 0.692936 	 0.463735 
-43.000000 	 50.000000 	 0.635993 	 0.494107 
-46.000000 	 50.000000 	 0.615727 	 0.484243 
