RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
30.000000 	 50.000000 	 0.787748 	 0.340175 	 -0.536834 	 0.370615 
29.000000 	 50.000000 	 0.828422 	 0.427766 	 -0.603304 	 0.481329 
28.000000 	 50.000000 	 0.726248 	 0.621367 	 -0.577555 	 0.601508 
27.000000 	 50.000000 	 1.008599 	 0.731873 	 -0.631790 	 0.819198 
26.000000 	 50.000000 	 1.203835 	 0.873252 	 -0.690780 	 0.893842 
25.000000 	 50.000000 	 1.595239 	 1.145043 	 -0.719162 	 1.119632 
24.000000 	 50.000000 	 2.241918 	 1.508192 	 -0.826936 	 1.268389 
23.000000 	 50.000000 	 3.031711 	 1.983432 	 -0.561433 	 1.732745 
22.000000 	 50.000000 	 3.789947 	 2.266423 	 -0.561418 	 1.991726 
21.000000 	 50.000000 	 4.968822 	 2.684822 	 -0.520678 	 2.243388 
20.000000 	 50.000000 	 6.419875 	 2.821916 	 -0.118338 	 2.389845 
19.000000 	 50.000000 	 7.598139 	 3.022394 	 -0.167163 	 2.417513 
18.000000 	 50.000000 	 9.248251 	 3.174502 	 -0.000862 	 2.507104 
17.000000 	 50.000000 	 10.575459 	 3.027413 	 0.037416 	 2.556794 
16.000000 	 50.000000 	 11.831050 	 3.028722 	 0.417987 	 2.549271 
15.000000 	 50.000000 	 12.939343 	 2.684178 	 0.375813 	 2.286247 
14.000000 	 50.000000 	 13.945492 	 2.319807 	 0.546438 	 2.008301 
13.000000 	 50.000000 	 13.949993 	 2.073070 	 0.510975 	 1.774706 
12.000000 	 50.000000 	 14.089936 	 1.838681 	 0.437812 	 1.574562 
11.000000 	 50.000000 	 13.968521 	 1.986054 	 0.112821 	 1.503973 
10.000000 	 50.000000 	 12.750185 	 1.711479 	 0.157736 	 1.329592 
9.000000 	 50.000000 	 11.650959 	 1.712814 	 0.142967 	 1.188431 
8.000000 	 50.000000 	 10.684934 	 1.550742 	 0.073460 	 1.089926 
7.000000 	 50.000000 	 9.728436 	 1.414992 	 0.145825 	 0.959195 
6.000000 	 50.000000 	 8.993398 	 1.324691 	 0.007708 	 0.915492 
5.000000 	 50.000000 	 8.383773 	 1.100722 	 -0.050370 	 0.821080 
4.000000 	 50.000000 	 8.035572 	 0.984796 	 -0.073486 	 0.826167 
3.000000 	 50.000000 	 7.680791 	 1.006937 	 -0.117858 	 0.888981 
2.000000 	 50.000000 	 7.443864 	 0.973555 	 -0.207433 	 0.927292 
1.000000 	 50.000000 	 7.458838 	 0.882699 	 -0.266582 	 0.871713 
0.000000 	 50.000000 	 7.286568 	 0.947549 	 -0.249962 	 0.957529 
-1.000000 	 50.000000 	 7.312214 	 0.944784 	 -0.159281 	 0.974663 
-2.000000 	 50.000000 	 7.314612 	 0.965992 	 -0.035401 	 0.943231 
-3.000000 	 50.000000 	 7.408548 	 1.056016 	 -0.043286 	 0.979510 
-4.000000 	 50.000000 	 7.807481 	 1.159521 	 0.022466 	 0.991714 
-5.000000 	 50.000000 	 8.216542 	 1.307140 	 0.018497 	 1.031637 
-6.000000 	 50.000000 	 8.986111 	 1.531927 	 0.028108 	 1.098710 
-7.000000 	 50.000000 	 9.457195 	 1.613788 	 -0.150339 	 1.178651 
-8.000000 	 50.000000 	 10.685535 	 1.718719 	 -0.179838 	 1.297363 
-9.000000 	 50.000000 	 11.847570 	 1.742721 	 -0.232259 	 1.353431 
-10.000000 	 50.000000 	 12.759281 	 1.906249 	 -0.332007 	 1.515070 
-11.000000 	 50.000000 	 13.933724 	 1.858242 	 -0.602993 	 1.611621 
-12.000000 	 50.000000 	 14.764823 	 1.938213 	 -0.789237 	 1.689210 
-13.000000 	 50.000000 	 15.014533 	 2.134942 	 -0.889644 	 1.991269 
-14.000000 	 50.000000 	 14.604336 	 2.388431 	 -0.989847 	 2.286753 
-15.000000 	 50.000000 	 13.911862 	 2.613558 	 -0.967562 	 2.563578 
-16.000000 	 50.000000 	 13.292752 	 2.990011 	 -0.866120 	 2.689444 
-17.000000 	 50.000000 	 11.028348 	 3.159335 	 -0.573700 	 2.650736 
-18.000000 	 50.000000 	 10.046735 	 3.151980 	 -0.702966 	 2.711463 
-19.000000 	 50.000000 	 7.143828 	 3.014833 	 -0.213431 	 2.406952 
-20.000000 	 50.000000 	 6.080271 	 2.803806 	 0.149963 	 2.179817 
-21.000000 	 50.000000 	 4.481413 	 2.559755 	 0.230981 	 2.194389 
-22.000000 	 50.000000 	 2.517733 	 1.783798 	 0.418673 	 1.669932 
-23.000000 	 50.000000 	 1.844977 	 1.310690 	 0.687280 	 1.132674 
-24.000000 	 50.000000 	 1.318944 	 0.853357 	 0.649595 	 0.920752 
-25.000000 	 50.000000 	 1.103250 	 0.637849 	 0.719778 	 0.810074 
-26.000000 	 50.000000 	 1.005380 	 0.497372 	 0.653522 	 0.593542 
-27.000000 	 50.000000 	 0.922657 	 0.421581 	 0.628930 	 0.388650 
-28.000000 	 50.000000 	 0.869830 	 0.341547 	 0.608951 	 0.278985 
-29.000000 	 50.000000 	 0.885824 	 0.398876 	 0.598221 	 0.253038 
-30.000000 	 50.000000 	 0.972338 	 0.403638 	 0.635822 	 0.220245 
