RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 30.000000 	 0.261013 	 0.480452 
34.000000 	 30.000000 	 0.274549 	 0.440440 
33.000000 	 30.000000 	 0.220393 	 0.443479 
32.000000 	 30.000000 	 0.174873 	 0.469735 
31.000000 	 30.000000 	 0.128627 	 0.476497 
30.000000 	 30.000000 	 0.111882 	 0.464164 
29.000000 	 30.000000 	 0.094800 	 0.456118 
28.000000 	 30.000000 	 0.070608 	 0.501257 
27.000000 	 30.000000 	 0.100421 	 0.474781 
26.000000 	 30.000000 	 0.052460 	 0.481311 
25.000000 	 30.000000 	 0.112028 	 0.471255 
24.000000 	 30.000000 	 0.048154 	 0.562522 
23.000000 	 30.000000 	 0.150117 	 0.717048 
22.000000 	 30.000000 	 0.435233 	 1.115194 
21.000000 	 30.000000 	 0.763336 	 1.503280 
20.000000 	 30.000000 	 1.386867 	 2.009861 
19.000000 	 30.000000 	 2.510080 	 2.602923 
18.000000 	 30.000000 	 3.467260 	 2.777116 
17.000000 	 30.000000 	 4.399184 	 3.095437 
16.000000 	 30.000000 	 5.662104 	 3.165885 
15.000000 	 30.000000 	 6.641183 	 3.005487 
14.000000 	 30.000000 	 7.759851 	 2.415659 
13.000000 	 30.000000 	 8.091072 	 2.024944 
12.000000 	 30.000000 	 7.526171 	 2.045478 
11.000000 	 30.000000 	 6.062612 	 2.267639 
10.000000 	 30.000000 	 4.225910 	 2.072628 
9.000000 	 30.000000 	 2.342890 	 1.785123 
8.000000 	 30.000000 	 0.954017 	 1.511320 
7.000000 	 30.000000 	 0.290506 	 1.468242 
6.000000 	 30.000000 	 0.171363 	 1.502686 
5.000000 	 30.000000 	 0.102145 	 1.568411 
4.000000 	 30.000000 	 -0.024687 	 1.580008 
3.000000 	 30.000000 	 -0.118608 	 1.644681 
2.000000 	 30.000000 	 0.018638 	 1.670765 
1.000000 	 30.000000 	 -0.032658 	 1.728511 
0.000000 	 30.000000 	 0.049855 	 1.716515 
-1.000000 	 30.000000 	 0.025818 	 1.720878 
-2.000000 	 30.000000 	 0.035346 	 1.664194 
-3.000000 	 30.000000 	 -0.127227 	 1.563915 
-4.000000 	 30.000000 	 -0.058874 	 1.569107 
-5.000000 	 30.000000 	 -0.227626 	 1.527922 
-6.000000 	 30.000000 	 -0.283939 	 1.559748 
-7.000000 	 30.000000 	 -0.661872 	 1.542343 
-8.000000 	 30.000000 	 -1.790127 	 1.790967 
-9.000000 	 30.000000 	 -3.542954 	 2.133562 
-10.000000 	 30.000000 	 -5.229784 	 2.214593 
-11.000000 	 30.000000 	 -6.665839 	 2.012456 
-12.000000 	 30.000000 	 -7.414678 	 1.791223 
-13.000000 	 30.000000 	 -7.237785 	 1.985165 
-14.000000 	 30.000000 	 -6.361931 	 2.604117 
-15.000000 	 30.000000 	 -5.204175 	 3.097731 
-16.000000 	 30.000000 	 -4.181028 	 3.227262 
-17.000000 	 30.000000 	 -3.245762 	 3.102201 
-18.000000 	 30.000000 	 -2.755767 	 2.830114 
-19.000000 	 30.000000 	 -1.860066 	 2.348653 
-20.000000 	 30.000000 	 -1.117312 	 2.018323 
-21.000000 	 30.000000 	 -0.266272 	 1.212336 
-22.000000 	 30.000000 	 0.000947 	 0.926329 
-23.000000 	 30.000000 	 0.162383 	 0.642199 
-24.000000 	 30.000000 	 0.233230 	 0.559884 
-25.000000 	 30.000000 	 0.191828 	 0.554374 
-26.000000 	 30.000000 	 0.078767 	 0.512325 
-27.000000 	 30.000000 	 0.187677 	 0.512311 
-28.000000 	 30.000000 	 0.092155 	 0.484815 
-29.000000 	 30.000000 	 0.161523 	 0.482337 
-30.000000 	 30.000000 	 0.048118 	 0.471406 
-31.000000 	 30.000000 	 0.133311 	 0.513316 
-32.000000 	 30.000000 	 0.086633 	 0.494485 
-33.000000 	 30.000000 	 0.113840 	 0.478496 
-34.000000 	 30.000000 	 0.067104 	 0.496331 
-35.000000 	 30.000000 	 0.107604 	 0.524601 
