RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
30.000000 	 30.000000 	 0.835143 	 0.162596 	 -0.239489 	 0.080980 
29.000000 	 30.000000 	 0.835751 	 0.161898 	 -0.255768 	 0.091998 
28.000000 	 30.000000 	 0.869901 	 0.181936 	 -0.284349 	 0.091790 
27.000000 	 30.000000 	 0.864163 	 0.164301 	 -0.294112 	 0.111048 
26.000000 	 30.000000 	 0.939473 	 0.168347 	 -0.275527 	 0.115636 
25.000000 	 30.000000 	 0.928484 	 0.202811 	 -0.303708 	 0.139463 
24.000000 	 30.000000 	 0.946007 	 0.222526 	 -0.310874 	 0.162144 
23.000000 	 30.000000 	 0.923856 	 0.255307 	 -0.350576 	 0.239784 
22.000000 	 30.000000 	 0.969339 	 0.326795 	 -0.371185 	 0.334200 
21.000000 	 30.000000 	 1.178095 	 0.537452 	 -0.383459 	 0.541409 
20.000000 	 30.000000 	 1.911824 	 1.001546 	 -0.373210 	 0.900655 
19.000000 	 30.000000 	 3.684365 	 1.789792 	 -0.424486 	 1.181970 
18.000000 	 30.000000 	 6.196937 	 2.470238 	 -0.487691 	 1.573385 
17.000000 	 30.000000 	 8.908868 	 2.998235 	 -0.599480 	 1.741953 
16.000000 	 30.000000 	 12.449385 	 3.157498 	 -0.689949 	 1.878921 
15.000000 	 30.000000 	 16.079623 	 2.682669 	 -0.807996 	 1.751351 
14.000000 	 30.000000 	 18.758087 	 1.887484 	 -1.036383 	 1.506559 
13.000000 	 30.000000 	 19.349932 	 1.389844 	 -1.278748 	 1.460249 
12.000000 	 30.000000 	 17.959695 	 1.821499 	 -1.241090 	 1.678929 
11.000000 	 30.000000 	 14.944448 	 2.167917 	 -0.948414 	 1.788679 
10.000000 	 30.000000 	 12.000529 	 1.892278 	 -0.662578 	 1.514504 
9.000000 	 30.000000 	 9.723360 	 1.514778 	 -0.534799 	 1.197341 
8.000000 	 30.000000 	 8.351599 	 1.244825 	 -0.547660 	 0.952775 
7.000000 	 30.000000 	 7.573573 	 1.259110 	 -0.628722 	 0.955152 
6.000000 	 30.000000 	 6.956331 	 1.371346 	 -0.686041 	 1.056837 
5.000000 	 30.000000 	 6.162779 	 1.545441 	 -0.545765 	 1.325437 
4.000000 	 30.000000 	 5.605713 	 1.453388 	 -0.545830 	 1.414381 
3.000000 	 30.000000 	 5.187481 	 1.442606 	 -0.451779 	 1.482684 
2.000000 	 30.000000 	 4.845310 	 1.319025 	 -0.322309 	 1.520961 
1.000000 	 30.000000 	 4.551761 	 1.289015 	 -0.237735 	 1.504547 
0.000000 	 30.000000 	 4.671253 	 1.320155 	 -0.079954 	 1.597529 
-1.000000 	 30.000000 	 4.724614 	 1.281842 	 0.119592 	 1.537055 
-2.000000 	 30.000000 	 4.918715 	 1.340199 	 0.194733 	 1.536742 
-3.000000 	 30.000000 	 5.276883 	 1.442638 	 0.273019 	 1.485734 
-4.000000 	 30.000000 	 5.754131 	 1.504333 	 0.364797 	 1.388484 
-5.000000 	 30.000000 	 6.155505 	 1.547780 	 0.459315 	 1.273388 
-6.000000 	 30.000000 	 6.747968 	 1.475093 	 0.424463 	 1.101727 
-7.000000 	 30.000000 	 7.623507 	 1.294637 	 0.387528 	 0.965662 
-8.000000 	 30.000000 	 8.370602 	 1.304756 	 0.268183 	 1.016043 
-9.000000 	 30.000000 	 9.728198 	 1.558615 	 0.245922 	 1.193340 
-10.000000 	 30.000000 	 11.732811 	 1.907506 	 0.287796 	 1.473819 
-11.000000 	 30.000000 	 14.420925 	 2.306697 	 0.449022 	 1.695556 
-12.000000 	 30.000000 	 17.537929 	 2.149660 	 0.549145 	 1.652251 
-13.000000 	 30.000000 	 19.303477 	 1.731137 	 0.463978 	 1.498340 
-14.000000 	 30.000000 	 19.088215 	 1.955925 	 0.159616 	 1.524288 
-15.000000 	 30.000000 	 15.997573 	 2.821096 	 -0.044857 	 1.876767 
-16.000000 	 30.000000 	 12.465814 	 3.088768 	 0.005154 	 2.076724 
-17.000000 	 30.000000 	 8.562412 	 2.807623 	 0.233036 	 1.895970 
-18.000000 	 30.000000 	 5.291568 	 2.379692 	 0.286402 	 1.593999 
-19.000000 	 30.000000 	 2.718320 	 1.629736 	 0.393239 	 1.195966 
-20.000000 	 30.000000 	 1.152853 	 0.831804 	 0.431506 	 0.778752 
-21.000000 	 30.000000 	 0.592783 	 0.375086 	 0.434601 	 0.421177 
-22.000000 	 30.000000 	 0.551172 	 0.254912 	 0.421532 	 0.262227 
-23.000000 	 30.000000 	 0.539627 	 0.188619 	 0.390266 	 0.179221 
-24.000000 	 30.000000 	 0.550239 	 0.175040 	 0.372660 	 0.141032 
-25.000000 	 30.000000 	 0.494643 	 0.155017 	 0.331339 	 0.110562 
-26.000000 	 30.000000 	 0.506666 	 0.128219 	 0.297252 	 0.085614 
-27.000000 	 30.000000 	 0.522554 	 0.125563 	 0.300520 	 0.092637 
-28.000000 	 30.000000 	 0.507704 	 0.116708 	 0.276754 	 0.087359 
-29.000000 	 30.000000 	 0.570573 	 0.117386 	 0.258403 	 0.078776 
-30.000000 	 30.000000 	 0.582811 	 0.122010 	 0.276434 	 0.073676 
