RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.134240 	 0.385724 	 -0.505284 	 0.214476 
24.000000 	 2.000000 	 0.233029 	 0.366672 	 -0.554185 	 0.203325 
23.000000 	 2.000000 	 0.175457 	 0.346659 	 -0.548451 	 0.214429 
22.000000 	 2.000000 	 0.286778 	 0.343472 	 -0.581422 	 0.209658 
21.000000 	 2.000000 	 0.248344 	 0.328322 	 -0.639193 	 0.209113 
20.000000 	 2.000000 	 0.331385 	 0.352347 	 -0.719186 	 0.211214 
19.000000 	 2.000000 	 0.276374 	 0.437414 	 -0.776660 	 0.303381 
18.000000 	 2.000000 	 1.555844 	 1.476763 	 -0.554853 	 1.386172 
17.000000 	 2.000000 	 15.498902 	 2.536524 	 -0.092382 	 1.208084 
16.000000 	 2.000000 	 17.303137 	 1.464530 	 -0.305112 	 1.008099 
15.000000 	 2.000000 	 17.640680 	 1.219791 	 -0.609926 	 0.859628 
14.000000 	 2.000000 	 17.170672 	 1.399044 	 -1.085426 	 0.813806 
13.000000 	 2.000000 	 12.617520 	 2.692379 	 -1.424367 	 1.625166 
12.000000 	 2.000000 	 5.090343 	 2.094733 	 0.819925 	 1.031875 
11.000000 	 2.000000 	 8.348268 	 1.301778 	 0.486225 	 0.635713 
10.000000 	 2.000000 	 9.358056 	 1.023086 	 0.274849 	 0.606174 
9.000000 	 2.000000 	 9.661862 	 0.937176 	 0.139051 	 0.590750 
8.000000 	 2.000000 	 9.234898 	 1.217089 	 0.066953 	 0.649497 
7.000000 	 2.000000 	 7.013069 	 2.119319 	 -0.010459 	 0.694250 
6.000000 	 2.000000 	 1.258374 	 1.220399 	 0.295906 	 0.715876 
5.000000 	 2.000000 	 0.481833 	 1.121031 	 0.515346 	 0.749988 
4.000000 	 2.000000 	 -0.268293 	 1.205076 	 0.584672 	 0.873848 
3.000000 	 2.000000 	 -0.754265 	 1.248941 	 0.482612 	 0.895113 
2.000000 	 2.000000 	 -1.220555 	 1.334565 	 0.426822 	 0.901308 
1.000000 	 2.000000 	 -1.698999 	 1.196725 	 0.287283 	 0.897289 
0.000000 	 2.000000 	 -1.886013 	 1.229109 	 0.097478 	 0.822326 
-1.000000 	 2.000000 	 -2.016494 	 1.229018 	 -0.134995 	 0.879981 
-2.000000 	 2.000000 	 -1.702737 	 1.288823 	 -0.299012 	 0.859607 
-3.000000 	 2.000000 	 -1.273545 	 1.284819 	 -0.473750 	 0.872907 
-4.000000 	 2.000000 	 -0.993606 	 1.318437 	 -0.701076 	 0.893694 
-5.000000 	 2.000000 	 -0.375330 	 1.277328 	 -0.672841 	 0.832099 
-6.000000 	 2.000000 	 0.679267 	 1.323105 	 -0.536138 	 0.807553 
-7.000000 	 2.000000 	 5.554738 	 2.681748 	 -0.611122 	 0.780418 
-8.000000 	 2.000000 	 9.027416 	 1.385749 	 -0.968362 	 0.678836 
-9.000000 	 2.000000 	 9.698368 	 0.981975 	 -1.112229 	 0.601576 
-10.000000 	 2.000000 	 9.292324 	 0.994514 	 -1.210736 	 0.579365 
-11.000000 	 2.000000 	 7.800129 	 1.395596 	 -1.322455 	 0.646616 
-12.000000 	 2.000000 	 3.083090 	 2.181040 	 -0.476700 	 2.291139 
-13.000000 	 2.000000 	 16.542533 	 2.009620 	 1.275575 	 1.117965 
-14.000000 	 2.000000 	 19.634142 	 1.404506 	 0.882991 	 0.795146 
-15.000000 	 2.000000 	 20.221502 	 1.195346 	 0.565621 	 0.809128 
-16.000000 	 2.000000 	 19.465852 	 1.743762 	 0.499080 	 1.095410 
-17.000000 	 2.000000 	 12.627753 	 4.117190 	 0.429535 	 1.519936 
-18.000000 	 2.000000 	 0.719632 	 0.660720 	 0.990368 	 0.567637 
-19.000000 	 2.000000 	 0.829912 	 0.502365 	 0.911151 	 0.218465 
-20.000000 	 2.000000 	 0.895013 	 0.446095 	 0.767047 	 0.192657 
-21.000000 	 2.000000 	 0.893846 	 0.396259 	 0.666552 	 0.198449 
-22.000000 	 2.000000 	 0.942041 	 0.405197 	 0.589048 	 0.198737 
-23.000000 	 2.000000 	 0.972054 	 0.394154 	 0.543594 	 0.196259 
-24.000000 	 2.000000 	 1.009990 	 0.418844 	 0.526705 	 0.188070 
-25.000000 	 2.000000 	 1.012830 	 0.420843 	 0.444934 	 0.197937 
