RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
46.000000 	 50.000000 	 0.471631 	 0.360199 	 -0.593843 	 0.284681 
43.000000 	 50.000000 	 0.394792 	 0.396346 	 -0.608046 	 0.331430 
40.000000 	 50.000000 	 0.374929 	 0.463756 	 -0.649575 	 0.439410 
38.000000 	 50.000000 	 0.336973 	 0.556669 	 -0.625243 	 0.605696 
36.000000 	 50.000000 	 0.468319 	 0.785162 	 -0.648451 	 0.812660 
34.000000 	 50.000000 	 0.890364 	 1.064194 	 -0.518406 	 1.178403 
33.000000 	 50.000000 	 1.329309 	 1.308122 	 -0.408964 	 1.462011 
32.000000 	 50.000000 	 1.972832 	 1.628961 	 -0.267543 	 1.705066 
31.000000 	 50.000000 	 2.714495 	 1.961301 	 -0.039238 	 2.005684 
30.000000 	 50.000000 	 4.071548 	 2.325157 	 0.358899 	 2.338336 
29.000000 	 50.000000 	 5.441550 	 2.620785 	 0.841371 	 2.694006 
28.000000 	 50.000000 	 6.894949 	 2.877496 	 1.187034 	 2.824239 
27.000000 	 50.000000 	 8.191065 	 2.948873 	 1.484868 	 2.890467 
26.000000 	 50.000000 	 10.057855 	 2.947172 	 1.990888 	 2.976041 
25.000000 	 50.000000 	 11.396597 	 2.749804 	 2.393645 	 2.772029 
24.000000 	 50.000000 	 12.700632 	 2.461236 	 2.803722 	 2.488516 
23.000000 	 50.000000 	 13.130720 	 2.263048 	 2.749871 	 2.236887 
22.000000 	 50.000000 	 13.468685 	 2.080517 	 2.557458 	 2.071617 
21.000000 	 50.000000 	 13.356892 	 1.923591 	 2.265802 	 1.777726 
20.000000 	 50.000000 	 12.945411 	 1.786974 	 1.843539 	 1.615384 
19.000000 	 50.000000 	 12.514915 	 1.763588 	 1.500377 	 1.443467 
18.000000 	 50.000000 	 12.011436 	 1.598012 	 1.077715 	 1.291272 
17.000000 	 50.000000 	 11.027303 	 1.297425 	 0.781292 	 1.079816 
16.000000 	 50.000000 	 10.579782 	 1.130371 	 0.474186 	 0.969660 
15.000000 	 50.000000 	 10.229666 	 0.996179 	 0.354990 	 0.855326 
14.000000 	 50.000000 	 10.058763 	 0.929237 	 0.252922 	 0.799499 
13.000000 	 50.000000 	 9.867559 	 0.866432 	 0.170611 	 0.702933 
12.000000 	 50.000000 	 9.779183 	 0.851767 	 0.088768 	 0.659691 
11.000000 	 50.000000 	 9.620981 	 0.779423 	 0.059773 	 0.597431 
10.000000 	 50.000000 	 9.563038 	 0.825452 	 -0.022966 	 0.585476 
9.000000 	 50.000000 	 9.233991 	 0.851591 	 -0.044917 	 0.541986 
8.000000 	 50.000000 	 8.901728 	 0.884629 	 -0.098858 	 0.541143 
7.000000 	 50.000000 	 8.484242 	 0.938152 	 -0.139247 	 0.543331 
6.000000 	 50.000000 	 7.985841 	 0.953219 	 -0.175875 	 0.523997 
5.000000 	 50.000000 	 7.403214 	 0.958001 	 -0.188913 	 0.530500 
4.000000 	 50.000000 	 6.909965 	 0.951476 	 -0.199567 	 0.551320 
3.000000 	 50.000000 	 6.436836 	 0.902280 	 -0.215153 	 0.553003 
2.000000 	 50.000000 	 5.963735 	 0.832977 	 -0.206443 	 0.580227 
1.000000 	 50.000000 	 5.679026 	 0.734948 	 -0.220388 	 0.555471 
0.000000 	 50.000000 	 5.446122 	 0.694424 	 -0.223560 	 0.565946 
-1.000000 	 50.000000 	 5.391153 	 0.666329 	 -0.212176 	 0.581641 
