RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
46.000000 	 50.000000 	 0.361453 	 0.449486 
43.000000 	 50.000000 	 0.394744 	 0.442281 
40.000000 	 50.000000 	 0.397068 	 0.462477 
38.000000 	 50.000000 	 0.434103 	 0.500610 
36.000000 	 50.000000 	 0.469748 	 0.545352 
34.000000 	 50.000000 	 0.448511 	 0.708269 
33.000000 	 50.000000 	 0.523763 	 0.787884 
32.000000 	 50.000000 	 0.541818 	 0.862509 
31.000000 	 50.000000 	 0.734840 	 1.155919 
30.000000 	 50.000000 	 0.965361 	 1.419511 
29.000000 	 50.000000 	 1.192485 	 1.617957 
28.000000 	 50.000000 	 1.536275 	 1.865110 
27.000000 	 50.000000 	 2.185312 	 2.240502 
26.000000 	 50.000000 	 2.376269 	 2.327250 
25.000000 	 50.000000 	 3.042436 	 2.648585 
24.000000 	 50.000000 	 3.705319 	 2.788416 
23.000000 	 50.000000 	 4.254071 	 2.824516 
22.000000 	 50.000000 	 4.603207 	 2.886201 
21.000000 	 50.000000 	 4.950040 	 2.746040 
20.000000 	 50.000000 	 5.273186 	 2.856390 
19.000000 	 50.000000 	 5.761471 	 2.761727 
18.000000 	 50.000000 	 6.034759 	 2.743477 
17.000000 	 50.000000 	 6.682104 	 2.659786 
16.000000 	 50.000000 	 6.910748 	 2.547784 
15.000000 	 50.000000 	 6.806594 	 2.514093 
14.000000 	 50.000000 	 6.594716 	 2.516562 
13.000000 	 50.000000 	 5.939941 	 2.652970 
12.000000 	 50.000000 	 4.772012 	 2.826436 
11.000000 	 50.000000 	 3.786224 	 2.771536 
10.000000 	 50.000000 	 2.447854 	 2.560066 
9.000000 	 50.000000 	 1.509080 	 2.131244 
8.000000 	 50.000000 	 0.917480 	 2.042084 
7.000000 	 50.000000 	 0.518244 	 1.829502 
6.000000 	 50.000000 	 0.299101 	 1.717961 
5.000000 	 50.000000 	 0.112376 	 1.584820 
4.000000 	 50.000000 	 0.125715 	 1.510744 
3.000000 	 50.000000 	 0.120205 	 1.379272 
2.000000 	 50.000000 	 0.038924 	 1.337169 
1.000000 	 50.000000 	 0.047585 	 1.417678 
0.000000 	 50.000000 	 0.026270 	 1.323245 
-1.000000 	 50.000000 	 -0.030224 	 1.349730 
-2.000000 	 50.000000 	 -0.061934 	 1.447701 
-3.000000 	 50.000000 	 -0.066648 	 1.437010 
-4.000000 	 50.000000 	 -0.175598 	 1.503686 
-5.000000 	 50.000000 	 -0.310935 	 1.625938 
-6.000000 	 50.000000 	 -0.326170 	 1.786168 
-7.000000 	 50.000000 	 -0.645754 	 1.897655 
-8.000000 	 50.000000 	 -1.068236 	 2.093998 
-9.000000 	 50.000000 	 -2.018107 	 2.418732 
-10.000000 	 50.000000 	 -2.810909 	 2.651988 
-11.000000 	 50.000000 	 -3.876543 	 2.757847 
-12.000000 	 50.000000 	 -4.962094 	 2.777060 
-13.000000 	 50.000000 	 -6.105064 	 2.632455 
-14.000000 	 50.000000 	 -6.672379 	 2.499619 
-15.000000 	 50.000000 	 -6.670094 	 2.528070 
-16.000000 	 50.000000 	 -6.623198 	 2.583513 
-17.000000 	 50.000000 	 -6.264734 	 2.648445 
-18.000000 	 50.000000 	 -5.639729 	 3.020734 
-19.000000 	 50.000000 	 -5.285482 	 3.160903 
-20.000000 	 50.000000 	 -5.106771 	 3.249508 
-21.000000 	 50.000000 	 -4.361019 	 3.370661 
-22.000000 	 50.000000 	 -3.901172 	 3.327174 
-23.000000 	 50.000000 	 -3.559876 	 3.562937 
-24.000000 	 50.000000 	 -3.052644 	 3.325524 
-25.000000 	 50.000000 	 -2.454696 	 3.081428 
-26.000000 	 50.000000 	 -1.814306 	 2.838547 
-27.000000 	 50.000000 	 -1.330300 	 2.495953 
-28.000000 	 50.000000 	 -0.547859 	 1.984933 
-29.000000 	 50.000000 	 -0.387421 	 1.804962 
-30.000000 	 50.000000 	 -0.155405 	 1.480617 
-31.000000 	 50.000000 	 -0.024470 	 1.304549 
-32.000000 	 50.000000 	 0.199807 	 0.886463 
-33.000000 	 50.000000 	 0.409623 	 0.892357 
-34.000000 	 50.000000 	 0.392820 	 0.761391 
-36.000000 	 50.000000 	 0.566136 	 0.576987 
-38.000000 	 50.000000 	 0.297152 	 0.535163 
-40.000000 	 50.000000 	 0.241305 	 0.526895 
-43.000000 	 50.000000 	 0.225416 	 0.520166 
-46.000000 	 50.000000 	 0.249812 	 0.534225 
