RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 10.000000 	 0.495302 	 0.347208 	 -0.397535 	 0.166853 
24.000000 	 10.000000 	 0.521046 	 0.328047 	 -0.416697 	 0.166183 
23.000000 	 10.000000 	 0.523166 	 0.358329 	 -0.434789 	 0.170990 
22.000000 	 10.000000 	 0.512858 	 0.364204 	 -0.466474 	 0.185988 
21.000000 	 10.000000 	 0.538654 	 0.383119 	 -0.494454 	 0.221273 
20.000000 	 10.000000 	 0.518284 	 0.455881 	 -0.521600 	 0.352700 
19.000000 	 10.000000 	 0.852091 	 0.826523 	 -0.562675 	 0.739829 
18.000000 	 10.000000 	 3.745186 	 2.298672 	 -0.452940 	 1.583459 
17.000000 	 10.000000 	 9.707084 	 3.453448 	 -0.214321 	 2.215502 
16.000000 	 10.000000 	 16.675707 	 2.716793 	 -0.284224 	 1.605402 
15.000000 	 10.000000 	 19.758933 	 1.643415 	 -0.325605 	 0.998099 
14.000000 	 10.000000 	 19.756730 	 1.580971 	 -0.444556 	 1.000641 
13.000000 	 10.000000 	 16.559359 	 2.275035 	 -0.585205 	 1.689566 
12.000000 	 10.000000 	 11.186178 	 2.045610 	 -0.356594 	 1.919054 
11.000000 	 10.000000 	 9.440190 	 1.123952 	 0.072455 	 0.957187 
10.000000 	 10.000000 	 9.909972 	 0.941990 	 0.232280 	 0.535550 
9.000000 	 10.000000 	 9.467836 	 1.158518 	 0.164392 	 0.542537 
8.000000 	 10.000000 	 8.573353 	 1.331386 	 0.015169 	 0.493614 
7.000000 	 10.000000 	 6.851563 	 1.339642 	 -0.389260 	 0.479255 
6.000000 	 10.000000 	 2.969286 	 0.663428 	 -0.490698 	 0.346051 
5.000000 	 10.000000 	 0.230807 	 0.609034 	 -0.266694 	 0.237407 
4.000000 	 10.000000 	 -1.393376 	 0.628209 	 -0.142702 	 0.267194 
3.000000 	 10.000000 	 -2.798487 	 0.592458 	 -0.042323 	 0.271141 
2.000000 	 10.000000 	 -3.713360 	 0.555315 	 0.006740 	 0.283067 
1.000000 	 10.000000 	 -4.284662 	 0.470058 	 0.067859 	 0.286414 
0.000000 	 10.000000 	 -4.587266 	 0.433579 	 0.070988 	 0.280567 
-1.000000 	 10.000000 	 -4.660937 	 0.443086 	 0.105069 	 0.293614 
-2.000000 	 10.000000 	 -4.290284 	 0.565051 	 0.173602 	 0.304243 
-3.000000 	 10.000000 	 -3.590584 	 0.623791 	 0.193298 	 0.271891 
-4.000000 	 10.000000 	 -2.411349 	 0.706919 	 0.226258 	 0.276127 
-5.000000 	 10.000000 	 -0.770262 	 0.689259 	 0.251554 	 0.289976 
-6.000000 	 10.000000 	 1.487224 	 0.643256 	 0.300578 	 0.303423 
-7.000000 	 10.000000 	 4.501442 	 1.259099 	 0.225888 	 0.394939 
-8.000000 	 10.000000 	 6.879062 	 1.442496 	 -0.241236 	 0.447746 
-9.000000 	 10.000000 	 8.438037 	 1.374583 	 -0.637619 	 0.485758 
-10.000000 	 10.000000 	 9.166660 	 1.141209 	 -0.712325 	 0.494767 
-11.000000 	 10.000000 	 9.233784 	 0.977742 	 -0.685345 	 0.538934 
-12.000000 	 10.000000 	 8.808741 	 1.151950 	 -0.630745 	 0.910729 
-13.000000 	 10.000000 	 10.310989 	 2.014921 	 -0.335423 	 1.706286 
-14.000000 	 10.000000 	 14.660645 	 2.078322 	 -0.151765 	 1.339507 
-15.000000 	 10.000000 	 16.810579 	 1.455041 	 -0.420561 	 0.866710 
-16.000000 	 10.000000 	 16.613688 	 1.486807 	 -0.504014 	 0.913394 
-17.000000 	 10.000000 	 13.352597 	 2.603336 	 -0.177464 	 1.668765 
-18.000000 	 10.000000 	 7.897652 	 2.839101 	 -0.049223 	 2.086554 
-19.000000 	 10.000000 	 2.967188 	 1.854452 	 0.313475 	 1.493312 
-20.000000 	 10.000000 	 0.769220 	 0.751931 	 0.505938 	 0.683324 
-21.000000 	 10.000000 	 0.544692 	 0.437309 	 0.479577 	 0.330490 
-22.000000 	 10.000000 	 0.580020 	 0.394815 	 0.451009 	 0.224795 
-23.000000 	 10.000000 	 0.554395 	 0.374806 	 0.423744 	 0.184190 
-24.000000 	 10.000000 	 0.568211 	 0.365002 	 0.402808 	 0.164314 
-25.000000 	 10.000000 	 0.571048 	 0.359990 	 0.377610 	 0.159177 
