RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
46.000000 	 50.000000 	 0.244899 	 0.614833 
43.000000 	 50.000000 	 0.368798 	 0.958021 
40.000000 	 50.000000 	 0.726803 	 1.498229 
38.000000 	 50.000000 	 1.272467 	 2.056343 
36.000000 	 50.000000 	 2.072777 	 2.469332 
34.000000 	 50.000000 	 2.775748 	 2.554015 
33.000000 	 50.000000 	 3.051415 	 2.518609 
32.000000 	 50.000000 	 3.300802 	 2.507843 
31.000000 	 50.000000 	 3.585951 	 2.484982 
30.000000 	 50.000000 	 3.844737 	 2.328282 
29.000000 	 50.000000 	 3.834393 	 2.096786 
28.000000 	 50.000000 	 4.016064 	 2.096682 
27.000000 	 50.000000 	 3.966329 	 1.888229 
26.000000 	 50.000000 	 3.747248 	 1.885749 
25.000000 	 50.000000 	 3.443719 	 1.811303 
24.000000 	 50.000000 	 2.833044 	 1.764804 
23.000000 	 50.000000 	 2.184758 	 1.728142 
22.000000 	 50.000000 	 1.604317 	 1.541413 
21.000000 	 50.000000 	 0.847635 	 1.474800 
20.000000 	 50.000000 	 0.508845 	 1.366171 
19.000000 	 50.000000 	 0.340008 	 1.461927 
18.000000 	 50.000000 	 0.358782 	 1.498315 
17.000000 	 50.000000 	 0.157982 	 1.442139 
16.000000 	 50.000000 	 0.254172 	 1.532423 
15.000000 	 50.000000 	 0.201293 	 1.519969 
14.000000 	 50.000000 	 0.283123 	 1.600278 
13.000000 	 50.000000 	 0.236736 	 1.486165 
12.000000 	 50.000000 	 0.240342 	 1.498400 
11.000000 	 50.000000 	 0.318336 	 1.409192 
10.000000 	 50.000000 	 0.282590 	 1.336404 
9.000000 	 50.000000 	 0.244414 	 1.294179 
8.000000 	 50.000000 	 0.137558 	 1.314051 
7.000000 	 50.000000 	 0.114037 	 1.332416 
6.000000 	 50.000000 	 0.166412 	 1.199801 
5.000000 	 50.000000 	 0.088569 	 1.157439 
4.000000 	 50.000000 	 0.085452 	 1.145199 
3.000000 	 50.000000 	 0.024290 	 1.206718 
2.000000 	 50.000000 	 0.028001 	 1.104841 
1.000000 	 50.000000 	 -0.090795 	 1.064299 
0.000000 	 50.000000 	 -0.071374 	 1.070485 
-1.000000 	 50.000000 	 -0.140636 	 1.137484 
-2.000000 	 50.000000 	 -0.200489 	 1.060089 
-3.000000 	 50.000000 	 -0.225934 	 1.171771 
-4.000000 	 50.000000 	 -0.158018 	 1.127772 
-5.000000 	 50.000000 	 -0.236587 	 1.165557 
-6.000000 	 50.000000 	 -0.253575 	 1.277634 
-7.000000 	 50.000000 	 -0.278077 	 1.367484 
-8.000000 	 50.000000 	 -0.371010 	 1.297663 
-9.000000 	 50.000000 	 -0.280919 	 1.411341 
-10.000000 	 50.000000 	 -0.218001 	 1.422507 
-11.000000 	 50.000000 	 -0.209056 	 1.479797 
-12.000000 	 50.000000 	 -0.172918 	 1.519906 
-13.000000 	 50.000000 	 -0.129950 	 1.641018 
-14.000000 	 50.000000 	 -0.174567 	 1.630958 
-15.000000 	 50.000000 	 0.004025 	 1.526837 
-16.000000 	 50.000000 	 0.039847 	 1.551324 
-17.000000 	 50.000000 	 -0.055516 	 1.626557 
-18.000000 	 50.000000 	 -0.169722 	 1.417034 
-19.000000 	 50.000000 	 -0.644150 	 1.602181 
-20.000000 	 50.000000 	 -1.102060 	 1.672441 
-21.000000 	 50.000000 	 -1.810363 	 1.776008 
-22.000000 	 50.000000 	 -2.488259 	 1.894836 
-23.000000 	 50.000000 	 -2.987736 	 1.929730 
-24.000000 	 50.000000 	 -3.383684 	 2.060782 
-25.000000 	 50.000000 	 -3.498096 	 2.215332 
-26.000000 	 50.000000 	 -3.459988 	 2.382168 
-27.000000 	 50.000000 	 -3.346215 	 2.518706 
-28.000000 	 50.000000 	 -3.081890 	 2.664257 
-29.000000 	 50.000000 	 -2.762151 	 2.850260 
-30.000000 	 50.000000 	 -2.431426 	 2.946957 
-31.000000 	 50.000000 	 -2.116380 	 2.856974 
-32.000000 	 50.000000 	 -1.839054 	 2.950406 
-33.000000 	 50.000000 	 -1.394542 	 2.675609 
-34.000000 	 50.000000 	 -1.155636 	 2.414651 
-36.000000 	 50.000000 	 -0.743560 	 2.011847 
-38.000000 	 50.000000 	 -0.324202 	 1.385928 
-40.000000 	 50.000000 	 -0.045467 	 0.888450 
-43.000000 	 50.000000 	 0.068333 	 0.621896 
-46.000000 	 50.000000 	 -0.154444 	 0.583364 
