RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
40.000000 	 50.000000 	 0.292265 	 0.471043 	 -0.634566 	 0.424269 
38.000000 	 50.000000 	 0.253863 	 0.628122 	 -0.646847 	 0.626853 
36.000000 	 50.000000 	 0.417638 	 0.750066 	 -0.552016 	 0.817477 
34.000000 	 50.000000 	 0.899331 	 1.107620 	 -0.432973 	 1.203577 
33.000000 	 50.000000 	 1.424650 	 1.392858 	 -0.325743 	 1.447153 
32.000000 	 50.000000 	 2.137402 	 1.751328 	 0.004710 	 1.831958 
31.000000 	 50.000000 	 2.886336 	 1.999491 	 0.186605 	 2.213951 
30.000000 	 50.000000 	 3.846076 	 2.237612 	 0.278385 	 2.362584 
29.000000 	 50.000000 	 5.125128 	 2.636509 	 0.724524 	 2.594590 
28.000000 	 50.000000 	 6.740033 	 2.717019 	 1.125287 	 2.778760 
27.000000 	 50.000000 	 8.075855 	 2.862926 	 1.423740 	 2.913221 
26.000000 	 50.000000 	 9.366766 	 2.862457 	 1.642120 	 2.868453 
25.000000 	 50.000000 	 10.946303 	 2.764200 	 2.158465 	 2.864806 
24.000000 	 50.000000 	 12.255183 	 2.556421 	 2.512583 	 2.681848 
23.000000 	 50.000000 	 12.848997 	 2.348597 	 2.357193 	 2.508470 
22.000000 	 50.000000 	 13.307578 	 2.069523 	 2.169878 	 2.217473 
21.000000 	 50.000000 	 13.297774 	 1.897091 	 2.077495 	 1.893814 
20.000000 	 50.000000 	 12.613094 	 1.849916 	 1.956329 	 1.626282 
19.000000 	 50.000000 	 12.516928 	 1.767655 	 1.519146 	 1.452636 
18.000000 	 50.000000 	 11.533100 	 1.543729 	 1.110285 	 1.207312 
17.000000 	 50.000000 	 11.099408 	 1.383864 	 0.731504 	 1.077770 
16.000000 	 50.000000 	 10.387192 	 1.087413 	 0.498798 	 0.922938 
15.000000 	 50.000000 	 10.051779 	 0.926008 	 0.316301 	 0.801557 
14.000000 	 50.000000 	 9.822695 	 0.915363 	 0.225565 	 0.726232 
13.000000 	 50.000000 	 9.772200 	 0.890418 	 0.116884 	 0.672540 
12.000000 	 50.000000 	 9.590801 	 0.878038 	 0.072067 	 0.606369 
11.000000 	 50.000000 	 9.394524 	 0.853149 	 0.048677 	 0.568330 
10.000000 	 50.000000 	 9.227044 	 0.844479 	 -0.009301 	 0.538789 
9.000000 	 50.000000 	 9.000685 	 0.860938 	 -0.053930 	 0.524622 
8.000000 	 50.000000 	 8.608952 	 0.911180 	 -0.093227 	 0.512415 
7.000000 	 50.000000 	 8.224430 	 0.937340 	 -0.149780 	 0.493707 
6.000000 	 50.000000 	 7.620372 	 1.027529 	 -0.147761 	 0.510049 
5.000000 	 50.000000 	 7.063309 	 1.005922 	 -0.159851 	 0.538489 
4.000000 	 50.000000 	 6.469648 	 0.981532 	 -0.151204 	 0.515639 
3.000000 	 50.000000 	 6.043697 	 0.953292 	 -0.181037 	 0.539174 
2.000000 	 50.000000 	 5.598053 	 0.883043 	 -0.158048 	 0.548022 
1.000000 	 50.000000 	 5.182536 	 0.789134 	 -0.156193 	 0.538369 
0.000000 	 50.000000 	 5.069491 	 0.703987 	 -0.155681 	 0.529421 
-1.000000 	 50.000000 	 4.936565 	 0.706908 	 -0.166384 	 0.544984 
-2.000000 	 50.000000 	 5.165850 	 0.849672 	 -0.171982 	 0.533260 
-3.000000 	 50.000000 	 5.352919 	 0.903717 	 -0.214472 	 0.512336 
-4.000000 	 50.000000 	 5.736154 	 1.041354 	 -0.243547 	 0.494593 
-5.000000 	 50.000000 	 6.185727 	 1.105463 	 -0.317404 	 0.466214 
-6.000000 	 50.000000 	 6.693407 	 1.112656 	 -0.370028 	 0.447259 
