RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 10.000000 	 0.003804 	 0.364529 
24.000000 	 10.000000 	 -0.029862 	 0.364893 
23.000000 	 10.000000 	 0.028478 	 0.361680 
22.000000 	 10.000000 	 -0.023288 	 0.401801 
21.000000 	 10.000000 	 -0.067996 	 0.493633 
20.000000 	 10.000000 	 -0.060401 	 1.321555 
19.000000 	 10.000000 	 0.208890 	 2.656178 
18.000000 	 10.000000 	 0.544584 	 2.562796 
17.000000 	 10.000000 	 0.808894 	 2.006675 
16.000000 	 10.000000 	 0.938571 	 1.720367 
15.000000 	 10.000000 	 0.914638 	 1.806554 
14.000000 	 10.000000 	 0.616598 	 2.319045 
13.000000 	 10.000000 	 0.366344 	 1.590680 
12.000000 	 10.000000 	 0.269594 	 1.102394 
11.000000 	 10.000000 	 0.295469 	 1.001757 
10.000000 	 10.000000 	 0.217140 	 0.894569 
9.000000 	 10.000000 	 0.179777 	 0.803108 
8.000000 	 10.000000 	 0.039642 	 0.728568 
7.000000 	 10.000000 	 -0.074093 	 0.583647 
6.000000 	 10.000000 	 -0.144914 	 0.525317 
5.000000 	 10.000000 	 -0.118955 	 0.502902 
4.000000 	 10.000000 	 -0.164250 	 0.499638 
3.000000 	 10.000000 	 -0.096020 	 0.484537 
2.000000 	 10.000000 	 -0.080721 	 0.495084 
1.000000 	 10.000000 	 -0.046605 	 0.506694 
0.000000 	 10.000000 	 -0.107583 	 0.453248 
-1.000000 	 10.000000 	 -0.135382 	 0.428100 
-2.000000 	 10.000000 	 -0.169774 	 0.438686 
-3.000000 	 10.000000 	 -0.167701 	 0.465563 
-4.000000 	 10.000000 	 -0.156689 	 0.467499 
-5.000000 	 10.000000 	 -0.141000 	 0.497693 
-6.000000 	 10.000000 	 -0.089385 	 0.575588 
-7.000000 	 10.000000 	 0.034257 	 0.709633 
-8.000000 	 10.000000 	 0.062278 	 0.765091 
-9.000000 	 10.000000 	 0.090965 	 0.873952 
-10.000000 	 10.000000 	 0.049571 	 0.973225 
-11.000000 	 10.000000 	 -0.051790 	 1.311705 
-12.000000 	 10.000000 	 -0.242015 	 1.922792 
-13.000000 	 10.000000 	 -0.302141 	 1.926618 
-14.000000 	 10.000000 	 -0.288059 	 1.904547 
-15.000000 	 10.000000 	 -0.338611 	 1.815419 
-16.000000 	 10.000000 	 -0.339617 	 2.186079 
-17.000000 	 10.000000 	 -0.029977 	 2.273567 
-18.000000 	 10.000000 	 0.400146 	 1.261494 
-19.000000 	 10.000000 	 0.518797 	 0.482550 
-20.000000 	 10.000000 	 0.527003 	 0.335592 
-21.000000 	 10.000000 	 0.522879 	 0.323913 
-22.000000 	 10.000000 	 0.526626 	 0.293962 
-23.000000 	 10.000000 	 0.430498 	 0.299946 
-24.000000 	 10.000000 	 0.547003 	 0.290033 
-25.000000 	 10.000000 	 0.422839 	 0.303488 
