RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 30.000000 	 0.416694 	 0.413202 
34.000000 	 30.000000 	 0.363923 	 0.437982 
33.000000 	 30.000000 	 0.437837 	 0.442307 
32.000000 	 30.000000 	 0.375551 	 0.443617 
31.000000 	 30.000000 	 0.372147 	 0.462553 
30.000000 	 30.000000 	 0.369847 	 0.492781 
29.000000 	 30.000000 	 0.305584 	 0.621431 
28.000000 	 30.000000 	 0.307637 	 0.703710 
27.000000 	 30.000000 	 0.536321 	 1.028840 
26.000000 	 30.000000 	 0.721617 	 1.326663 
25.000000 	 30.000000 	 1.296354 	 1.726397 
24.000000 	 30.000000 	 1.985357 	 2.292483 
23.000000 	 30.000000 	 2.666459 	 2.636442 
22.000000 	 30.000000 	 3.263086 	 3.086296 
21.000000 	 30.000000 	 5.126389 	 3.712965 
20.000000 	 30.000000 	 5.178485 	 3.713156 
19.000000 	 30.000000 	 5.982521 	 3.813028 
18.000000 	 30.000000 	 7.354120 	 3.827682 
17.000000 	 30.000000 	 7.988478 	 3.661036 
16.000000 	 30.000000 	 9.294540 	 3.260198 
15.000000 	 30.000000 	 10.075052 	 2.925207 
14.000000 	 30.000000 	 10.426598 	 2.626770 
13.000000 	 30.000000 	 9.687157 	 2.648681 
12.000000 	 30.000000 	 7.979129 	 2.877745 
11.000000 	 30.000000 	 5.892160 	 2.867793 
10.000000 	 30.000000 	 3.567898 	 2.567231 
9.000000 	 30.000000 	 1.823790 	 2.106323 
8.000000 	 30.000000 	 0.779331 	 1.818177 
7.000000 	 30.000000 	 0.327978 	 1.709045 
6.000000 	 30.000000 	 0.107041 	 1.772328 
5.000000 	 30.000000 	 -0.021508 	 1.686871 
4.000000 	 30.000000 	 -0.201484 	 1.741599 
3.000000 	 30.000000 	 -0.128654 	 1.746376 
2.000000 	 30.000000 	 -0.098799 	 1.744983 
1.000000 	 30.000000 	 -0.010696 	 1.710062 
0.000000 	 30.000000 	 0.171193 	 1.814023 
-1.000000 	 30.000000 	 0.246179 	 1.734920 
-2.000000 	 30.000000 	 0.319922 	 1.678188 
-3.000000 	 30.000000 	 0.360705 	 1.597683 
-4.000000 	 30.000000 	 0.247321 	 1.677928 
-5.000000 	 30.000000 	 0.115104 	 1.626192 
-6.000000 	 30.000000 	 -0.052380 	 1.633787 
-7.000000 	 30.000000 	 -0.440144 	 1.674929 
-8.000000 	 30.000000 	 -1.181755 	 1.820664 
-9.000000 	 30.000000 	 -2.818498 	 2.268250 
-10.000000 	 30.000000 	 -5.079546 	 2.698061 
-11.000000 	 30.000000 	 -7.312035 	 2.769171 
-12.000000 	 30.000000 	 -9.445065 	 2.534997 
-13.000000 	 30.000000 	 -10.304763 	 2.492935 
-14.000000 	 30.000000 	 -9.873207 	 2.901782 
-15.000000 	 30.000000 	 -8.389938 	 3.543904 
-16.000000 	 30.000000 	 -7.301160 	 3.786712 
-17.000000 	 30.000000 	 -6.393638 	 3.902339 
-18.000000 	 30.000000 	 -5.965654 	 3.994918 
-19.000000 	 30.000000 	 -3.887667 	 3.744784 
-20.000000 	 30.000000 	 -3.116846 	 3.303459 
-21.000000 	 30.000000 	 -2.371134 	 2.960946 
-22.000000 	 30.000000 	 -1.625512 	 2.502312 
-23.000000 	 30.000000 	 -0.885624 	 1.897195 
-24.000000 	 30.000000 	 -0.428959 	 1.333394 
-25.000000 	 30.000000 	 -0.164181 	 1.001739 
-26.000000 	 30.000000 	 0.005658 	 0.807911 
-27.000000 	 30.000000 	 0.122469 	 0.620400 
-28.000000 	 30.000000 	 -0.014138 	 0.594896 
-29.000000 	 30.000000 	 0.034175 	 0.545391 
-30.000000 	 30.000000 	 0.107925 	 0.516776 
-31.000000 	 30.000000 	 0.058647 	 0.529859 
-32.000000 	 30.000000 	 0.022439 	 0.532080 
-33.000000 	 30.000000 	 0.048229 	 0.518038 
-34.000000 	 30.000000 	 0.086715 	 0.531438 
-35.000000 	 30.000000 	 0.123177 	 0.539948 
