RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 2.000000 	 0.100720 	 0.391688 
24.000000 	 2.000000 	 0.074489 	 0.383099 
23.000000 	 2.000000 	 0.063063 	 0.396517 
22.000000 	 2.000000 	 0.075948 	 0.383644 
21.000000 	 2.000000 	 0.098014 	 0.385951 
20.000000 	 2.000000 	 0.109548 	 0.387718 
19.000000 	 2.000000 	 0.159118 	 0.766049 
18.000000 	 2.000000 	 4.829795 	 3.185634 
17.000000 	 2.000000 	 8.789704 	 1.392406 
16.000000 	 2.000000 	 8.698812 	 1.063418 
15.000000 	 2.000000 	 7.951973 	 1.109227 
14.000000 	 2.000000 	 6.225988 	 1.738426 
13.000000 	 2.000000 	 2.142578 	 2.218349 
12.000000 	 2.000000 	 0.369678 	 1.116413 
11.000000 	 2.000000 	 0.379907 	 1.126005 
10.000000 	 2.000000 	 0.338434 	 1.135749 
9.000000 	 2.000000 	 0.325148 	 1.067251 
8.000000 	 2.000000 	 0.276822 	 0.899316 
7.000000 	 2.000000 	 0.105494 	 0.670657 
6.000000 	 2.000000 	 0.072322 	 0.508446 
5.000000 	 2.000000 	 0.128638 	 0.470069 
4.000000 	 2.000000 	 0.143734 	 0.443841 
3.000000 	 2.000000 	 0.162310 	 0.419405 
2.000000 	 2.000000 	 0.127228 	 0.445878 
1.000000 	 2.000000 	 0.082121 	 0.438825 
0.000000 	 2.000000 	 0.046334 	 0.423931 
-1.000000 	 2.000000 	 0.005332 	 0.447328 
-2.000000 	 2.000000 	 0.008667 	 0.427703 
-3.000000 	 2.000000 	 0.007259 	 0.434630 
-4.000000 	 2.000000 	 -0.007161 	 0.483948 
-5.000000 	 2.000000 	 -0.028286 	 0.506636 
-6.000000 	 2.000000 	 0.002852 	 0.590379 
-7.000000 	 2.000000 	 0.132001 	 0.826901 
-8.000000 	 2.000000 	 0.165440 	 1.029005 
-9.000000 	 2.000000 	 0.145160 	 1.067658 
-10.000000 	 2.000000 	 0.062677 	 1.106055 
-11.000000 	 2.000000 	 -0.047101 	 1.061323 
-12.000000 	 2.000000 	 -3.209320 	 2.594584 
-13.000000 	 2.000000 	 -6.023825 	 1.326543 
-14.000000 	 2.000000 	 -7.115111 	 1.128395 
-15.000000 	 2.000000 	 -7.836898 	 1.150460 
-16.000000 	 2.000000 	 -7.983320 	 1.462751 
-17.000000 	 2.000000 	 -4.144690 	 2.683861 
-18.000000 	 2.000000 	 -0.015047 	 0.502618 
-19.000000 	 2.000000 	 0.028234 	 0.363957 
-20.000000 	 2.000000 	 0.052759 	 0.371823 
-21.000000 	 2.000000 	 0.065887 	 0.385593 
-22.000000 	 2.000000 	 0.084720 	 0.383494 
-23.000000 	 2.000000 	 0.088581 	 0.399049 
-24.000000 	 2.000000 	 0.051432 	 0.399818 
-25.000000 	 2.000000 	 -0.001342 	 0.390863 
