RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.231646 	 0.384533 	 -0.591282 	 0.200733 
24.000000 	 2.000000 	 0.286879 	 0.372880 	 -0.624802 	 0.199959 
23.000000 	 2.000000 	 0.299643 	 0.399482 	 -0.645440 	 0.201667 
22.000000 	 2.000000 	 0.339028 	 0.391183 	 -0.717506 	 0.205784 
21.000000 	 2.000000 	 0.400072 	 0.378263 	 -0.786403 	 0.216838 
20.000000 	 2.000000 	 0.463194 	 0.420599 	 -0.873956 	 0.250770 
19.000000 	 2.000000 	 0.454618 	 0.568072 	 -0.950997 	 0.493912 
18.000000 	 2.000000 	 6.653697 	 3.330709 	 1.032273 	 2.210997 
17.000000 	 2.000000 	 17.022208 	 2.142682 	 1.432347 	 1.604091 
16.000000 	 2.000000 	 18.103710 	 1.652416 	 1.217006 	 1.678960 
15.000000 	 2.000000 	 18.447405 	 1.479777 	 1.425570 	 1.474463 
14.000000 	 2.000000 	 17.792292 	 1.761980 	 1.498389 	 1.233206 
13.000000 	 2.000000 	 6.527502 	 3.563700 	 0.849701 	 2.372507 
12.000000 	 2.000000 	 8.709659 	 1.381535 	 2.036876 	 0.774508 
11.000000 	 2.000000 	 10.052525 	 0.998155 	 2.145039 	 0.574213 
10.000000 	 2.000000 	 10.259282 	 0.984065 	 2.137353 	 0.592982 
9.000000 	 2.000000 	 9.448577 	 1.481155 	 1.970144 	 0.679922 
8.000000 	 2.000000 	 7.512600 	 2.043642 	 1.533426 	 0.767973 
7.000000 	 2.000000 	 4.810620 	 1.941738 	 0.736025 	 0.689019 
6.000000 	 2.000000 	 0.692855 	 0.570303 	 0.797513 	 0.404966 
5.000000 	 2.000000 	 -0.718258 	 0.716084 	 0.841389 	 0.330042 
4.000000 	 2.000000 	 -1.273773 	 0.753434 	 0.829773 	 0.335879 
3.000000 	 2.000000 	 -1.618740 	 0.699988 	 0.637997 	 0.337623 
2.000000 	 2.000000 	 -1.954267 	 0.657973 	 0.464693 	 0.349390 
1.000000 	 2.000000 	 -2.060506 	 0.605815 	 0.235936 	 0.352937 
0.000000 	 2.000000 	 -2.119801 	 0.571375 	 -0.012584 	 0.357072 
-1.000000 	 2.000000 	 -2.026646 	 0.603015 	 -0.199157 	 0.369528 
-2.000000 	 2.000000 	 -1.852223 	 0.662162 	 -0.465493 	 0.358842 
-3.000000 	 2.000000 	 -1.754267 	 0.678584 	 -0.616626 	 0.351074 
-4.000000 	 2.000000 	 -1.282026 	 0.703517 	 -0.753991 	 0.356950 
-5.000000 	 2.000000 	 -0.710409 	 0.773786 	 -0.823323 	 0.358083 
-6.000000 	 2.000000 	 0.522026 	 0.595739 	 -0.802718 	 0.387230 
-7.000000 	 2.000000 	 3.793007 	 1.840523 	 -0.966205 	 0.638471 
-8.000000 	 2.000000 	 6.752151 	 2.186685 	 -1.822180 	 0.644458 
-9.000000 	 2.000000 	 8.834132 	 1.386601 	 -2.476577 	 0.583441 
-10.000000 	 2.000000 	 9.364982 	 0.893465 	 -2.719047 	 0.529459 
-11.000000 	 2.000000 	 9.022025 	 1.012448 	 -2.748677 	 0.558593 
-12.000000 	 2.000000 	 4.956441 	 1.816732 	 -2.121066 	 1.335941 
-13.000000 	 2.000000 	 11.840957 	 3.258632 	 -0.045518 	 1.504014 
-14.000000 	 2.000000 	 17.792391 	 1.429074 	 -0.989830 	 1.023545 
-15.000000 	 2.000000 	 18.413109 	 1.261921 	 -1.153841 	 1.185693 
-16.000000 	 2.000000 	 18.497137 	 1.476865 	 -1.247607 	 1.330630 
-17.000000 	 2.000000 	 16.768507 	 2.550383 	 -0.999697 	 1.598000 
-18.000000 	 2.000000 	 1.060688 	 1.030922 	 0.928045 	 1.128534 
-19.000000 	 2.000000 	 0.983952 	 0.446707 	 0.868447 	 0.273944 
-20.000000 	 2.000000 	 1.037437 	 0.391441 	 0.735691 	 0.196443 
-21.000000 	 2.000000 	 1.049537 	 0.373846 	 0.684446 	 0.184587 
-22.000000 	 2.000000 	 1.039144 	 0.373846 	 0.612034 	 0.181807 
-23.000000 	 2.000000 	 1.008884 	 0.370133 	 0.530603 	 0.176704 
-24.000000 	 2.000000 	 1.002985 	 0.371799 	 0.485251 	 0.175620 
-25.000000 	 2.000000 	 0.979991 	 0.377818 	 0.412398 	 0.173068 
