RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 10.000000 	 0.577668 	 0.316225 	 -0.514218 	 0.192030 
24.000000 	 10.000000 	 0.481737 	 0.402457 	 -0.570473 	 0.190284 
23.000000 	 10.000000 	 0.544907 	 0.439195 	 -0.654005 	 0.248596 
22.000000 	 10.000000 	 0.393141 	 0.474043 	 -0.762942 	 0.274488 
21.000000 	 10.000000 	 0.551654 	 0.470242 	 -0.714070 	 0.388108 
20.000000 	 10.000000 	 0.864607 	 0.723787 	 -0.746213 	 0.746541 
19.000000 	 10.000000 	 2.214489 	 1.870174 	 -0.706675 	 1.632602 
18.000000 	 10.000000 	 6.541445 	 3.563082 	 -0.611874 	 2.460759 
17.000000 	 10.000000 	 12.782294 	 4.227259 	 -0.230066 	 2.709032 
16.000000 	 10.000000 	 17.867966 	 2.451057 	 -0.202360 	 1.785353 
15.000000 	 10.000000 	 18.586624 	 1.516346 	 -0.543042 	 1.326242 
14.000000 	 10.000000 	 19.636325 	 1.241082 	 -0.856123 	 1.044427 
13.000000 	 10.000000 	 18.295255 	 1.729891 	 -1.171827 	 1.280595 
12.000000 	 10.000000 	 12.700080 	 2.688839 	 -0.825083 	 2.302395 
11.000000 	 10.000000 	 9.042451 	 1.524216 	 -0.523837 	 1.633983 
10.000000 	 10.000000 	 8.813112 	 1.109995 	 -0.907074 	 0.788510 
9.000000 	 10.000000 	 9.500859 	 0.946673 	 -1.155575 	 0.553669 
8.000000 	 10.000000 	 9.281886 	 0.989924 	 -1.348466 	 0.590111 
7.000000 	 10.000000 	 8.554429 	 1.363826 	 -1.555066 	 0.738090 
6.000000 	 10.000000 	 5.516787 	 1.971221 	 -1.386906 	 1.267865 
5.000000 	 10.000000 	 2.069341 	 1.744398 	 -0.757331 	 1.318698 
4.000000 	 10.000000 	 -0.218143 	 1.628950 	 -0.461697 	 1.243185 
3.000000 	 10.000000 	 -1.799854 	 1.463797 	 -0.345417 	 1.263260 
2.000000 	 10.000000 	 -2.617762 	 1.324590 	 -0.180837 	 1.355359 
1.000000 	 10.000000 	 -3.091576 	 1.170725 	 0.018552 	 1.400661 
0.000000 	 10.000000 	 -3.174505 	 1.142714 	 0.297969 	 1.302833 
-1.000000 	 10.000000 	 -3.171361 	 1.149611 	 0.141274 	 1.363537 
-2.000000 	 10.000000 	 -2.853562 	 1.306075 	 0.337976 	 1.247453 
-3.000000 	 10.000000 	 -2.122061 	 1.489571 	 0.415193 	 1.238294 
-4.000000 	 10.000000 	 -0.868862 	 1.631489 	 0.432759 	 1.161294 
-5.000000 	 10.000000 	 1.004839 	 1.681834 	 0.467545 	 1.169683 
-6.000000 	 10.000000 	 3.794252 	 1.941983 	 0.824180 	 1.365662 
-7.000000 	 10.000000 	 6.868145 	 2.127787 	 1.024675 	 1.314048 
-8.000000 	 10.000000 	 9.995447 	 1.195087 	 1.257103 	 0.762180 
-9.000000 	 10.000000 	 10.901089 	 0.960253 	 1.013280 	 0.585200 
-10.000000 	 10.000000 	 9.949803 	 0.908271 	 0.729253 	 0.719545 
-11.000000 	 10.000000 	 9.417778 	 1.473656 	 0.495046 	 1.671779 
-12.000000 	 10.000000 	 12.190371 	 2.564543 	 1.269431 	 2.825322 
-13.000000 	 10.000000 	 18.273371 	 2.154243 	 1.897938 	 1.957901 
-14.000000 	 10.000000 	 19.315574 	 1.644943 	 1.709997 	 1.348291 
-15.000000 	 10.000000 	 19.036506 	 3.095657 	 1.015717 	 1.493517 
-16.000000 	 10.000000 	 13.060503 	 4.954527 	 0.326424 	 2.070526 
-17.000000 	 10.000000 	 5.233095 	 3.080974 	 0.723758 	 1.729643 
-18.000000 	 10.000000 	 1.031163 	 1.110510 	 0.989090 	 1.077984 
-19.000000 	 10.000000 	 0.688329 	 0.452065 	 0.983834 	 0.469800 
-20.000000 	 10.000000 	 0.422564 	 0.364519 	 0.973666 	 0.273651 
-21.000000 	 10.000000 	 0.609693 	 0.307036 	 0.871507 	 0.197972 
-22.000000 	 10.000000 	 0.393680 	 0.296432 	 0.865189 	 0.167632 
-23.000000 	 10.000000 	 0.634320 	 0.259989 	 0.760077 	 0.133310 
-24.000000 	 10.000000 	 0.662512 	 0.259763 	 0.678564 	 0.124322 
-25.000000 	 10.000000 	 0.573904 	 0.343976 	 0.630311 	 0.151488 
