RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 10.000000 	 0.488838 	 0.378053 	 -0.481890 	 0.181027 
24.000000 	 10.000000 	 0.532268 	 0.368382 	 -0.510592 	 0.187385 
23.000000 	 10.000000 	 0.510702 	 0.402009 	 -0.541738 	 0.200141 
22.000000 	 10.000000 	 0.585065 	 0.386993 	 -0.575645 	 0.237149 
21.000000 	 10.000000 	 0.572976 	 0.448136 	 -0.601072 	 0.367801 
20.000000 	 10.000000 	 0.765039 	 0.686641 	 -0.660266 	 0.651546 
19.000000 	 10.000000 	 1.954035 	 1.615245 	 -0.640362 	 1.421230 
18.000000 	 10.000000 	 6.078145 	 3.107802 	 -0.112441 	 2.500206 
17.000000 	 10.000000 	 13.139928 	 3.684783 	 1.046498 	 2.735112 
16.000000 	 10.000000 	 17.370455 	 1.858726 	 1.341948 	 1.545620 
15.000000 	 10.000000 	 18.039152 	 1.286581 	 1.253621 	 1.095395 
14.000000 	 10.000000 	 17.059431 	 1.700364 	 1.045331 	 1.220650 
13.000000 	 10.000000 	 13.152461 	 2.680757 	 0.756565 	 1.976018 
12.000000 	 10.000000 	 9.579707 	 1.612547 	 0.605961 	 1.724790 
11.000000 	 10.000000 	 9.571975 	 0.994439 	 1.007270 	 0.737112 
10.000000 	 10.000000 	 9.497692 	 1.036755 	 1.043297 	 0.542458 
9.000000 	 10.000000 	 8.916015 	 1.179370 	 0.841946 	 0.532706 
8.000000 	 10.000000 	 8.017531 	 1.293361 	 0.103846 	 0.571492 
7.000000 	 10.000000 	 5.824500 	 1.122026 	 -0.819503 	 0.410018 
6.000000 	 10.000000 	 3.268711 	 0.828136 	 -0.902025 	 0.389861 
5.000000 	 10.000000 	 0.987663 	 0.668235 	 -0.674666 	 0.377570 
4.000000 	 10.000000 	 -0.801323 	 0.662193 	 -0.474862 	 0.364243 
3.000000 	 10.000000 	 -2.138188 	 0.606057 	 -0.266241 	 0.336401 
2.000000 	 10.000000 	 -2.904561 	 0.522692 	 -0.079507 	 0.343777 
1.000000 	 10.000000 	 -3.299279 	 0.432116 	 0.033786 	 0.345070 
0.000000 	 10.000000 	 -3.454043 	 0.408406 	 0.137619 	 0.347202 
-1.000000 	 10.000000 	 -3.399206 	 0.448606 	 0.260209 	 0.345293 
-2.000000 	 10.000000 	 -3.061073 	 0.529824 	 0.333018 	 0.342875 
-3.000000 	 10.000000 	 -2.413734 	 0.635860 	 0.440115 	 0.343035 
-4.000000 	 10.000000 	 -1.516999 	 0.675076 	 0.553969 	 0.336151 
-5.000000 	 10.000000 	 -0.127793 	 0.653008 	 0.643896 	 0.333145 
-6.000000 	 10.000000 	 1.389914 	 0.903180 	 0.591755 	 0.451603 
-7.000000 	 10.000000 	 3.854406 	 0.863569 	 0.689180 	 0.356216 
-8.000000 	 10.000000 	 5.897303 	 1.172736 	 0.400938 	 0.437228 
-9.000000 	 10.000000 	 7.467678 	 1.273557 	 -0.559873 	 0.630173 
-10.000000 	 10.000000 	 8.227478 	 1.262209 	 -1.351433 	 0.527547 
-11.000000 	 10.000000 	 8.858975 	 0.982919 	 -1.541263 	 0.528068 
-12.000000 	 10.000000 	 8.769175 	 0.956795 	 -1.463260 	 0.684728 
-13.000000 	 10.000000 	 8.703284 	 1.565731 	 -1.418077 	 1.462120 
-14.000000 	 10.000000 	 12.280122 	 2.712020 	 -1.275929 	 1.996982 
-15.000000 	 10.000000 	 16.791843 	 1.855783 	 -1.850438 	 1.244621 
-16.000000 	 10.000000 	 18.135702 	 1.303256 	 -2.062327 	 1.061740 
-17.000000 	 10.000000 	 18.122327 	 1.707915 	 -2.060072 	 1.401509 
-18.000000 	 10.000000 	 14.996411 	 3.013417 	 -1.925542 	 2.484315 
-19.000000 	 10.000000 	 7.804638 	 3.215821 	 -0.673682 	 2.864779 
-20.000000 	 10.000000 	 2.553096 	 1.865137 	 0.365576 	 1.699308 
-21.000000 	 10.000000 	 0.695238 	 0.729192 	 0.649386 	 0.703990 
-22.000000 	 10.000000 	 0.616413 	 0.433629 	 0.582209 	 0.358872 
-23.000000 	 10.000000 	 0.627111 	 0.370915 	 0.572596 	 0.230638 
-24.000000 	 10.000000 	 0.634010 	 0.385422 	 0.523351 	 0.181512 
-25.000000 	 10.000000 	 0.646449 	 0.367069 	 0.499916 	 0.166057 
