RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
46.000000 	 50.000000 	 0.646538 	 0.810764 	 -0.404256 	 0.846039 
43.000000 	 50.000000 	 1.349855 	 1.328411 	 -0.250735 	 1.355449 
40.000000 	 50.000000 	 2.773890 	 1.924258 	 0.337884 	 2.119999 
38.000000 	 50.000000 	 4.415420 	 2.413310 	 0.971033 	 2.582126 
36.000000 	 50.000000 	 6.217089 	 2.721206 	 1.558817 	 2.991872 
34.000000 	 50.000000 	 8.507293 	 2.847917 	 2.392859 	 3.075434 
33.000000 	 50.000000 	 9.674951 	 2.808145 	 2.567483 	 3.043928 
32.000000 	 50.000000 	 10.298685 	 2.751254 	 2.355616 	 3.136488 
31.000000 	 50.000000 	 11.257154 	 2.775036 	 2.676612 	 3.038147 
30.000000 	 50.000000 	 11.888001 	 2.714632 	 2.992372 	 2.902294 
29.000000 	 50.000000 	 12.519739 	 2.475769 	 2.903582 	 2.842967 
28.000000 	 50.000000 	 13.014918 	 2.240527 	 3.036310 	 2.472738 
27.000000 	 50.000000 	 13.077204 	 2.132439 	 2.871763 	 2.325836 
26.000000 	 50.000000 	 12.956459 	 1.959479 	 2.879937 	 1.959214 
25.000000 	 50.000000 	 12.487936 	 1.923167 	 2.444066 	 1.785692 
24.000000 	 50.000000 	 11.881480 	 1.951785 	 2.331299 	 1.579708 
23.000000 	 50.000000 	 10.520852 	 2.026820 	 2.076161 	 1.391968 
22.000000 	 50.000000 	 8.985041 	 2.016587 	 2.081970 	 1.127969 
21.000000 	 50.000000 	 8.021800 	 2.044685 	 1.915244 	 1.003487 
20.000000 	 50.000000 	 7.177830 	 1.999569 	 1.691827 	 0.972841 
19.000000 	 50.000000 	 6.060344 	 2.267161 	 1.487169 	 0.924099 
18.000000 	 50.000000 	 4.652475 	 2.380012 	 1.197231 	 0.924292 
17.000000 	 50.000000 	 4.264231 	 2.264158 	 1.123259 	 0.905820 
16.000000 	 50.000000 	 3.424653 	 2.171332 	 1.015059 	 0.997635 
15.000000 	 50.000000 	 2.611603 	 2.090770 	 0.854266 	 1.044118 
14.000000 	 50.000000 	 1.945071 	 1.990326 	 0.768146 	 1.085967 
13.000000 	 50.000000 	 1.288239 	 1.862674 	 0.638065 	 1.058934 
12.000000 	 50.000000 	 0.579889 	 1.740149 	 0.489311 	 1.102864 
11.000000 	 50.000000 	 0.242198 	 1.648041 	 0.532602 	 1.166057 
10.000000 	 50.000000 	 -0.173310 	 1.449968 	 0.416778 	 1.205463 
9.000000 	 50.000000 	 -0.419874 	 1.347040 	 0.398301 	 1.116615 
8.000000 	 50.000000 	 -0.806224 	 1.386581 	 0.443972 	 1.250357 
7.000000 	 50.000000 	 -1.053354 	 1.211674 	 0.342215 	 1.193770 
6.000000 	 50.000000 	 -1.357055 	 1.142670 	 0.412419 	 1.061741 
5.000000 	 50.000000 	 -1.494769 	 1.155610 	 0.275007 	 1.072100 
4.000000 	 50.000000 	 -1.703184 	 1.147585 	 0.326531 	 1.125375 
3.000000 	 50.000000 	 -1.870572 	 1.065490 	 0.257035 	 1.123731 
2.000000 	 50.000000 	 -1.906472 	 1.009232 	 0.253283 	 1.057442 
1.000000 	 50.000000 	 -1.917627 	 1.014425 	 0.246075 	 1.118604 
0.000000 	 50.000000 	 -2.118802 	 1.090134 	 0.377434 	 1.225582 
-1.000000 	 50.000000 	 -1.998706 	 1.071044 	 0.177615 	 1.076340 
-2.000000 	 50.000000 	 -1.856029 	 1.082198 	 0.254861 	 1.023467 
-3.000000 	 50.000000 	 -1.828725 	 1.124336 	 0.241904 	 1.179193 
-4.000000 	 50.000000 	 -1.969871 	 1.132265 	 0.379085 	 1.185187 
-5.000000 	 50.000000 	 -1.888633 	 1.254396 	 0.267447 	 1.154188 
-6.000000 	 50.000000 	 -1.684450 	 1.224062 	 0.275442 	 1.174207 
-7.000000 	 50.000000 	 -1.331573 	 1.354259 	 0.315491 	 1.231915 
-8.000000 	 50.000000 	 -1.162878 	 1.449571 	 0.236615 	 1.125650 
-9.000000 	 50.000000 	 -0.984220 	 1.564581 	 0.196287 	 1.184259 
-10.000000 	 50.000000 	 -0.557918 	 1.588708 	 0.089311 	 1.098117 
-11.000000 	 50.000000 	 -0.232885 	 1.786267 	 -0.022529 	 1.158681 
-12.000000 	 50.000000 	 0.532854 	 1.943101 	 -0.257929 	 1.123370 
-13.000000 	 50.000000 	 1.032674 	 2.007626 	 -0.335896 	 1.025191 
-14.000000 	 50.000000 	 1.744538 	 2.105571 	 -0.509602 	 0.978050 
-15.000000 	 50.000000 	 2.501646 	 2.173018 	 -0.711177 	 0.883480 
-16.000000 	 50.000000 	 3.509214 	 2.151097 	 -0.972956 	 0.906237 
-17.000000 	 50.000000 	 4.393282 	 2.252083 	 -1.235303 	 0.931078 
-18.000000 	 50.000000 	 5.239039 	 2.436097 	 -1.433713 	 1.048946 
-19.000000 	 50.000000 	 6.740984 	 2.152639 	 -1.821752 	 1.009393 
-20.000000 	 50.000000 	 7.953429 	 2.081645 	 -2.119249 	 1.107713 
-21.000000 	 50.000000 	 9.205397 	 2.021551 	 -2.379437 	 1.277948 
-22.000000 	 50.000000 	 10.558140 	 2.042772 	 -2.679452 	 1.501883 
-23.000000 	 50.000000 	 11.464571 	 2.021050 	 -2.910866 	 1.744384 
-24.000000 	 50.000000 	 12.295286 	 2.020053 	 -3.149859 	 2.093398 
-25.000000 	 50.000000 	 12.671868 	 2.079051 	 -3.312716 	 2.387327 
-26.000000 	 50.000000 	 12.718823 	 2.311980 	 -3.012598 	 2.791621 
-27.000000 	 50.000000 	 12.119241 	 2.636718 	 -3.049292 	 3.034785 
-28.000000 	 50.000000 	 11.436934 	 2.712871 	 -2.819232 	 3.265901 
-29.000000 	 50.000000 	 10.240266 	 2.944406 	 -2.442115 	 3.381528 
-30.000000 	 50.000000 	 8.989530 	 3.018300 	 -1.883209 	 3.324371 
-31.000000 	 50.000000 	 7.724254 	 2.928403 	 -1.540844 	 3.236861 
-32.000000 	 50.000000 	 6.171155 	 2.766541 	 -0.778692 	 2.973834 
-33.000000 	 50.000000 	 5.148282 	 2.470127 	 -0.333646 	 2.723515 
-34.000000 	 50.000000 	 3.822044 	 2.148385 	 0.242468 	 2.229019 
-36.000000 	 50.000000 	 2.375690 	 1.595866 	 0.592523 	 1.748238 
-38.000000 	 50.000000 	 1.203988 	 1.164077 	 0.769212 	 1.143287 
-40.000000 	 50.000000 	 0.828141 	 0.870336 	 0.768293 	 0.853778 
-43.000000 	 50.000000 	 0.611901 	 0.563876 	 0.751993 	 0.472878 
-46.000000 	 50.000000 	 0.600655 	 0.439310 	 0.669450 	 0.346567 
