RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 10.000000 	 0.250056 	 0.382398 
24.000000 	 10.000000 	 0.219545 	 0.436352 
23.000000 	 10.000000 	 0.220392 	 0.562650 
22.000000 	 10.000000 	 0.474654 	 0.988819 
21.000000 	 10.000000 	 1.858913 	 2.264629 
20.000000 	 10.000000 	 5.040974 	 3.680483 
19.000000 	 10.000000 	 9.621315 	 3.583636 
18.000000 	 10.000000 	 11.805991 	 2.102977 
17.000000 	 10.000000 	 11.613409 	 1.604492 
16.000000 	 10.000000 	 9.415482 	 2.452425 
15.000000 	 10.000000 	 5.080359 	 3.038873 
14.000000 	 10.000000 	 1.426382 	 1.978818 
13.000000 	 10.000000 	 0.197753 	 1.087780 
12.000000 	 10.000000 	 0.186756 	 0.944837 
11.000000 	 10.000000 	 0.182600 	 0.894985 
10.000000 	 10.000000 	 0.156975 	 0.851341 
9.000000 	 10.000000 	 0.143896 	 0.856247 
8.000000 	 10.000000 	 0.118085 	 0.874586 
7.000000 	 10.000000 	 0.095379 	 0.944781 
6.000000 	 10.000000 	 0.033246 	 0.903440 
5.000000 	 10.000000 	 -0.014022 	 0.809665 
4.000000 	 10.000000 	 -0.047137 	 0.655435 
3.000000 	 10.000000 	 -0.052922 	 0.608046 
2.000000 	 10.000000 	 -0.007499 	 0.528185 
1.000000 	 10.000000 	 -0.018220 	 0.511011 
0.000000 	 10.000000 	 -0.095497 	 0.545270 
-1.000000 	 10.000000 	 0.033769 	 0.592004 
-2.000000 	 10.000000 	 -0.055415 	 0.612124 
-3.000000 	 10.000000 	 0.004145 	 0.623428 
-4.000000 	 10.000000 	 -0.021864 	 0.705226 
-5.000000 	 10.000000 	 0.025824 	 0.830903 
-6.000000 	 10.000000 	 -0.073800 	 0.903951 
-7.000000 	 10.000000 	 -0.014495 	 0.781097 
-8.000000 	 10.000000 	 0.049676 	 0.761833 
-9.000000 	 10.000000 	 0.024011 	 0.768383 
-10.000000 	 10.000000 	 0.067701 	 0.823309 
-11.000000 	 10.000000 	 0.052418 	 0.887081 
-12.000000 	 10.000000 	 -0.067181 	 1.054670 
-13.000000 	 10.000000 	 -1.763664 	 2.105937 
-14.000000 	 10.000000 	 -6.589247 	 3.019792 
-15.000000 	 10.000000 	 -10.249892 	 1.665753 
-16.000000 	 10.000000 	 -11.094698 	 1.419633 
-17.000000 	 10.000000 	 -10.526239 	 2.313329 
-18.000000 	 10.000000 	 -7.161802 	 3.714674 
-19.000000 	 10.000000 	 -2.864183 	 2.891965 
-20.000000 	 10.000000 	 -0.531281 	 1.709851 
-21.000000 	 10.000000 	 0.354728 	 0.623820 
-22.000000 	 10.000000 	 0.419523 	 0.415760 
-23.000000 	 10.000000 	 0.405655 	 0.341541 
-24.000000 	 10.000000 	 0.405287 	 0.335141 
-25.000000 	 10.000000 	 0.379630 	 0.342572 
