RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 40.000000 	 0.502927 	 0.428867 
34.000000 	 40.000000 	 0.550776 	 0.451919 
33.000000 	 40.000000 	 0.571545 	 0.566306 
32.000000 	 40.000000 	 0.700986 	 0.777968 
31.000000 	 40.000000 	 0.868953 	 0.974524 
30.000000 	 40.000000 	 1.193823 	 1.350885 
29.000000 	 40.000000 	 1.442903 	 1.734193 
28.000000 	 40.000000 	 1.897282 	 2.086045 
27.000000 	 40.000000 	 2.348201 	 2.317306 
26.000000 	 40.000000 	 2.525493 	 2.742839 
25.000000 	 40.000000 	 3.054485 	 2.726542 
24.000000 	 40.000000 	 3.420856 	 2.703207 
23.000000 	 40.000000 	 3.753548 	 2.692592 
22.000000 	 40.000000 	 4.000448 	 2.421023 
21.000000 	 40.000000 	 4.074099 	 2.230285 
20.000000 	 40.000000 	 3.601168 	 2.022405 
19.000000 	 40.000000 	 2.819232 	 1.818756 
18.000000 	 40.000000 	 2.334295 	 1.751206 
17.000000 	 40.000000 	 1.469369 	 1.395128 
16.000000 	 40.000000 	 0.855375 	 1.062833 
15.000000 	 40.000000 	 0.557350 	 0.920022 
14.000000 	 40.000000 	 0.336647 	 0.813577 
13.000000 	 40.000000 	 0.227230 	 0.738752 
12.000000 	 40.000000 	 0.195885 	 0.703540 
11.000000 	 40.000000 	 0.161326 	 0.664273 
10.000000 	 40.000000 	 0.139492 	 0.687259 
9.000000 	 40.000000 	 0.148303 	 0.679288 
8.000000 	 40.000000 	 0.127413 	 0.668274 
7.000000 	 40.000000 	 0.117799 	 0.690411 
6.000000 	 40.000000 	 0.099470 	 0.683745 
5.000000 	 40.000000 	 0.063951 	 0.635622 
4.000000 	 40.000000 	 -0.001233 	 0.639782 
3.000000 	 40.000000 	 -0.087358 	 0.602070 
2.000000 	 40.000000 	 -0.221125 	 0.580265 
1.000000 	 40.000000 	 -0.279224 	 0.536438 
0.000000 	 40.000000 	 -0.282106 	 0.531059 
-1.000000 	 40.000000 	 -0.282096 	 0.509666 
-2.000000 	 40.000000 	 -0.226187 	 0.518483 
-3.000000 	 40.000000 	 -0.151130 	 0.544457 
-4.000000 	 40.000000 	 -0.112873 	 0.546421 
-5.000000 	 40.000000 	 -0.051285 	 0.560535 
-6.000000 	 40.000000 	 0.002218 	 0.614044 
-7.000000 	 40.000000 	 -0.007427 	 0.632862 
-8.000000 	 40.000000 	 0.083446 	 0.636261 
-9.000000 	 40.000000 	 0.063538 	 0.661372 
-10.000000 	 40.000000 	 0.046981 	 0.730141 
-11.000000 	 40.000000 	 -0.071509 	 0.785251 
-12.000000 	 40.000000 	 -0.263813 	 0.885787 
-13.000000 	 40.000000 	 -0.589421 	 1.029869 
-14.000000 	 40.000000 	 -1.069440 	 1.323921 
-15.000000 	 40.000000 	 -1.766305 	 1.614334 
-16.000000 	 40.000000 	 -2.523045 	 1.852517 
-17.000000 	 40.000000 	 -3.366206 	 1.962642 
-18.000000 	 40.000000 	 -3.815919 	 2.018954 
-19.000000 	 40.000000 	 -3.854291 	 2.251785 
-20.000000 	 40.000000 	 -3.622358 	 2.516912 
-21.000000 	 40.000000 	 -3.219504 	 2.726955 
-22.000000 	 40.000000 	 -2.812634 	 2.871926 
-23.000000 	 40.000000 	 -2.037829 	 2.836453 
-24.000000 	 40.000000 	 -1.622207 	 2.583190 
-25.000000 	 40.000000 	 -0.800436 	 1.962070 
-26.000000 	 40.000000 	 -0.416578 	 1.589853 
-27.000000 	 40.000000 	 -0.000670 	 0.965335 
-28.000000 	 40.000000 	 0.199750 	 0.794423 
-29.000000 	 40.000000 	 0.274282 	 0.589240 
-30.000000 	 40.000000 	 0.273016 	 0.456784 
-31.000000 	 40.000000 	 0.226347 	 0.386136 
-32.000000 	 40.000000 	 0.240858 	 0.357333 
-33.000000 	 40.000000 	 0.263225 	 0.375000 
-34.000000 	 40.000000 	 0.285621 	 0.366550 
-35.000000 	 40.000000 	 0.295154 	 0.380407 
