RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
40.000000 	 70.000000 	 0.278479 	 0.386247 
38.000000 	 70.000000 	 0.338556 	 0.427468 
36.000000 	 70.000000 	 0.353723 	 0.544592 
34.000000 	 70.000000 	 0.366712 	 0.717826 
33.000000 	 70.000000 	 0.332874 	 0.801166 
32.000000 	 70.000000 	 0.466356 	 1.001885 
31.000000 	 70.000000 	 0.473851 	 1.156935 
30.000000 	 70.000000 	 0.446627 	 1.342890 
29.000000 	 70.000000 	 0.430371 	 1.592794 
28.000000 	 70.000000 	 0.338899 	 1.825698 
27.000000 	 70.000000 	 0.221644 	 1.991518 
26.000000 	 70.000000 	 0.228846 	 2.131293 
25.000000 	 70.000000 	 0.165695 	 2.289031 
24.000000 	 70.000000 	 0.307508 	 2.399069 
23.000000 	 70.000000 	 0.178439 	 2.383920 
22.000000 	 70.000000 	 0.297148 	 2.431134 
21.000000 	 70.000000 	 0.439097 	 2.251238 
20.000000 	 70.000000 	 0.457802 	 2.137933 
19.000000 	 70.000000 	 0.587172 	 1.926389 
18.000000 	 70.000000 	 0.653846 	 1.761796 
17.000000 	 70.000000 	 0.626678 	 1.689663 
16.000000 	 70.000000 	 0.583102 	 1.631037 
15.000000 	 70.000000 	 0.640566 	 1.598380 
14.000000 	 70.000000 	 0.655722 	 1.606981 
13.000000 	 70.000000 	 0.719798 	 1.574575 
12.000000 	 70.000000 	 0.552222 	 1.411090 
11.000000 	 70.000000 	 0.540590 	 1.357580 
10.000000 	 70.000000 	 0.524309 	 1.298630 
9.000000 	 70.000000 	 0.432222 	 1.193209 
8.000000 	 70.000000 	 0.471769 	 1.231890 
7.000000 	 70.000000 	 0.377197 	 1.073810 
6.000000 	 70.000000 	 0.420479 	 1.108228 
5.000000 	 70.000000 	 0.385593 	 1.034459 
4.000000 	 70.000000 	 0.381518 	 1.019107 
3.000000 	 70.000000 	 0.358617 	 0.994807 
2.000000 	 70.000000 	 0.335196 	 1.014653 
1.000000 	 70.000000 	 0.287976 	 0.968211 
0.000000 	 70.000000 	 0.241975 	 0.943546 
-1.000000 	 70.000000 	 0.213143 	 0.901647 
-2.000000 	 70.000000 	 0.205838 	 0.896396 
-3.000000 	 70.000000 	 0.137292 	 0.857852 
-4.000000 	 70.000000 	 0.076243 	 0.921075 
-5.000000 	 70.000000 	 0.114788 	 0.886639 
-6.000000 	 70.000000 	 0.093446 	 0.883016 
-7.000000 	 70.000000 	 0.092587 	 0.908160 
-8.000000 	 70.000000 	 0.076558 	 0.880028 
-9.000000 	 70.000000 	 0.062134 	 0.853839 
-10.000000 	 70.000000 	 0.039948 	 0.896293 
-11.000000 	 70.000000 	 0.052195 	 0.912341 
-12.000000 	 70.000000 	 0.038701 	 0.930046 
-13.000000 	 70.000000 	 -0.008779 	 1.063433 
-14.000000 	 70.000000 	 -0.062238 	 1.074288 
-15.000000 	 70.000000 	 -0.058095 	 1.245995 
-16.000000 	 70.000000 	 -0.090790 	 1.365311 
-17.000000 	 70.000000 	 -0.062044 	 1.490050 
-18.000000 	 70.000000 	 -0.035669 	 1.610408 
-19.000000 	 70.000000 	 -0.153210 	 1.730694 
-20.000000 	 70.000000 	 -0.159137 	 1.821675 
-21.000000 	 70.000000 	 -0.200455 	 1.906645 
-22.000000 	 70.000000 	 -0.209144 	 2.029676 
-23.000000 	 70.000000 	 -0.154149 	 2.005773 
-24.000000 	 70.000000 	 -0.132075 	 1.975798 
-25.000000 	 70.000000 	 -0.218290 	 1.896662 
-26.000000 	 70.000000 	 -0.002644 	 1.699840 
-27.000000 	 70.000000 	 0.104594 	 1.547202 
-28.000000 	 70.000000 	 0.124147 	 1.482359 
-29.000000 	 70.000000 	 0.357792 	 1.203004 
-30.000000 	 70.000000 	 0.343682 	 1.038372 
-31.000000 	 70.000000 	 0.308177 	 0.919452 
-32.000000 	 70.000000 	 0.455244 	 0.863011 
-33.000000 	 70.000000 	 0.468510 	 0.701736 
-34.000000 	 70.000000 	 0.438845 	 0.600537 
-36.000000 	 70.000000 	 0.398994 	 0.522243 
-38.000000 	 70.000000 	 0.364404 	 0.439881 
-40.000000 	 70.000000 	 0.385175 	 0.454316 
