RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 30.000000 	 0.082419 	 0.522881 
34.000000 	 30.000000 	 0.147146 	 0.561507 
33.000000 	 30.000000 	 0.178199 	 0.513304 
32.000000 	 30.000000 	 0.084918 	 0.501985 
31.000000 	 30.000000 	 0.072134 	 0.502336 
30.000000 	 30.000000 	 0.054157 	 0.502914 
29.000000 	 30.000000 	 0.133457 	 0.487353 
28.000000 	 30.000000 	 0.074051 	 0.533449 
27.000000 	 30.000000 	 0.082176 	 0.545166 
26.000000 	 30.000000 	 -0.026891 	 0.537474 
25.000000 	 30.000000 	 -0.020748 	 0.517227 
24.000000 	 30.000000 	 0.043626 	 0.658806 
23.000000 	 30.000000 	 0.019076 	 0.966477 
22.000000 	 30.000000 	 0.069259 	 1.481140 
21.000000 	 30.000000 	 0.106271 	 2.017421 
20.000000 	 30.000000 	 0.150906 	 2.420408 
19.000000 	 30.000000 	 0.206185 	 2.531348 
18.000000 	 30.000000 	 0.440409 	 2.231270 
17.000000 	 30.000000 	 0.628768 	 1.621665 
16.000000 	 30.000000 	 0.670640 	 1.490144 
15.000000 	 30.000000 	 0.562924 	 1.656357 
14.000000 	 30.000000 	 0.443231 	 1.642335 
13.000000 	 30.000000 	 0.316369 	 1.352856 
12.000000 	 30.000000 	 0.274121 	 1.151379 
11.000000 	 30.000000 	 0.248502 	 0.981193 
10.000000 	 30.000000 	 0.224172 	 0.918292 
9.000000 	 30.000000 	 0.193798 	 0.931402 
8.000000 	 30.000000 	 0.190900 	 0.859418 
7.000000 	 30.000000 	 0.149742 	 0.845842 
6.000000 	 30.000000 	 0.130499 	 0.816870 
5.000000 	 30.000000 	 0.125731 	 0.785612 
4.000000 	 30.000000 	 0.115084 	 0.775518 
3.000000 	 30.000000 	 0.083447 	 0.764956 
2.000000 	 30.000000 	 0.023428 	 0.771353 
1.000000 	 30.000000 	 -0.033790 	 0.786843 
0.000000 	 30.000000 	 -0.149464 	 0.731702 
-1.000000 	 30.000000 	 -0.186098 	 0.717589 
-2.000000 	 30.000000 	 -0.160747 	 0.728340 
-3.000000 	 30.000000 	 -0.092548 	 0.768860 
-4.000000 	 30.000000 	 -0.001909 	 0.802963 
-5.000000 	 30.000000 	 0.048200 	 0.834777 
-6.000000 	 30.000000 	 0.069334 	 0.921689 
-7.000000 	 30.000000 	 0.081139 	 0.913543 
-8.000000 	 30.000000 	 0.111501 	 0.969707 
-9.000000 	 30.000000 	 0.133211 	 0.987615 
-10.000000 	 30.000000 	 0.167820 	 1.002016 
-11.000000 	 30.000000 	 0.146699 	 1.061685 
-12.000000 	 30.000000 	 0.138009 	 1.156900 
-13.000000 	 30.000000 	 0.065992 	 1.353372 
-14.000000 	 30.000000 	 -0.000322 	 1.612652 
-15.000000 	 30.000000 	 -0.035779 	 1.556344 
-16.000000 	 30.000000 	 -0.039272 	 1.424769 
-17.000000 	 30.000000 	 -0.031524 	 1.652633 
-18.000000 	 30.000000 	 -0.010444 	 2.156488 
-19.000000 	 30.000000 	 -0.014679 	 2.399955 
-20.000000 	 30.000000 	 -0.080582 	 2.157130 
-21.000000 	 30.000000 	 -0.043468 	 1.620894 
-22.000000 	 30.000000 	 0.002982 	 1.148629 
-23.000000 	 30.000000 	 -0.047708 	 0.795524 
-24.000000 	 30.000000 	 0.054712 	 0.573156 
-25.000000 	 30.000000 	 -0.077421 	 0.529348 
-26.000000 	 30.000000 	 -0.172130 	 0.511889 
-27.000000 	 30.000000 	 -0.048729 	 0.504102 
-28.000000 	 30.000000 	 0.086828 	 0.498199 
-29.000000 	 30.000000 	 -0.000078 	 0.502092 
-30.000000 	 30.000000 	 0.019649 	 0.505220 
-31.000000 	 30.000000 	 -0.044441 	 0.498679 
-32.000000 	 30.000000 	 -0.030396 	 0.487243 
-33.000000 	 30.000000 	 0.004810 	 0.513639 
-34.000000 	 30.000000 	 0.025562 	 0.526350 
-35.000000 	 30.000000 	 0.020287 	 0.525315 
