RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.269474 	 0.374399 	 -0.446185 	 0.234115 
24.000000 	 2.000000 	 0.317343 	 0.359693 	 -0.473017 	 0.220973 
23.000000 	 2.000000 	 0.345386 	 0.350740 	 -0.481295 	 0.216711 
22.000000 	 2.000000 	 0.346744 	 0.366631 	 -0.502078 	 0.197359 
21.000000 	 2.000000 	 0.440250 	 0.386826 	 -0.571771 	 0.236580 
20.000000 	 2.000000 	 0.482523 	 0.421748 	 -0.617281 	 0.210615 
19.000000 	 2.000000 	 0.439836 	 0.416594 	 -0.697757 	 0.281414 
18.000000 	 2.000000 	 2.190601 	 1.803207 	 -0.221273 	 1.353874 
17.000000 	 2.000000 	 16.713375 	 2.011678 	 0.693974 	 1.125071 
16.000000 	 2.000000 	 17.758956 	 1.327586 	 0.734535 	 0.924598 
15.000000 	 2.000000 	 17.618329 	 1.210314 	 0.425000 	 0.848534 
14.000000 	 2.000000 	 16.573100 	 1.569513 	 0.043839 	 0.884495 
13.000000 	 2.000000 	 8.306636 	 3.432491 	 -0.343385 	 1.969387 
12.000000 	 2.000000 	 7.520740 	 1.646730 	 1.387030 	 0.763194 
11.000000 	 2.000000 	 9.785615 	 1.089334 	 1.361117 	 0.524977 
10.000000 	 2.000000 	 10.296848 	 0.908527 	 1.298237 	 0.525983 
9.000000 	 2.000000 	 9.995594 	 1.155015 	 1.219061 	 0.577412 
8.000000 	 2.000000 	 8.396273 	 1.839278 	 1.055139 	 0.670799 
7.000000 	 2.000000 	 5.460700 	 1.889044 	 0.550196 	 0.577760 
6.000000 	 2.000000 	 1.655773 	 0.471400 	 0.633461 	 0.359828 
5.000000 	 2.000000 	 -0.085490 	 0.413891 	 0.880675 	 0.234994 
4.000000 	 2.000000 	 -1.463493 	 0.481292 	 0.961948 	 0.220962 
3.000000 	 2.000000 	 -2.420442 	 0.450711 	 0.902102 	 0.226907 
2.000000 	 2.000000 	 -3.009868 	 0.429658 	 0.724142 	 0.226973 
1.000000 	 2.000000 	 -3.363735 	 0.394629 	 0.471363 	 0.219429 
0.000000 	 2.000000 	 -3.450327 	 0.392079 	 0.181384 	 0.226707 
-1.000000 	 2.000000 	 -3.405646 	 0.396876 	 -0.112018 	 0.220694 
-2.000000 	 2.000000 	 -3.119849 	 0.440061 	 -0.387668 	 0.226691 
-3.000000 	 2.000000 	 -2.571768 	 0.469558 	 -0.605860 	 0.220420 
-4.000000 	 2.000000 	 -1.600490 	 0.467836 	 -0.762056 	 0.223795 
-5.000000 	 2.000000 	 -0.264465 	 0.405815 	 -0.802089 	 0.220014 
-6.000000 	 2.000000 	 1.380555 	 0.434956 	 -0.715484 	 0.308670 
-7.000000 	 2.000000 	 4.723270 	 1.678898 	 -0.786221 	 0.512590 
-8.000000 	 2.000000 	 7.934701 	 1.728423 	 -1.542536 	 0.545995 
-9.000000 	 2.000000 	 9.238596 	 1.124904 	 -1.988738 	 0.536722 
-10.000000 	 2.000000 	 9.530308 	 0.862830 	 -2.054427 	 0.499251 
-11.000000 	 2.000000 	 8.665829 	 1.118340 	 -2.062220 	 0.537343 
-12.000000 	 2.000000 	 3.338378 	 1.828745 	 -1.313868 	 1.523600 
-13.000000 	 2.000000 	 14.480155 	 2.636847 	 0.233076 	 1.324756 
-14.000000 	 2.000000 	 18.629571 	 1.445704 	 -0.273684 	 0.876699 
-15.000000 	 2.000000 	 19.938633 	 1.180972 	 -0.550480 	 0.841061 
-16.000000 	 2.000000 	 19.732514 	 1.498794 	 -0.671433 	 1.010935 
-17.000000 	 2.000000 	 16.081365 	 3.261734 	 -0.390352 	 1.444364 
-18.000000 	 2.000000 	 0.780551 	 0.698841 	 0.849762 	 0.659688 
-19.000000 	 2.000000 	 0.796117 	 0.404655 	 0.811079 	 0.213628 
-20.000000 	 2.000000 	 0.864834 	 0.367968 	 0.719550 	 0.190703 
-21.000000 	 2.000000 	 0.890896 	 0.357431 	 0.651691 	 0.196473 
-22.000000 	 2.000000 	 0.900989 	 0.358648 	 0.589518 	 0.190872 
-23.000000 	 2.000000 	 0.895601 	 0.348444 	 0.545196 	 0.189911 
-24.000000 	 2.000000 	 0.914122 	 0.390218 	 0.528300 	 0.181962 
-25.000000 	 2.000000 	 0.895777 	 0.381701 	 0.473975 	 0.182660 
