RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 10.000000 	 0.090422 	 0.427876 
24.000000 	 10.000000 	 0.252201 	 0.357496 
23.000000 	 10.000000 	 0.149746 	 0.379556 
22.000000 	 10.000000 	 0.109687 	 0.401994 
21.000000 	 10.000000 	 0.061527 	 0.514163 
20.000000 	 10.000000 	 0.049676 	 1.255997 
19.000000 	 10.000000 	 0.206110 	 2.440374 
18.000000 	 10.000000 	 0.532196 	 2.746358 
17.000000 	 10.000000 	 0.795092 	 2.112262 
16.000000 	 10.000000 	 1.004408 	 1.635676 
15.000000 	 10.000000 	 0.826617 	 1.770928 
14.000000 	 10.000000 	 0.681002 	 2.257394 
13.000000 	 10.000000 	 0.343866 	 1.856707 
12.000000 	 10.000000 	 0.268076 	 1.194382 
11.000000 	 10.000000 	 0.269546 	 1.025669 
10.000000 	 10.000000 	 0.208269 	 0.926024 
9.000000 	 10.000000 	 0.174967 	 0.832158 
8.000000 	 10.000000 	 0.072074 	 0.796863 
7.000000 	 10.000000 	 -0.041586 	 0.629825 
6.000000 	 10.000000 	 -0.005370 	 0.521583 
5.000000 	 10.000000 	 0.023844 	 0.451265 
4.000000 	 10.000000 	 0.067201 	 0.445650 
3.000000 	 10.000000 	 0.053267 	 0.425699 
2.000000 	 10.000000 	 0.061174 	 0.403631 
1.000000 	 10.000000 	 0.023831 	 0.409397 
0.000000 	 10.000000 	 -0.015226 	 0.395627 
-1.000000 	 10.000000 	 -0.078470 	 0.390950 
-2.000000 	 10.000000 	 -0.072140 	 0.401841 
-3.000000 	 10.000000 	 -0.073789 	 0.437510 
-4.000000 	 10.000000 	 -0.055201 	 0.476568 
-5.000000 	 10.000000 	 -0.095148 	 0.506189 
-6.000000 	 10.000000 	 -0.083595 	 0.618032 
-7.000000 	 10.000000 	 0.031430 	 0.726212 
-8.000000 	 10.000000 	 0.042089 	 0.774194 
-9.000000 	 10.000000 	 0.057556 	 0.896831 
-10.000000 	 10.000000 	 0.008235 	 0.947659 
-11.000000 	 10.000000 	 -0.051669 	 1.251939 
-12.000000 	 10.000000 	 -0.258577 	 1.998703 
-13.000000 	 10.000000 	 -0.257853 	 1.980405 
-14.000000 	 10.000000 	 -0.232220 	 1.920571 
-15.000000 	 10.000000 	 -0.349475 	 1.791257 
-16.000000 	 10.000000 	 -0.213984 	 2.118512 
-17.000000 	 10.000000 	 -0.003695 	 2.108557 
-18.000000 	 10.000000 	 0.393626 	 1.318693 
-19.000000 	 10.000000 	 0.478894 	 0.546612 
-20.000000 	 10.000000 	 0.495383 	 0.304328 
-21.000000 	 10.000000 	 0.429394 	 0.303848 
-22.000000 	 10.000000 	 0.445006 	 0.303251 
-23.000000 	 10.000000 	 0.479643 	 0.304204 
-24.000000 	 10.000000 	 0.441517 	 0.293071 
-25.000000 	 10.000000 	 0.440501 	 0.314976 
