RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.214878 	 0.384705 	 -0.462723 	 0.209754 
24.000000 	 2.000000 	 0.467727 	 0.407002 	 -0.444494 	 0.246738 
23.000000 	 2.000000 	 0.454516 	 0.400764 	 -0.423683 	 0.236880 
22.000000 	 2.000000 	 0.484012 	 0.420541 	 -0.482825 	 0.243766 
21.000000 	 2.000000 	 0.554571 	 0.399288 	 -0.524099 	 0.227397 
20.000000 	 2.000000 	 0.520150 	 0.417848 	 -0.624609 	 0.220833 
19.000000 	 2.000000 	 0.568482 	 0.463739 	 -0.705816 	 0.325377 
18.000000 	 2.000000 	 2.449244 	 1.861563 	 -0.473337 	 1.359987 
17.000000 	 2.000000 	 17.696351 	 2.454920 	 -0.333222 	 1.185615 
16.000000 	 2.000000 	 20.899861 	 1.831189 	 -0.554358 	 0.925380 
15.000000 	 2.000000 	 21.634292 	 1.504815 	 -0.725265 	 0.873862 
14.000000 	 2.000000 	 20.103193 	 1.953400 	 -0.883585 	 1.001890 
13.000000 	 2.000000 	 12.048777 	 3.964279 	 -1.058483 	 2.070552 
12.000000 	 2.000000 	 7.345358 	 1.556145 	 1.267393 	 0.795171 
11.000000 	 2.000000 	 9.127638 	 1.122601 	 1.245710 	 0.610095 
10.000000 	 2.000000 	 9.857506 	 0.963309 	 1.173086 	 0.622240 
9.000000 	 2.000000 	 9.736490 	 1.148033 	 1.087497 	 0.635075 
8.000000 	 2.000000 	 8.461545 	 1.721453 	 0.913540 	 0.708448 
7.000000 	 2.000000 	 5.704264 	 1.783443 	 0.437907 	 0.586242 
6.000000 	 2.000000 	 1.714779 	 0.510636 	 0.495559 	 0.378213 
5.000000 	 2.000000 	 0.100671 	 0.433092 	 0.686747 	 0.255881 
4.000000 	 2.000000 	 -1.228993 	 0.488001 	 0.733244 	 0.226530 
3.000000 	 2.000000 	 -2.276851 	 0.510099 	 0.676818 	 0.225920 
2.000000 	 2.000000 	 -2.936637 	 0.496698 	 0.521374 	 0.237665 
1.000000 	 2.000000 	 -3.350861 	 0.479338 	 0.306588 	 0.242875 
0.000000 	 2.000000 	 -3.588076 	 0.450765 	 0.069087 	 0.245138 
-1.000000 	 2.000000 	 -3.630872 	 0.443515 	 -0.192417 	 0.249815 
-2.000000 	 2.000000 	 -3.455283 	 0.468013 	 -0.436708 	 0.246535 
-3.000000 	 2.000000 	 -2.905059 	 0.512721 	 -0.641145 	 0.246015 
-4.000000 	 2.000000 	 -1.854516 	 0.539803 	 -0.753533 	 0.239246 
-5.000000 	 2.000000 	 -0.221375 	 0.451660 	 -0.748627 	 0.251119 
-6.000000 	 2.000000 	 1.856306 	 0.539209 	 -0.585912 	 0.384229 
-7.000000 	 2.000000 	 5.757233 	 1.819699 	 -0.766809 	 0.571672 
-8.000000 	 2.000000 	 8.422886 	 1.814238 	 -1.475992 	 0.692076 
-9.000000 	 2.000000 	 9.863180 	 1.158402 	 -1.740908 	 0.606948 
-10.000000 	 2.000000 	 9.843736 	 0.988914 	 -1.777323 	 0.616887 
-11.000000 	 2.000000 	 8.660402 	 1.229568 	 -1.768571 	 0.641910 
-12.000000 	 2.000000 	 3.286058 	 2.015297 	 -0.172396 	 2.098032 
-13.000000 	 2.000000 	 13.696370 	 2.364891 	 0.238743 	 1.089298 
-14.000000 	 2.000000 	 16.599464 	 1.452998 	 -0.089012 	 0.786479 
-15.000000 	 2.000000 	 16.906066 	 1.369998 	 -0.314857 	 0.775010 
-16.000000 	 2.000000 	 15.693317 	 1.718837 	 -0.387485 	 0.934757 
-17.000000 	 2.000000 	 10.297049 	 3.114664 	 -0.288874 	 1.131749 
-18.000000 	 2.000000 	 0.652518 	 0.630396 	 0.641115 	 0.577614 
-19.000000 	 2.000000 	 0.693004 	 0.414526 	 0.612432 	 0.226038 
-20.000000 	 2.000000 	 0.811003 	 0.420556 	 0.540924 	 0.212030 
-21.000000 	 2.000000 	 0.819732 	 0.401945 	 0.493946 	 0.203578 
-22.000000 	 2.000000 	 0.884041 	 0.406064 	 0.443691 	 0.196416 
-23.000000 	 2.000000 	 0.881102 	 0.406738 	 0.416270 	 0.206238 
-24.000000 	 2.000000 	 0.930605 	 0.404242 	 0.395261 	 0.202872 
-25.000000 	 2.000000 	 0.982219 	 0.398765 	 0.360996 	 0.200993 
