RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 40.000000 	 0.391260 	 0.398046 
34.000000 	 40.000000 	 0.445146 	 0.433405 
33.000000 	 40.000000 	 0.533612 	 0.564574 
32.000000 	 40.000000 	 0.503249 	 0.740408 
31.000000 	 40.000000 	 0.701908 	 0.888893 
30.000000 	 40.000000 	 0.996926 	 1.275637 
29.000000 	 40.000000 	 1.486052 	 1.757880 
28.000000 	 40.000000 	 1.833871 	 2.023166 
27.000000 	 40.000000 	 2.376814 	 2.494041 
26.000000 	 40.000000 	 2.850495 	 2.697277 
25.000000 	 40.000000 	 3.133503 	 2.826983 
24.000000 	 40.000000 	 3.517368 	 2.780501 
23.000000 	 40.000000 	 3.831286 	 2.612546 
22.000000 	 40.000000 	 4.082213 	 2.320362 
21.000000 	 40.000000 	 4.119518 	 2.111694 
20.000000 	 40.000000 	 3.686099 	 1.976630 
19.000000 	 40.000000 	 3.110441 	 1.875069 
18.000000 	 40.000000 	 2.526321 	 1.757033 
17.000000 	 40.000000 	 1.517521 	 1.377994 
16.000000 	 40.000000 	 0.951608 	 1.094996 
15.000000 	 40.000000 	 0.668465 	 0.995813 
14.000000 	 40.000000 	 0.394275 	 0.828587 
13.000000 	 40.000000 	 0.267724 	 0.776764 
12.000000 	 40.000000 	 0.200884 	 0.706866 
11.000000 	 40.000000 	 0.180950 	 0.680694 
10.000000 	 40.000000 	 0.156126 	 0.670155 
9.000000 	 40.000000 	 0.150029 	 0.657158 
8.000000 	 40.000000 	 0.134628 	 0.666735 
7.000000 	 40.000000 	 0.114856 	 0.667830 
6.000000 	 40.000000 	 0.098297 	 0.638518 
5.000000 	 40.000000 	 0.096701 	 0.629816 
4.000000 	 40.000000 	 0.031952 	 0.646209 
3.000000 	 40.000000 	 -0.087333 	 0.630861 
2.000000 	 40.000000 	 -0.171036 	 0.591447 
1.000000 	 40.000000 	 -0.242405 	 0.542632 
0.000000 	 40.000000 	 -0.301728 	 0.533300 
-1.000000 	 40.000000 	 -0.287348 	 0.527509 
-2.000000 	 40.000000 	 -0.228866 	 0.530100 
-3.000000 	 40.000000 	 -0.154193 	 0.560824 
-4.000000 	 40.000000 	 -0.102348 	 0.577641 
-5.000000 	 40.000000 	 -0.057726 	 0.585711 
-6.000000 	 40.000000 	 -0.030228 	 0.601895 
-7.000000 	 40.000000 	 0.001153 	 0.616181 
-8.000000 	 40.000000 	 0.056320 	 0.645687 
-9.000000 	 40.000000 	 0.044603 	 0.673510 
-10.000000 	 40.000000 	 0.023854 	 0.716875 
-11.000000 	 40.000000 	 -0.058582 	 0.792194 
-12.000000 	 40.000000 	 -0.262602 	 0.872860 
-13.000000 	 40.000000 	 -0.574229 	 1.015191 
-14.000000 	 40.000000 	 -1.053180 	 1.245447 
-15.000000 	 40.000000 	 -1.793887 	 1.609843 
-16.000000 	 40.000000 	 -2.473401 	 1.787856 
-17.000000 	 40.000000 	 -3.278064 	 1.958918 
-18.000000 	 40.000000 	 -3.847485 	 2.073098 
-19.000000 	 40.000000 	 -3.885160 	 2.270180 
-20.000000 	 40.000000 	 -3.564822 	 2.579327 
-21.000000 	 40.000000 	 -3.061181 	 2.792244 
-22.000000 	 40.000000 	 -2.500824 	 2.905433 
-23.000000 	 40.000000 	 -1.910855 	 2.781252 
-24.000000 	 40.000000 	 -1.287639 	 2.446168 
-25.000000 	 40.000000 	 -0.897400 	 2.138363 
-26.000000 	 40.000000 	 -0.408636 	 1.798274 
-27.000000 	 40.000000 	 -0.115196 	 1.322911 
-28.000000 	 40.000000 	 0.237259 	 0.854208 
-29.000000 	 40.000000 	 0.250517 	 0.681957 
-30.000000 	 40.000000 	 0.492220 	 0.514527 
-31.000000 	 40.000000 	 0.421019 	 0.422702 
-32.000000 	 40.000000 	 0.444275 	 0.375969 
-33.000000 	 40.000000 	 0.370414 	 0.376904 
-34.000000 	 40.000000 	 0.478116 	 0.389036 
-35.000000 	 40.000000 	 0.435616 	 0.398836 
