RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
40.000000 	 50.000000 	 0.188145 	 0.502032 
38.000000 	 50.000000 	 0.276034 	 0.504633 
36.000000 	 50.000000 	 0.271254 	 0.484270 
34.000000 	 50.000000 	 0.300477 	 0.517274 
33.000000 	 50.000000 	 0.233273 	 0.508887 
32.000000 	 50.000000 	 0.303999 	 0.525888 
31.000000 	 50.000000 	 0.241973 	 0.535920 
30.000000 	 50.000000 	 0.211058 	 0.613149 
29.000000 	 50.000000 	 0.220824 	 0.719262 
28.000000 	 50.000000 	 0.259636 	 0.960528 
27.000000 	 50.000000 	 0.303508 	 1.254206 
26.000000 	 50.000000 	 0.367329 	 1.621274 
25.000000 	 50.000000 	 0.456347 	 1.939563 
24.000000 	 50.000000 	 0.536881 	 2.198534 
23.000000 	 50.000000 	 0.592252 	 2.351236 
22.000000 	 50.000000 	 0.559561 	 2.305350 
21.000000 	 50.000000 	 0.622778 	 2.291613 
20.000000 	 50.000000 	 0.583698 	 2.036746 
19.000000 	 50.000000 	 0.558312 	 1.916225 
18.000000 	 50.000000 	 0.599246 	 1.765347 
17.000000 	 50.000000 	 0.633751 	 1.402465 
16.000000 	 50.000000 	 0.572812 	 1.346812 
15.000000 	 50.000000 	 0.397171 	 1.230432 
14.000000 	 50.000000 	 0.357003 	 1.093986 
13.000000 	 50.000000 	 0.229583 	 0.981497 
12.000000 	 50.000000 	 0.196852 	 0.949472 
11.000000 	 50.000000 	 0.167615 	 0.843643 
10.000000 	 50.000000 	 0.157398 	 0.863617 
9.000000 	 50.000000 	 0.162279 	 0.832375 
8.000000 	 50.000000 	 0.145762 	 0.794035 
7.000000 	 50.000000 	 0.163330 	 0.807875 
6.000000 	 50.000000 	 0.161784 	 0.775296 
5.000000 	 50.000000 	 0.156407 	 0.743480 
4.000000 	 50.000000 	 0.168650 	 0.719063 
3.000000 	 50.000000 	 0.143788 	 0.718583 
2.000000 	 50.000000 	 0.133108 	 0.684914 
1.000000 	 50.000000 	 0.058963 	 0.646553 
0.000000 	 50.000000 	 -0.017704 	 0.722876 
-1.000000 	 50.000000 	 -0.047899 	 0.721370 
-2.000000 	 50.000000 	 -0.046273 	 0.710618 
-3.000000 	 50.000000 	 -0.028244 	 0.723551 
-4.000000 	 50.000000 	 0.016129 	 0.749325 
-5.000000 	 50.000000 	 0.039517 	 0.756680 
-6.000000 	 50.000000 	 0.072732 	 0.799467 
-7.000000 	 50.000000 	 0.102226 	 0.815087 
-8.000000 	 50.000000 	 0.111109 	 0.843415 
-9.000000 	 50.000000 	 0.113045 	 0.843356 
-10.000000 	 50.000000 	 0.123132 	 0.883420 
-11.000000 	 50.000000 	 0.107250 	 0.860041 
-12.000000 	 50.000000 	 0.054283 	 0.862439 
-13.000000 	 50.000000 	 0.060038 	 0.921616 
-14.000000 	 50.000000 	 0.013425 	 1.015375 
-15.000000 	 50.000000 	 -0.006966 	 1.148194 
-16.000000 	 50.000000 	 -0.058298 	 1.240022 
-17.000000 	 50.000000 	 -0.102696 	 1.360193 
-18.000000 	 50.000000 	 -0.111722 	 1.521662 
-19.000000 	 50.000000 	 -0.027028 	 1.762524 
-20.000000 	 50.000000 	 -0.059501 	 2.147758 
-21.000000 	 50.000000 	 -0.030416 	 2.340111 
-22.000000 	 50.000000 	 0.143856 	 2.268869 
-23.000000 	 50.000000 	 0.094222 	 2.189629 
-24.000000 	 50.000000 	 0.275334 	 1.964741 
-25.000000 	 50.000000 	 0.223426 	 1.641029 
-26.000000 	 50.000000 	 0.372886 	 1.314887 
-27.000000 	 50.000000 	 0.387994 	 1.052906 
-28.000000 	 50.000000 	 0.493824 	 0.720079 
-29.000000 	 50.000000 	 0.482637 	 0.614485 
-30.000000 	 50.000000 	 0.426284 	 0.598322 
-31.000000 	 50.000000 	 0.461076 	 0.515378 
-32.000000 	 50.000000 	 0.443447 	 0.525722 
-33.000000 	 50.000000 	 0.380361 	 0.513098 
-34.000000 	 50.000000 	 0.435093 	 0.499046 
-36.000000 	 50.000000 	 0.394182 	 0.514337 
-38.000000 	 50.000000 	 0.391640 	 0.533811 
-40.000000 	 50.000000 	 0.309490 	 0.534607 
