RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
35.000000 	 40.000000 	 0.363375 	 0.486822 	 -0.497568 	 0.409414 
34.000000 	 40.000000 	 0.402144 	 0.513203 	 -0.522624 	 0.443257 
33.000000 	 40.000000 	 0.423486 	 0.588615 	 -0.527692 	 0.538955 
32.000000 	 40.000000 	 0.482794 	 0.685664 	 -0.509190 	 0.669092 
31.000000 	 40.000000 	 0.708414 	 0.873968 	 -0.487205 	 0.875027 
30.000000 	 40.000000 	 1.083455 	 1.134095 	 -0.458891 	 1.093210 
29.000000 	 40.000000 	 1.623057 	 1.406529 	 -0.397803 	 1.336405 
28.000000 	 40.000000 	 2.545827 	 1.835562 	 -0.247006 	 1.634077 
27.000000 	 40.000000 	 3.839593 	 2.271234 	 0.235361 	 2.066927 
26.000000 	 40.000000 	 5.347340 	 2.550461 	 0.607077 	 2.495403 
25.000000 	 40.000000 	 6.659209 	 2.748123 	 0.948036 	 2.670918 
24.000000 	 40.000000 	 8.686509 	 2.930755 	 1.389905 	 2.949498 
23.000000 	 40.000000 	 10.813285 	 3.056833 	 2.047077 	 3.038705 
22.000000 	 40.000000 	 12.551875 	 2.995003 	 2.389750 	 2.982295 
21.000000 	 40.000000 	 13.589260 	 2.690484 	 2.775269 	 2.566743 
20.000000 	 40.000000 	 13.653610 	 2.348935 	 2.737937 	 2.171468 
19.000000 	 40.000000 	 13.891561 	 2.255791 	 2.569089 	 1.843804 
18.000000 	 40.000000 	 13.063908 	 2.209899 	 2.203455 	 1.542658 
17.000000 	 40.000000 	 11.938682 	 1.933674 	 1.879382 	 1.280152 
16.000000 	 40.000000 	 11.188280 	 1.498468 	 1.370539 	 1.109572 
15.000000 	 40.000000 	 10.605094 	 1.153072 	 0.859257 	 0.951521 
14.000000 	 40.000000 	 10.124394 	 0.855238 	 0.434517 	 0.787154 
13.000000 	 40.000000 	 10.051210 	 0.775789 	 0.147374 	 0.723555 
12.000000 	 40.000000 	 9.345853 	 1.034670 	 0.171093 	 0.670218 
11.000000 	 40.000000 	 9.676755 	 0.689906 	 -0.202685 	 0.553684 
10.000000 	 40.000000 	 9.636887 	 0.662596 	 -0.290491 	 0.510638 
9.000000 	 40.000000 	 9.370939 	 0.663964 	 -0.365440 	 0.495745 
8.000000 	 40.000000 	 9.113722 	 0.677218 	 -0.364401 	 0.453508 
7.000000 	 40.000000 	 8.734085 	 0.697143 	 -0.415414 	 0.438619 
6.000000 	 40.000000 	 8.224943 	 0.707694 	 -0.446136 	 0.421708 
5.000000 	 40.000000 	 7.585681 	 0.764903 	 -0.449116 	 0.405606 
4.000000 	 40.000000 	 7.039876 	 0.796061 	 -0.475078 	 0.455786 
3.000000 	 40.000000 	 6.350556 	 0.738469 	 -0.460656 	 0.440460 
2.000000 	 40.000000 	 5.809485 	 0.696005 	 -0.424745 	 0.452317 
1.000000 	 40.000000 	 5.331573 	 0.633355 	 -0.398763 	 0.445032 
