RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
35.000000 	 30.000000 	 0.455760 	 0.392225 	 -0.528645 	 0.225152 
34.000000 	 30.000000 	 0.430339 	 0.427475 	 -0.538991 	 0.230295 
33.000000 	 30.000000 	 0.435697 	 0.415667 	 -0.554689 	 0.241844 
32.000000 	 30.000000 	 0.425549 	 0.437663 	 -0.562127 	 0.261776 
31.000000 	 30.000000 	 0.430534 	 0.435253 	 -0.564918 	 0.274299 
30.000000 	 30.000000 	 0.405226 	 0.447600 	 -0.574856 	 0.318423 
29.000000 	 30.000000 	 0.380685 	 0.498810 	 -0.575846 	 0.383734 
28.000000 	 30.000000 	 0.408480 	 0.601026 	 -0.593557 	 0.496589 
27.000000 	 30.000000 	 0.495377 	 0.720856 	 -0.582727 	 0.695535 
26.000000 	 30.000000 	 0.857815 	 1.093023 	 -0.534374 	 1.044122 
25.000000 	 30.000000 	 1.942705 	 1.795151 	 -0.234723 	 1.562003 
24.000000 	 30.000000 	 3.274018 	 2.347895 	 0.096654 	 2.048068 
23.000000 	 30.000000 	 5.406763 	 2.971007 	 0.792877 	 2.535591 
22.000000 	 30.000000 	 8.044711 	 3.271250 	 1.441826 	 2.908395 
21.000000 	 30.000000 	 10.945126 	 3.518990 	 1.984804 	 3.044976 
20.000000 	 30.000000 	 13.857772 	 3.316562 	 2.641527 	 2.819877 
19.000000 	 30.000000 	 15.782338 	 2.626960 	 2.944229 	 2.410451 
18.000000 	 30.000000 	 16.021118 	 2.301176 	 2.784657 	 1.996822 
17.000000 	 30.000000 	 14.710389 	 2.472614 	 2.323412 	 1.744174 
16.000000 	 30.000000 	 12.181006 	 2.230275 	 2.005388 	 1.600751 
15.000000 	 30.000000 	 10.440567 	 1.539271 	 2.040104 	 1.212802 
14.000000 	 30.000000 	 9.669426 	 1.164473 	 1.710221 	 0.966122 
13.000000 	 30.000000 	 9.254964 	 1.026171 	 1.369229 	 0.764018 
12.000000 	 30.000000 	 8.830101 	 1.050042 	 0.999599 	 0.611523 
11.000000 	 30.000000 	 7.927347 	 1.294599 	 0.571180 	 0.533526 
10.000000 	 30.000000 	 6.623248 	 1.528923 	 0.265866 	 0.493727 
9.000000 	 30.000000 	 4.978796 	 1.651768 	 0.031867 	 0.485965 
8.000000 	 30.000000 	 2.806628 	 1.802835 	 -0.089304 	 0.526865 
7.000000 	 30.000000 	 0.883787 	 1.755959 	 -0.140797 	 0.589820 
6.000000 	 30.000000 	 -0.016049 	 1.497196 	 -0.211468 	 0.605668 
5.000000 	 30.000000 	 -1.167207 	 1.467932 	 -0.190235 	 0.672841 
4.000000 	 30.000000 	 -1.840383 	 1.232165 	 -0.168179 	 0.624259 
3.000000 	 30.000000 	 -2.735443 	 1.145433 	 -0.092163 	 0.671987 
2.000000 	 30.000000 	 -3.198228 	 0.893959 	 -0.009677 	 0.591383 
1.000000 	 30.000000 	 -3.542828 	 0.727680 	 0.042958 	 0.579344 
0.000000 	 30.000000 	 -3.692898 	 0.764104 	 0.048466 	 0.582248 
-1.000000 	 30.000000 	 -3.475873 	 0.778663 	 0.180390 	 0.575197 
-2.000000 	 30.000000 	 -3.114551 	 0.939894 	 0.278427 	 0.612688 
-3.000000 	 30.000000 	 -2.783838 	 1.032813 	 0.250321 	 0.609661 
-4.000000 	 30.000000 	 -2.332135 	 1.200286 	 0.300654 	 0.617496 
-5.000000 	 30.000000 	 -1.515154 	 1.409322 	 0.289837 	 0.645122 
-6.000000 	 30.000000 	 -0.559929 	 1.510518 	 0.241557 	 0.600594 
-7.000000 	 30.000000 	 0.617700 	 1.663702 	 0.195370 	 0.533637 
-8.000000 	 30.000000 	 2.390069 	 1.640701 	 0.078115 	 0.476303 
-9.000000 	 30.000000 	 4.198326 	 1.705100 	 -0.096064 	 0.503218 
-10.000000 	 30.000000 	 6.171640 	 1.381835 	 -0.336254 	 0.513216 
-11.000000 	 30.000000 	 7.704194 	 1.248005 	 -0.681222 	 0.617903 
-12.000000 	 30.000000 	 8.718989 	 1.073632 	 -1.060340 	 0.825209 
-13.000000 	 30.000000 	 9.476063 	 1.185397 	 -1.486501 	 1.081142 
-14.000000 	 30.000000 	 10.744813 	 1.852046 	 -1.665168 	 1.469253 
-15.000000 	 30.000000 	 12.455011 	 2.447367 	 -1.935540 	 1.709322 
-16.000000 	 30.000000 	 14.230653 	 2.600928 	 -2.172063 	 1.929847 
-17.000000 	 30.000000 	 16.227311 	 2.371727 	 -2.059765 	 2.164664 
-18.000000 	 30.000000 	 15.649657 	 2.689233 	 -2.104776 	 2.557152 
-19.000000 	 30.000000 	 12.420947 	 3.447973 	 -1.006229 	 2.987280 
-20.000000 	 30.000000 	 9.696560 	 3.299801 	 -0.536546 	 2.911486 
-21.000000 	 30.000000 	 7.192586 	 3.070042 	 -0.090644 	 2.644019 
