RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
35.000000 	 70.000000 	 0.567072 	 0.603205 	 -0.412868 	 0.528678 
34.000000 	 70.000000 	 0.620563 	 0.640154 	 -0.411763 	 0.583515 
33.000000 	 70.000000 	 0.635136 	 0.643768 	 -0.416530 	 0.647192 
32.000000 	 70.000000 	 0.690045 	 0.734602 	 -0.440628 	 0.768784 
31.000000 	 70.000000 	 0.887106 	 0.942068 	 -0.417999 	 0.906843 
30.000000 	 70.000000 	 1.058684 	 1.053649 	 -0.396633 	 0.991336 
29.000000 	 70.000000 	 1.492578 	 1.308499 	 -0.385275 	 1.193020 
28.000000 	 70.000000 	 1.978934 	 1.570504 	 -0.314417 	 1.440179 
27.000000 	 70.000000 	 2.877280 	 1.972652 	 -0.081555 	 1.695938 
26.000000 	 70.000000 	 4.015898 	 2.412908 	 0.216679 	 2.083884 
25.000000 	 70.000000 	 5.064782 	 2.528090 	 0.319215 	 2.181225 
24.000000 	 70.000000 	 6.131973 	 2.737893 	 0.274937 	 2.324080 
23.000000 	 70.000000 	 8.603024 	 2.984436 	 0.809327 	 2.771207 
22.000000 	 70.000000 	 10.261968 	 3.090710 	 0.967104 	 2.767408 
21.000000 	 70.000000 	 11.012598 	 3.201732 	 1.091799 	 2.717830 
20.000000 	 70.000000 	 12.691319 	 2.957978 	 1.183292 	 2.681521 
19.000000 	 70.000000 	 13.438542 	 2.923788 	 0.819637 	 2.593192 
18.000000 	 70.000000 	 14.617228 	 2.588600 	 1.023664 	 2.499762 
17.000000 	 70.000000 	 15.267763 	 2.361309 	 1.135586 	 2.161387 
16.000000 	 70.000000 	 15.402458 	 2.259898 	 0.965805 	 2.031674 
15.000000 	 70.000000 	 15.200207 	 2.205002 	 0.761256 	 1.834128 
14.000000 	 70.000000 	 14.793176 	 2.188079 	 0.521978 	 1.670430 
13.000000 	 70.000000 	 14.046080 	 2.157835 	 0.320176 	 1.515151 
12.000000 	 70.000000 	 13.469113 	 2.026503 	 0.047444 	 1.348141 
11.000000 	 70.000000 	 12.768913 	 1.942328 	 -0.184524 	 1.275583 
10.000000 	 70.000000 	 11.685367 	 1.730233 	 -0.238881 	 1.111214 
9.000000 	 70.000000 	 11.122017 	 1.530433 	 -0.439025 	 0.998326 
8.000000 	 70.000000 	 10.619716 	 1.396064 	 -0.581377 	 0.905237 
7.000000 	 70.000000 	 10.162195 	 1.362963 	 -0.676278 	 0.872837 
6.000000 	 70.000000 	 9.742236 	 1.306405 	 -0.753835 	 0.814299 
5.000000 	 70.000000 	 9.339095 	 1.328220 	 -0.760688 	 0.799027 
4.000000 	 70.000000 	 8.979424 	 1.284461 	 -0.780567 	 0.798116 
3.000000 	 70.000000 	 8.743588 	 1.274932 	 -0.761215 	 0.763993 
2.000000 	 70.000000 	 8.292935 	 1.250068 	 -0.723832 	 0.766966 
1.000000 	 70.000000 	 7.992469 	 1.245870 	 -0.663004 	 0.791923 
0.000000 	 70.000000 	 7.798773 	 1.218236 	 -0.613863 	 0.798359 
-1.000000 	 70.000000 	 7.721745 	 1.200214 	 -0.549438 	 0.769069 
-2.000000 	 70.000000 	 7.610406 	 1.251484 	 -0.364474 	 0.836674 
-3.000000 	 70.000000 	 7.678557 	 1.223787 	 -0.379395 	 0.777428 
-4.000000 	 70.000000 	 8.048269 	 1.303841 	 -0.297569 	 0.808458 
-5.000000 	 70.000000 	 8.411162 	 1.372590 	 -0.276845 	 0.821634 
-6.000000 	 70.000000 	 8.805113 	 1.423191 	 -0.225396 	 0.821720 
-7.000000 	 70.000000 	 9.225019 	 1.394164 	 -0.232608 	 0.839532 
-8.000000 	 70.000000 	 9.502931 	 1.308825 	 -0.251164 	 0.856880 
-9.000000 	 70.000000 	 9.894017 	 1.246048 	 -0.326518 	 0.891479 
-10.000000 	 70.000000 	 10.183011 	 1.201400 	 -0.410343 	 0.895501 
-11.000000 	 70.000000 	 10.471116 	 1.216170 	 -0.498867 	 0.968120 
-12.000000 	 70.000000 	 10.656606 	 1.217038 	 -0.675916 	 1.014459 
-13.000000 	 70.000000 	 10.944796 	 1.293873 	 -0.864604 	 1.101147 
-14.000000 	 70.000000 	 11.304537 	 1.433648 	 -0.987727 	 1.226843 
-15.000000 	 70.000000 	 11.523619 	 1.546118 	 -1.185000 	 1.409957 
-16.000000 	 70.000000 	 11.770461 	 1.576593 	 -1.404227 	 1.477268 
-17.000000 	 70.000000 	 11.663369 	 1.646897 	 -1.602857 	 1.654381 
-18.000000 	 70.000000 	 11.375918 	 1.729182 	 -1.779376 	 1.884513 
-19.000000 	 70.000000 	 11.236446 	 1.799129 	 -1.766827 	 1.983244 
-20.000000 	 70.000000 	 10.627980 	 1.906484 	 -1.811777 	 2.102391 
-21.000000 	 70.000000 	 9.662678 	 2.125178 	 -1.462231 	 2.352080 
-22.000000 	 70.000000 	 8.666654 	 2.311819 	 -0.880511 	 2.307405 
-23.000000 	 70.000000 	 7.655882 	 2.383052 	 -0.769892 	 2.318874 
-24.000000 	 70.000000 	 6.541805 	 2.337257 	 -0.603403 	 2.167074 
-25.000000 	 70.000000 	 5.409194 	 2.221600 	 -0.360239 	 2.032087 
-26.000000 	 70.000000 	 4.482109 	 2.190350 	 -0.145688 	 1.941677 
-27.000000 	 70.000000 	 3.528315 	 1.943740 	 0.038550 	 1.730660 
-28.000000 	 70.000000 	 2.723424 	 1.761196 	 0.168830 	 1.599558 
-29.000000 	 70.000000 	 2.293528 	 1.569761 	 0.207407 	 1.442044 
-30.000000 	 70.000000 	 1.553505 	 1.246288 	 0.341362 	 1.243231 
-31.000000 	 70.000000 	 1.246654 	 1.206140 	 0.394253 	 1.095482 
-32.000000 	 70.000000 	 1.002902 	 0.991075 	 0.397169 	 1.023751 
-33.000000 	 70.000000 	 0.710086 	 0.831323 	 0.412403 	 0.832193 
-34.000000 	 70.000000 	 0.583772 	 0.715261 	 0.391658 	 0.711109 
-35.000000 	 70.000000 	 0.588971 	 0.716961 	 0.387036 	 0.691956 
