RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 2.000000 	 0.288703 	 0.450104 
24.000000 	 2.000000 	 0.347356 	 0.417672 
23.000000 	 2.000000 	 0.364673 	 0.417135 
22.000000 	 2.000000 	 0.396120 	 0.403390 
21.000000 	 2.000000 	 0.420055 	 0.418557 
20.000000 	 2.000000 	 0.487710 	 0.485465 
19.000000 	 2.000000 	 1.368859 	 1.716985 
18.000000 	 2.000000 	 10.979545 	 3.262628 
17.000000 	 2.000000 	 13.090975 	 1.564789 
16.000000 	 2.000000 	 13.471959 	 1.234012 
15.000000 	 2.000000 	 13.001998 	 1.331900 
14.000000 	 2.000000 	 8.982438 	 2.957060 
13.000000 	 2.000000 	 1.382596 	 1.981979 
12.000000 	 2.000000 	 0.502985 	 1.094833 
11.000000 	 2.000000 	 0.448484 	 1.151424 
10.000000 	 2.000000 	 0.400082 	 1.189002 
9.000000 	 2.000000 	 0.414714 	 1.117178 
8.000000 	 2.000000 	 0.321768 	 1.019182 
7.000000 	 2.000000 	 0.271205 	 0.829359 
6.000000 	 2.000000 	 0.305772 	 0.575134 
5.000000 	 2.000000 	 0.254237 	 0.526319 
4.000000 	 2.000000 	 0.175243 	 0.535025 
3.000000 	 2.000000 	 0.176066 	 0.511443 
2.000000 	 2.000000 	 0.140075 	 0.490637 
1.000000 	 2.000000 	 0.104542 	 0.489492 
0.000000 	 2.000000 	 0.067426 	 0.507592 
-1.000000 	 2.000000 	 0.026054 	 0.507680 
-2.000000 	 2.000000 	 0.023570 	 0.516034 
-3.000000 	 2.000000 	 -0.017350 	 0.517079 
-4.000000 	 2.000000 	 -0.038827 	 0.522456 
-5.000000 	 2.000000 	 -0.068198 	 0.531830 
-6.000000 	 2.000000 	 0.008760 	 0.656599 
-7.000000 	 2.000000 	 0.140417 	 0.940817 
-8.000000 	 2.000000 	 0.181938 	 1.048035 
-9.000000 	 2.000000 	 0.136391 	 1.122422 
-10.000000 	 2.000000 	 0.111164 	 1.089113 
-11.000000 	 2.000000 	 0.098013 	 1.060820 
-12.000000 	 2.000000 	 -1.865882 	 2.304509 
-13.000000 	 2.000000 	 -9.561408 	 1.814716 
-14.000000 	 2.000000 	 -11.850329 	 1.130639 
-15.000000 	 2.000000 	 -12.257458 	 1.148935 
-16.000000 	 2.000000 	 -12.218384 	 1.532578 
-17.000000 	 2.000000 	 -8.094086 	 3.642745 
-18.000000 	 2.000000 	 -0.143798 	 0.710289 
-19.000000 	 2.000000 	 0.015086 	 0.393952 
-20.000000 	 2.000000 	 0.020090 	 0.380445 
-21.000000 	 2.000000 	 0.040399 	 0.395466 
-22.000000 	 2.000000 	 0.138373 	 0.394763 
-23.000000 	 2.000000 	 0.121126 	 0.399434 
-24.000000 	 2.000000 	 0.145862 	 0.397206 
-25.000000 	 2.000000 	 0.115284 	 0.390988 
