RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
40.000000 	 50.000000 	 0.124407 	 0.562675 
38.000000 	 50.000000 	 0.236690 	 0.509924 
36.000000 	 50.000000 	 0.200872 	 0.508201 
34.000000 	 50.000000 	 0.246922 	 0.560763 
33.000000 	 50.000000 	 0.315202 	 0.522531 
32.000000 	 50.000000 	 0.268966 	 0.504127 
31.000000 	 50.000000 	 0.311280 	 0.508445 
30.000000 	 50.000000 	 0.318197 	 0.506753 
29.000000 	 50.000000 	 0.257484 	 0.502645 
28.000000 	 50.000000 	 0.386431 	 0.509522 
27.000000 	 50.000000 	 0.325955 	 0.584583 
26.000000 	 50.000000 	 0.288120 	 0.682961 
25.000000 	 50.000000 	 0.346628 	 0.852062 
24.000000 	 50.000000 	 0.394137 	 1.098057 
23.000000 	 50.000000 	 0.426120 	 1.491070 
22.000000 	 50.000000 	 0.305990 	 1.895102 
21.000000 	 50.000000 	 0.357417 	 2.029672 
20.000000 	 50.000000 	 0.336873 	 2.363073 
19.000000 	 50.000000 	 0.487873 	 2.374542 
18.000000 	 50.000000 	 0.463610 	 2.351219 
17.000000 	 50.000000 	 0.465243 	 2.262956 
16.000000 	 50.000000 	 0.524991 	 2.034343 
15.000000 	 50.000000 	 0.604095 	 1.860309 
14.000000 	 50.000000 	 0.562492 	 1.770552 
13.000000 	 50.000000 	 0.550495 	 1.538260 
12.000000 	 50.000000 	 0.499502 	 1.450109 
11.000000 	 50.000000 	 0.383253 	 1.386938 
10.000000 	 50.000000 	 0.309568 	 1.193228 
9.000000 	 50.000000 	 0.261335 	 1.014560 
8.000000 	 50.000000 	 0.180052 	 0.904497 
7.000000 	 50.000000 	 0.184611 	 0.840591 
6.000000 	 50.000000 	 0.140678 	 0.814922 
5.000000 	 50.000000 	 0.137835 	 0.851978 
4.000000 	 50.000000 	 0.163758 	 0.808782 
3.000000 	 50.000000 	 0.193246 	 0.771245 
2.000000 	 50.000000 	 0.209902 	 0.793761 
1.000000 	 50.000000 	 0.177484 	 0.780048 
0.000000 	 50.000000 	 0.106528 	 0.692763 
-1.000000 	 50.000000 	 0.034954 	 0.680113 
-2.000000 	 50.000000 	 -0.010170 	 0.667821 
-3.000000 	 50.000000 	 0.016973 	 0.697606 
-4.000000 	 50.000000 	 0.032033 	 0.736398 
-5.000000 	 50.000000 	 0.046365 	 0.754525 
-6.000000 	 50.000000 	 0.051536 	 0.792760 
-7.000000 	 50.000000 	 0.042778 	 0.801099 
-8.000000 	 50.000000 	 0.050280 	 0.815463 
-9.000000 	 50.000000 	 0.105848 	 0.860569 
-10.000000 	 50.000000 	 0.094632 	 0.903970 
-11.000000 	 50.000000 	 0.101686 	 0.959078 
-12.000000 	 50.000000 	 0.102784 	 1.100053 
-13.000000 	 50.000000 	 0.086738 	 1.256539 
-14.000000 	 50.000000 	 0.004770 	 1.398783 
-15.000000 	 50.000000 	 0.027558 	 1.447541 
-16.000000 	 50.000000 	 -0.021580 	 1.510672 
-17.000000 	 50.000000 	 0.064250 	 1.661550 
-18.000000 	 50.000000 	 0.053834 	 1.877970 
-19.000000 	 50.000000 	 0.144132 	 2.141731 
-20.000000 	 50.000000 	 0.208617 	 2.267143 
-21.000000 	 50.000000 	 0.332658 	 2.268853 
-22.000000 	 50.000000 	 0.395367 	 2.194225 
-23.000000 	 50.000000 	 0.378348 	 1.974756 
-24.000000 	 50.000000 	 0.462516 	 1.650112 
-25.000000 	 50.000000 	 0.502763 	 1.405937 
-26.000000 	 50.000000 	 0.484255 	 0.824194 
-27.000000 	 50.000000 	 0.522693 	 0.618899 
-28.000000 	 50.000000 	 0.436922 	 0.555605 
-29.000000 	 50.000000 	 0.502144 	 0.495576 
-30.000000 	 50.000000 	 0.397111 	 0.499688 
-31.000000 	 50.000000 	 0.372993 	 0.491923 
-32.000000 	 50.000000 	 0.390347 	 0.495752 
-33.000000 	 50.000000 	 0.254478 	 0.517920 
-34.000000 	 50.000000 	 0.363793 	 0.522948 
-36.000000 	 50.000000 	 0.300914 	 0.525959 
-38.000000 	 50.000000 	 0.222390 	 0.516522 
-40.000000 	 50.000000 	 0.239120 	 0.532687 
