RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
46.000000 	 50.000000 	 0.876123 	 0.835550 	 -0.490858 	 0.921444 
43.000000 	 50.000000 	 1.608069 	 1.367099 	 -0.045344 	 1.556088 
40.000000 	 50.000000 	 3.556593 	 2.101282 	 0.687302 	 2.348041 
38.000000 	 50.000000 	 5.296196 	 2.580639 	 1.285926 	 2.864524 
36.000000 	 50.000000 	 7.277305 	 2.781065 	 1.985784 	 3.060286 
34.000000 	 50.000000 	 9.439717 	 2.723292 	 2.542388 	 3.087174 
33.000000 	 50.000000 	 10.390373 	 2.819524 	 2.731595 	 3.123343 
32.000000 	 50.000000 	 11.177329 	 2.689100 	 2.782562 	 3.017894 
31.000000 	 50.000000 	 11.985701 	 2.622185 	 3.326146 	 2.930108 
30.000000 	 50.000000 	 12.754026 	 2.343204 	 3.275225 	 2.593816 
29.000000 	 50.000000 	 13.083205 	 2.072762 	 3.232886 	 2.405914 
28.000000 	 50.000000 	 13.139026 	 2.016155 	 3.255036 	 2.151530 
27.000000 	 50.000000 	 12.954323 	 1.993090 	 2.970340 	 2.114300 
26.000000 	 50.000000 	 12.756949 	 1.929220 	 2.724967 	 1.869698 
25.000000 	 50.000000 	 11.340860 	 1.965434 	 2.515141 	 1.570806 
24.000000 	 50.000000 	 10.025106 	 1.958773 	 2.419627 	 1.275000 
23.000000 	 50.000000 	 9.058784 	 1.886651 	 2.230275 	 1.179674 
22.000000 	 50.000000 	 8.054387 	 1.904265 	 1.972702 	 1.027472 
21.000000 	 50.000000 	 7.326120 	 2.110694 	 1.725952 	 0.958434 
20.000000 	 50.000000 	 5.817047 	 2.130434 	 1.487080 	 0.937337 
19.000000 	 50.000000 	 4.904953 	 2.143538 	 1.317728 	 0.868167 
18.000000 	 50.000000 	 4.103612 	 2.206882 	 1.128410 	 0.935028 
17.000000 	 50.000000 	 3.347752 	 2.114491 	 0.936998 	 0.909374 
16.000000 	 50.000000 	 2.633348 	 2.006751 	 0.833306 	 0.949720 
15.000000 	 50.000000 	 1.376354 	 1.874994 	 0.708264 	 1.068933 
14.000000 	 50.000000 	 1.109546 	 1.760781 	 0.578723 	 1.047167 
13.000000 	 50.000000 	 0.528827 	 1.534474 	 0.534515 	 1.135340 
12.000000 	 50.000000 	 0.227499 	 1.748950 	 0.449885 	 1.175995 
11.000000 	 50.000000 	 -0.276150 	 1.529652 	 0.392229 	 1.142653 
10.000000 	 50.000000 	 -0.434486 	 1.332926 	 0.333803 	 1.123617 
9.000000 	 50.000000 	 -0.744730 	 1.330791 	 0.242957 	 1.152357 
8.000000 	 50.000000 	 -1.167434 	 1.276076 	 0.335902 	 1.100523 
7.000000 	 50.000000 	 -1.255044 	 1.188369 	 0.323763 	 1.112432 
6.000000 	 50.000000 	 -1.473618 	 1.113307 	 0.280192 	 1.091667 
5.000000 	 50.000000 	 -1.676243 	 1.135329 	 0.270914 	 1.139132 
4.000000 	 50.000000 	 -1.808211 	 1.060941 	 0.272924 	 1.059472 
3.000000 	 50.000000 	 -1.887194 	 1.091809 	 0.249441 	 1.081449 
2.000000 	 50.000000 	 -1.886112 	 1.019083 	 0.192222 	 1.018992 
1.000000 	 50.000000 	 -2.064998 	 1.028532 	 0.274175 	 1.102346 
0.000000 	 50.000000 	 -2.120259 	 1.130871 	 0.299917 	 1.098178 
-1.000000 	 50.000000 	 -2.089627 	 1.026543 	 0.171935 	 1.086382 
-2.000000 	 50.000000 	 -2.056420 	 1.095030 	 0.356801 	 1.115184 
-3.000000 	 50.000000 	 -1.948425 	 1.042153 	 0.328968 	 1.095760 
-4.000000 	 50.000000 	 -1.959945 	 1.118535 	 0.244104 	 1.148164 
-5.000000 	 50.000000 	 -1.873995 	 1.239774 	 0.162266 	 1.133877 
-6.000000 	 50.000000 	 -1.883897 	 1.278010 	 0.213325 	 1.149179 
-7.000000 	 50.000000 	 -1.647579 	 1.316554 	 0.269540 	 1.177148 
-8.000000 	 50.000000 	 -1.670058 	 1.563986 	 0.117404 	 1.134470 
-9.000000 	 50.000000 	 -1.378999 	 1.588184 	 0.075156 	 1.220431 
-10.000000 	 50.000000 	 -0.770888 	 1.619555 	 0.040733 	 1.135693 
-11.000000 	 50.000000 	 -0.283817 	 1.780320 	 0.063861 	 1.176884 
-12.000000 	 50.000000 	 0.318860 	 1.806764 	 -0.124680 	 1.126164 
-13.000000 	 50.000000 	 0.836269 	 2.085101 	 -0.335926 	 1.088721 
-14.000000 	 50.000000 	 1.723373 	 2.141599 	 -0.480028 	 1.066203 
-15.000000 	 50.000000 	 2.254615 	 2.253251 	 -0.682829 	 0.995539 
-16.000000 	 50.000000 	 2.802747 	 2.384120 	 -0.854608 	 1.000508 
-17.000000 	 50.000000 	 3.787005 	 2.375546 	 -1.177742 	 1.032720 
-18.000000 	 50.000000 	 5.379821 	 2.205199 	 -1.459504 	 1.001127 
-19.000000 	 50.000000 	 6.387319 	 2.097528 	 -1.708696 	 1.007029 
-20.000000 	 50.000000 	 7.406462 	 2.098405 	 -1.942063 	 1.041266 
-21.000000 	 50.000000 	 8.528165 	 2.093527 	 -2.263040 	 1.197089 
-22.000000 	 50.000000 	 10.128980 	 2.122064 	 -2.506417 	 1.371406 
-23.000000 	 50.000000 	 11.146813 	 2.135747 	 -2.851942 	 1.626319 
-24.000000 	 50.000000 	 12.212256 	 2.076853 	 -3.067209 	 1.905319 
-25.000000 	 50.000000 	 12.720475 	 2.091616 	 -3.079332 	 2.425150 
-26.000000 	 50.000000 	 12.769070 	 2.291591 	 -3.162811 	 2.677615 
-27.000000 	 50.000000 	 12.438075 	 2.508675 	 -2.948472 	 3.039122 
-28.000000 	 50.000000 	 11.325972 	 2.826076 	 -2.335964 	 3.360046 
-29.000000 	 50.000000 	 10.793530 	 2.902375 	 -2.465998 	 3.369213 
-30.000000 	 50.000000 	 8.940160 	 2.876062 	 -1.338689 	 3.338252 
-31.000000 	 50.000000 	 7.844995 	 2.818574 	 -1.036958 	 3.180841 
-32.000000 	 50.000000 	 6.823570 	 2.630016 	 -0.582347 	 2.927613 
-33.000000 	 50.000000 	 5.771829 	 2.443710 	 -0.415143 	 2.743396 
-34.000000 	 50.000000 	 4.415329 	 2.295568 	 -0.053385 	 2.443853 
-36.000000 	 50.000000 	 2.644562 	 1.749923 	 0.438534 	 1.810970 
-38.000000 	 50.000000 	 1.516717 	 1.209310 	 0.656116 	 1.324232 
-40.000000 	 50.000000 	 1.022754 	 0.889555 	 0.712267 	 0.967399 
-43.000000 	 50.000000 	 0.732654 	 0.612643 	 0.688234 	 0.595624 
-46.000000 	 50.000000 	 0.643897 	 0.446451 	 0.663432 	 0.380111 
