RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 2.000000 	 0.026602 	 0.402062 
24.000000 	 2.000000 	 0.036934 	 0.385678 
23.000000 	 2.000000 	 0.054240 	 0.368948 
22.000000 	 2.000000 	 0.054394 	 0.379562 
21.000000 	 2.000000 	 0.082168 	 0.381124 
20.000000 	 2.000000 	 0.091464 	 0.427823 
19.000000 	 2.000000 	 0.566548 	 1.358746 
18.000000 	 2.000000 	 10.921348 	 3.146111 
17.000000 	 2.000000 	 13.093062 	 1.499451 
16.000000 	 2.000000 	 13.322770 	 1.233061 
15.000000 	 2.000000 	 12.924745 	 1.295234 
14.000000 	 2.000000 	 9.075915 	 2.884140 
13.000000 	 2.000000 	 1.358745 	 1.920463 
12.000000 	 2.000000 	 0.485231 	 1.102887 
11.000000 	 2.000000 	 0.443017 	 1.111331 
10.000000 	 2.000000 	 0.421499 	 1.148746 
9.000000 	 2.000000 	 0.402056 	 1.082183 
8.000000 	 2.000000 	 0.318219 	 0.922166 
7.000000 	 2.000000 	 0.146074 	 0.676408 
6.000000 	 2.000000 	 0.172001 	 0.561151 
5.000000 	 2.000000 	 0.150614 	 0.515655 
4.000000 	 2.000000 	 0.131922 	 0.529138 
3.000000 	 2.000000 	 0.127082 	 0.500005 
2.000000 	 2.000000 	 0.110289 	 0.468518 
1.000000 	 2.000000 	 0.089671 	 0.466336 
0.000000 	 2.000000 	 0.081339 	 0.453182 
-1.000000 	 2.000000 	 0.074945 	 0.460615 
-2.000000 	 2.000000 	 0.034041 	 0.465217 
-3.000000 	 2.000000 	 0.039935 	 0.485023 
-4.000000 	 2.000000 	 0.018250 	 0.534552 
-5.000000 	 2.000000 	 -0.078704 	 0.584805 
-6.000000 	 2.000000 	 0.039552 	 0.632898 
-7.000000 	 2.000000 	 0.132281 	 0.819238 
-8.000000 	 2.000000 	 0.226286 	 1.026471 
-9.000000 	 2.000000 	 0.170320 	 1.110865 
-10.000000 	 2.000000 	 0.086805 	 1.081763 
-11.000000 	 2.000000 	 0.013701 	 1.063543 
-12.000000 	 2.000000 	 -2.207515 	 2.487128 
-13.000000 	 2.000000 	 -9.116753 	 1.767403 
-14.000000 	 2.000000 	 -11.386796 	 1.139229 
-15.000000 	 2.000000 	 -12.288635 	 1.122778 
-16.000000 	 2.000000 	 -12.167741 	 1.457595 
-17.000000 	 2.000000 	 -8.557603 	 3.519494 
-18.000000 	 2.000000 	 -0.254103 	 0.729312 
-19.000000 	 2.000000 	 -0.103489 	 0.378140 
-20.000000 	 2.000000 	 -0.040515 	 0.366295 
-21.000000 	 2.000000 	 -0.013700 	 0.379437 
-22.000000 	 2.000000 	 -0.079349 	 0.379177 
-23.000000 	 2.000000 	 -0.047428 	 0.390901 
-24.000000 	 2.000000 	 0.036653 	 0.379792 
-25.000000 	 2.000000 	 0.119217 	 0.377925 
