RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
35.000000 	 30.000000 	 0.376616 	 0.450812 	 -0.530518 	 0.270962 
34.000000 	 30.000000 	 0.406213 	 0.457176 	 -0.564454 	 0.277175 
33.000000 	 30.000000 	 0.400802 	 0.450805 	 -0.530945 	 0.308899 
32.000000 	 30.000000 	 0.363698 	 0.495513 	 -0.544368 	 0.318758 
31.000000 	 30.000000 	 0.348431 	 0.528689 	 -0.564629 	 0.355925 
30.000000 	 30.000000 	 0.350795 	 0.532953 	 -0.587687 	 0.416240 
29.000000 	 30.000000 	 0.367552 	 0.573849 	 -0.558863 	 0.527857 
28.000000 	 30.000000 	 0.457628 	 0.729727 	 -0.578159 	 0.687043 
27.000000 	 30.000000 	 0.683678 	 0.912871 	 -0.593463 	 0.898199 
26.000000 	 30.000000 	 1.238028 	 1.228764 	 -0.505746 	 1.230860 
25.000000 	 30.000000 	 2.310645 	 1.951650 	 -0.271238 	 1.657645 
24.000000 	 30.000000 	 4.079813 	 2.628581 	 0.278967 	 2.249147 
23.000000 	 30.000000 	 6.715972 	 3.186608 	 1.087239 	 2.895413 
22.000000 	 30.000000 	 9.518348 	 3.592204 	 1.897172 	 3.198007 
21.000000 	 30.000000 	 12.445418 	 3.585902 	 2.665783 	 3.099131 
20.000000 	 30.000000 	 14.956402 	 3.046948 	 3.398894 	 2.681518 
19.000000 	 30.000000 	 15.880217 	 2.477955 	 3.156348 	 2.362875 
18.000000 	 30.000000 	 15.464894 	 2.553603 	 3.130581 	 1.881114 
17.000000 	 30.000000 	 13.244484 	 2.548556 	 2.731699 	 1.627000 
16.000000 	 30.000000 	 11.269114 	 1.995628 	 2.419478 	 1.340062 
15.000000 	 30.000000 	 10.134781 	 1.268490 	 1.915090 	 1.071417 
14.000000 	 30.000000 	 9.889187 	 1.049436 	 1.322885 	 0.915557 
13.000000 	 30.000000 	 9.804511 	 0.975266 	 0.561759 	 0.849297 
12.000000 	 30.000000 	 9.719119 	 0.923492 	 -0.054629 	 0.725275 
11.000000 	 30.000000 	 9.651471 	 0.866063 	 -0.489024 	 0.589574 
10.000000 	 30.000000 	 9.429933 	 0.835515 	 -0.725579 	 0.530690 
9.000000 	 30.000000 	 9.079674 	 0.824493 	 -0.817989 	 0.504306 
8.000000 	 30.000000 	 8.679998 	 0.850925 	 -0.830715 	 0.516818 
7.000000 	 30.000000 	 7.921895 	 0.868225 	 -0.785069 	 0.493842 
6.000000 	 30.000000 	 7.298625 	 0.871679 	 -0.755037 	 0.494991 
5.000000 	 30.000000 	 6.362769 	 0.912479 	 -0.659299 	 0.495684 
4.000000 	 30.000000 	 5.524682 	 0.908398 	 -0.559835 	 0.504201 
3.000000 	 30.000000 	 4.762673 	 0.850751 	 -0.423605 	 0.539587 
2.000000 	 30.000000 	 4.303306 	 0.779208 	 -0.386641 	 0.522917 
1.000000 	 30.000000 	 3.807927 	 0.653809 	 -0.196926 	 0.540766 
0.000000 	 30.000000 	 3.708553 	 0.561734 	 -0.133517 	 0.548437 
-1.000000 	 30.000000 	 3.706217 	 0.594001 	 -0.014331 	 0.539924 
-2.000000 	 30.000000 	 3.913680 	 0.673089 	 0.095948 	 0.532333 
-3.000000 	 30.000000 	 4.423428 	 0.757328 	 0.189909 	 0.502527 
-4.000000 	 30.000000 	 4.924932 	 0.852339 	 0.236019 	 0.482182 
-5.000000 	 30.000000 	 5.836219 	 0.855679 	 0.278686 	 0.465312 
-6.000000 	 30.000000 	 6.568473 	 0.877410 	 0.295265 	 0.475939 
-7.000000 	 30.000000 	 7.352249 	 0.871412 	 0.271378 	 0.474313 
-8.000000 	 30.000000 	 8.178890 	 0.847936 	 0.243273 	 0.491528 
-9.000000 	 30.000000 	 8.705594 	 0.836327 	 0.241589 	 0.523194 
-10.000000 	 30.000000 	 9.129739 	 0.882698 	 0.192232 	 0.587172 
-11.000000 	 30.000000 	 9.463757 	 0.881403 	 0.059073 	 0.653011 
-12.000000 	 30.000000 	 9.672692 	 0.928774 	 -0.222097 	 0.821419 
-13.000000 	 30.000000 	 9.939756 	 1.081458 	 -0.746494 	 0.991029 
-14.000000 	 30.000000 	 10.359508 	 1.493486 	 -1.459263 	 1.189680 
-15.000000 	 30.000000 	 11.128946 	 1.977075 	 -2.150607 	 1.418533 
-16.000000 	 30.000000 	 13.500750 	 2.796271 	 -2.489176 	 1.699947 
-17.000000 	 30.000000 	 15.628067 	 2.715960 	 -2.784645 	 1.934976 
-18.000000 	 30.000000 	 16.098357 	 2.503572 	 -2.881977 	 2.297737 
-19.000000 	 30.000000 	 15.097510 	 2.889819 	 -2.797951 	 2.724316 
-20.000000 	 30.000000 	 12.650591 	 3.321278 	 -2.050983 	 3.155168 
-21.000000 	 30.000000 	 9.225918 	 3.205182 	 -0.892975 	 3.033034 
-22.000000 	 30.000000 	 6.696827 	 2.838073 	 -0.260331 	 2.628730 
-23.000000 	 30.000000 	 4.375644 	 2.438014 	 0.177216 	 2.178922 
-24.000000 	 30.000000 	 2.665186 	 1.909956 	 0.435174 	 1.706787 
-25.000000 	 30.000000 	 1.386060 	 1.450554 	 0.670861 	 1.225330 
-26.000000 	 30.000000 	 0.816384 	 1.029774 	 0.665388 	 0.951805 
-27.000000 	 30.000000 	 0.440970 	 0.724013 	 0.620864 	 0.689684 
-28.000000 	 30.000000 	 0.351060 	 0.633443 	 0.625814 	 0.537287 
-29.000000 	 30.000000 	 0.236663 	 0.527367 	 0.591267 	 0.409983 
