RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
40.000000 	 50.000000 	 0.251772 	 0.494832 
38.000000 	 50.000000 	 0.189110 	 0.479856 
36.000000 	 50.000000 	 0.201481 	 0.497510 
34.000000 	 50.000000 	 0.225276 	 0.509619 
33.000000 	 50.000000 	 0.289115 	 0.516781 
32.000000 	 50.000000 	 0.167482 	 0.525524 
31.000000 	 50.000000 	 0.262880 	 0.527765 
30.000000 	 50.000000 	 0.200295 	 0.623140 
29.000000 	 50.000000 	 0.139294 	 0.665629 
28.000000 	 50.000000 	 0.239008 	 0.886552 
27.000000 	 50.000000 	 0.196408 	 1.121325 
26.000000 	 50.000000 	 0.341061 	 1.433275 
25.000000 	 50.000000 	 0.261206 	 1.753113 
24.000000 	 50.000000 	 0.340338 	 2.082879 
23.000000 	 50.000000 	 0.481188 	 2.358202 
22.000000 	 50.000000 	 0.521522 	 2.376155 
21.000000 	 50.000000 	 0.535148 	 2.302237 
20.000000 	 50.000000 	 0.602921 	 2.057360 
19.000000 	 50.000000 	 0.566084 	 1.923997 
18.000000 	 50.000000 	 0.550185 	 1.834727 
17.000000 	 50.000000 	 0.551864 	 1.520341 
16.000000 	 50.000000 	 0.518669 	 1.430322 
15.000000 	 50.000000 	 0.456374 	 1.279926 
14.000000 	 50.000000 	 0.384969 	 1.133787 
13.000000 	 50.000000 	 0.300817 	 1.016935 
12.000000 	 50.000000 	 0.174789 	 0.933011 
11.000000 	 50.000000 	 0.165570 	 0.858504 
10.000000 	 50.000000 	 0.126588 	 0.819039 
9.000000 	 50.000000 	 0.128017 	 0.786495 
8.000000 	 50.000000 	 0.137112 	 0.784171 
7.000000 	 50.000000 	 0.142813 	 0.785407 
6.000000 	 50.000000 	 0.159083 	 0.783583 
5.000000 	 50.000000 	 0.148898 	 0.709668 
4.000000 	 50.000000 	 0.169045 	 0.653534 
3.000000 	 50.000000 	 0.156413 	 0.634699 
2.000000 	 50.000000 	 0.157129 	 0.642252 
1.000000 	 50.000000 	 0.088795 	 0.641485 
0.000000 	 50.000000 	 0.024581 	 0.625258 
-1.000000 	 50.000000 	 -0.033359 	 0.617563 
-2.000000 	 50.000000 	 -0.059149 	 0.603265 
-3.000000 	 50.000000 	 -0.008340 	 0.624588 
-4.000000 	 50.000000 	 0.030788 	 0.689482 
-5.000000 	 50.000000 	 0.054429 	 0.742466 
-6.000000 	 50.000000 	 0.079558 	 0.767542 
-7.000000 	 50.000000 	 0.107300 	 0.785457 
-8.000000 	 50.000000 	 0.135760 	 0.814738 
-9.000000 	 50.000000 	 0.132967 	 0.804714 
-10.000000 	 50.000000 	 0.121215 	 0.832611 
-11.000000 	 50.000000 	 0.105528 	 0.866002 
-12.000000 	 50.000000 	 0.079548 	 0.894358 
-13.000000 	 50.000000 	 0.100054 	 0.973537 
-14.000000 	 50.000000 	 0.047305 	 1.091893 
-15.000000 	 50.000000 	 0.036625 	 1.236408 
-16.000000 	 50.000000 	 0.004221 	 1.362192 
-17.000000 	 50.000000 	 -0.018371 	 1.489454 
-18.000000 	 50.000000 	 -0.005374 	 1.658258 
-19.000000 	 50.000000 	 0.061297 	 1.814098 
-20.000000 	 50.000000 	 0.082641 	 2.087738 
-21.000000 	 50.000000 	 0.169708 	 2.342667 
-22.000000 	 50.000000 	 0.150881 	 2.305126 
-23.000000 	 50.000000 	 0.211818 	 2.269123 
-24.000000 	 50.000000 	 0.251556 	 2.080461 
-25.000000 	 50.000000 	 0.386557 	 1.785136 
-26.000000 	 50.000000 	 0.365640 	 1.366832 
-27.000000 	 50.000000 	 0.434333 	 1.089462 
-28.000000 	 50.000000 	 0.392334 	 0.859500 
-29.000000 	 50.000000 	 0.365652 	 0.733382 
-30.000000 	 50.000000 	 0.352632 	 0.597490 
-31.000000 	 50.000000 	 0.279244 	 0.547780 
-32.000000 	 50.000000 	 0.362515 	 0.507712 
-33.000000 	 50.000000 	 0.249571 	 0.554663 
-34.000000 	 50.000000 	 0.262866 	 0.543777 
-36.000000 	 50.000000 	 0.273264 	 0.576056 
-38.000000 	 50.000000 	 0.186851 	 0.560307 
-40.000000 	 50.000000 	 0.189089 	 0.547162 
