RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
46.000000 	 50.000000 	 0.167661 	 0.645351 
43.000000 	 50.000000 	 0.361475 	 0.995801 
40.000000 	 50.000000 	 0.750756 	 1.549581 
38.000000 	 50.000000 	 1.536431 	 2.200748 
36.000000 	 50.000000 	 2.099828 	 2.465979 
34.000000 	 50.000000 	 2.573822 	 2.558274 
33.000000 	 50.000000 	 2.987590 	 2.657004 
32.000000 	 50.000000 	 3.145963 	 2.539539 
31.000000 	 50.000000 	 3.521097 	 2.514064 
30.000000 	 50.000000 	 3.680176 	 2.390586 
29.000000 	 50.000000 	 3.996586 	 2.212139 
28.000000 	 50.000000 	 4.092910 	 2.051380 
27.000000 	 50.000000 	 3.984621 	 1.873807 
26.000000 	 50.000000 	 3.806797 	 1.855247 
25.000000 	 50.000000 	 3.333919 	 1.771436 
24.000000 	 50.000000 	 2.795924 	 1.776721 
23.000000 	 50.000000 	 2.261706 	 1.713616 
22.000000 	 50.000000 	 1.725194 	 1.523956 
21.000000 	 50.000000 	 1.099128 	 1.557767 
20.000000 	 50.000000 	 0.659701 	 1.561604 
19.000000 	 50.000000 	 0.332811 	 1.528128 
18.000000 	 50.000000 	 0.238134 	 1.478598 
17.000000 	 50.000000 	 0.258171 	 1.608508 
16.000000 	 50.000000 	 0.184213 	 1.632768 
15.000000 	 50.000000 	 0.216011 	 1.542458 
14.000000 	 50.000000 	 0.240748 	 1.618102 
13.000000 	 50.000000 	 0.340434 	 1.423388 
12.000000 	 50.000000 	 0.209690 	 1.482457 
11.000000 	 50.000000 	 0.235281 	 1.390670 
10.000000 	 50.000000 	 0.123257 	 1.411393 
9.000000 	 50.000000 	 0.249398 	 1.304166 
8.000000 	 50.000000 	 0.276479 	 1.346331 
7.000000 	 50.000000 	 0.263403 	 1.241232 
6.000000 	 50.000000 	 0.197066 	 1.136744 
5.000000 	 50.000000 	 0.117490 	 1.200294 
4.000000 	 50.000000 	 0.120532 	 1.148251 
3.000000 	 50.000000 	 0.139307 	 1.108009 
2.000000 	 50.000000 	 0.029439 	 1.058047 
1.000000 	 50.000000 	 0.071791 	 1.149402 
0.000000 	 50.000000 	 -0.024899 	 1.076615 
-1.000000 	 50.000000 	 -0.041469 	 1.065390 
-2.000000 	 50.000000 	 -0.115818 	 1.194237 
-3.000000 	 50.000000 	 -0.214676 	 1.137163 
-4.000000 	 50.000000 	 -0.229887 	 1.203599 
-5.000000 	 50.000000 	 -0.228649 	 1.177336 
-6.000000 	 50.000000 	 -0.201348 	 1.210471 
-7.000000 	 50.000000 	 -0.185669 	 1.313159 
-8.000000 	 50.000000 	 -0.215914 	 1.401303 
-9.000000 	 50.000000 	 -0.318009 	 1.467854 
-10.000000 	 50.000000 	 -0.219461 	 1.440662 
-11.000000 	 50.000000 	 -0.279464 	 1.545194 
-12.000000 	 50.000000 	 -0.209424 	 1.638466 
-13.000000 	 50.000000 	 -0.121563 	 1.588750 
-14.000000 	 50.000000 	 -0.156077 	 1.647653 
-15.000000 	 50.000000 	 -0.124598 	 1.577087 
-16.000000 	 50.000000 	 -0.253771 	 1.681703 
-17.000000 	 50.000000 	 -0.170897 	 1.735930 
-18.000000 	 50.000000 	 -0.237794 	 1.686835 
-19.000000 	 50.000000 	 -0.653671 	 1.724717 
-20.000000 	 50.000000 	 -1.323458 	 1.841107 
-21.000000 	 50.000000 	 -1.814594 	 1.852721 
-22.000000 	 50.000000 	 -2.454577 	 1.885040 
-23.000000 	 50.000000 	 -2.950925 	 1.909862 
-24.000000 	 50.000000 	 -3.232548 	 2.019184 
-25.000000 	 50.000000 	 -3.566758 	 2.092343 
-26.000000 	 50.000000 	 -3.484302 	 2.342857 
-27.000000 	 50.000000 	 -3.364274 	 2.508435 
-28.000000 	 50.000000 	 -3.094636 	 2.716044 
-29.000000 	 50.000000 	 -2.788934 	 2.873165 
-30.000000 	 50.000000 	 -2.479176 	 2.925260 
-31.000000 	 50.000000 	 -2.189007 	 2.930407 
-32.000000 	 50.000000 	 -1.683458 	 2.953752 
-33.000000 	 50.000000 	 -1.475407 	 2.912772 
-34.000000 	 50.000000 	 -1.267096 	 2.612621 
-36.000000 	 50.000000 	 -0.470819 	 2.152522 
-38.000000 	 50.000000 	 -0.147111 	 1.484311 
-40.000000 	 50.000000 	 0.127255 	 1.244613 
-43.000000 	 50.000000 	 0.191986 	 0.710013 
-46.000000 	 50.000000 	 0.100169 	 0.627582 
