RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 30.000000 	 0.238111 	 0.487562 
34.000000 	 30.000000 	 0.188478 	 0.543344 
33.000000 	 30.000000 	 0.143944 	 0.491843 
32.000000 	 30.000000 	 0.157625 	 0.465614 
31.000000 	 30.000000 	 0.117590 	 0.497075 
30.000000 	 30.000000 	 0.128625 	 0.493056 
29.000000 	 30.000000 	 0.116663 	 0.526506 
28.000000 	 30.000000 	 0.103958 	 0.478124 
27.000000 	 30.000000 	 0.082781 	 0.472756 
26.000000 	 30.000000 	 0.088725 	 0.460324 
25.000000 	 30.000000 	 -0.006397 	 0.556020 
24.000000 	 30.000000 	 -0.021900 	 0.563710 
23.000000 	 30.000000 	 -0.049482 	 0.677542 
22.000000 	 30.000000 	 0.057365 	 1.021992 
21.000000 	 30.000000 	 0.024166 	 1.563637 
20.000000 	 30.000000 	 0.272663 	 2.144646 
19.000000 	 30.000000 	 0.288425 	 2.420182 
18.000000 	 30.000000 	 0.416806 	 2.506246 
17.000000 	 30.000000 	 0.404140 	 2.273123 
16.000000 	 30.000000 	 0.538195 	 1.912150 
15.000000 	 30.000000 	 0.628837 	 1.457353 
14.000000 	 30.000000 	 0.605201 	 1.654878 
13.000000 	 30.000000 	 0.474365 	 1.720014 
12.000000 	 30.000000 	 0.335311 	 1.529540 
11.000000 	 30.000000 	 0.250105 	 1.235985 
10.000000 	 30.000000 	 0.205081 	 1.028875 
9.000000 	 30.000000 	 0.234672 	 0.944013 
8.000000 	 30.000000 	 0.200820 	 0.870693 
7.000000 	 30.000000 	 0.150618 	 0.858119 
6.000000 	 30.000000 	 0.122929 	 0.844486 
5.000000 	 30.000000 	 0.087500 	 0.828730 
4.000000 	 30.000000 	 0.071307 	 0.813763 
3.000000 	 30.000000 	 0.033949 	 0.771420 
2.000000 	 30.000000 	 -0.048880 	 0.724268 
1.000000 	 30.000000 	 -0.055390 	 0.656964 
0.000000 	 30.000000 	 -0.154835 	 0.618788 
-1.000000 	 30.000000 	 -0.170085 	 0.655770 
-2.000000 	 30.000000 	 -0.171519 	 0.644170 
-3.000000 	 30.000000 	 -0.085949 	 0.666831 
-4.000000 	 30.000000 	 -0.052715 	 0.745629 
-5.000000 	 30.000000 	 0.013633 	 0.804536 
-6.000000 	 30.000000 	 0.010897 	 0.819355 
-7.000000 	 30.000000 	 0.061879 	 0.876526 
-8.000000 	 30.000000 	 0.100443 	 0.902741 
-9.000000 	 30.000000 	 0.111044 	 0.951706 
-10.000000 	 30.000000 	 0.093148 	 1.023805 
-11.000000 	 30.000000 	 0.086809 	 1.192315 
-12.000000 	 30.000000 	 -0.013415 	 1.445304 
-13.000000 	 30.000000 	 -0.083464 	 1.641475 
-14.000000 	 30.000000 	 -0.059722 	 1.533192 
-15.000000 	 30.000000 	 -0.057103 	 1.431801 
-16.000000 	 30.000000 	 -0.062099 	 1.827126 
-17.000000 	 30.000000 	 -0.066001 	 2.271111 
-18.000000 	 30.000000 	 -0.064099 	 2.441417 
-19.000000 	 30.000000 	 -0.070554 	 2.263497 
-20.000000 	 30.000000 	 -0.062917 	 1.890257 
-21.000000 	 30.000000 	 -0.038219 	 1.327481 
-22.000000 	 30.000000 	 0.001974 	 0.828830 
-23.000000 	 30.000000 	 -0.031508 	 0.619696 
-24.000000 	 30.000000 	 0.013661 	 0.547295 
-25.000000 	 30.000000 	 -0.059212 	 0.527325 
-26.000000 	 30.000000 	 0.005511 	 0.538153 
-27.000000 	 30.000000 	 0.098046 	 0.524773 
-28.000000 	 30.000000 	 0.069427 	 0.514028 
-29.000000 	 30.000000 	 0.119102 	 0.528176 
-30.000000 	 30.000000 	 0.398028 	 0.555650 
-31.000000 	 30.000000 	 0.368876 	 0.503818 
-32.000000 	 30.000000 	 0.311638 	 0.526901 
-33.000000 	 30.000000 	 0.476149 	 0.501600 
-34.000000 	 30.000000 	 0.506952 	 0.517677 
-35.000000 	 30.000000 	 0.558420 	 0.530514 
