RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
25.000000 	 2.000000 	 0.151677 	 0.398682 	 -0.535525 	 0.215578 
24.000000 	 2.000000 	 0.179920 	 0.378066 	 -0.519483 	 0.217910 
23.000000 	 2.000000 	 0.278889 	 0.353389 	 -0.513202 	 0.215487 
22.000000 	 2.000000 	 0.227495 	 0.394259 	 -0.547953 	 0.199378 
21.000000 	 2.000000 	 0.252079 	 0.411486 	 -0.591940 	 0.195794 
20.000000 	 2.000000 	 0.351829 	 0.388808 	 -0.660004 	 0.197363 
19.000000 	 2.000000 	 0.370557 	 0.455996 	 -0.707011 	 0.287074 
18.000000 	 2.000000 	 3.266491 	 2.399396 	 0.157133 	 1.485071 
17.000000 	 2.000000 	 16.931647 	 1.910357 	 0.856363 	 1.069871 
16.000000 	 2.000000 	 17.894124 	 1.309127 	 0.761860 	 0.921880 
15.000000 	 2.000000 	 17.800718 	 1.183025 	 0.487049 	 0.818125 
14.000000 	 2.000000 	 16.622769 	 1.553944 	 0.076414 	 0.854036 
13.000000 	 2.000000 	 8.673186 	 3.337690 	 -0.529187 	 1.840953 
12.000000 	 2.000000 	 7.657454 	 1.524606 	 1.432319 	 0.764815 
11.000000 	 2.000000 	 9.740473 	 1.083998 	 1.387169 	 0.522693 
10.000000 	 2.000000 	 10.255799 	 0.867686 	 1.354142 	 0.542150 
9.000000 	 2.000000 	 10.052344 	 1.096095 	 1.275862 	 0.587887 
8.000000 	 2.000000 	 8.435272 	 1.759596 	 1.109077 	 0.671623 
7.000000 	 2.000000 	 5.814265 	 1.841818 	 0.556834 	 0.590975 
6.000000 	 2.000000 	 1.531452 	 0.452107 	 0.732062 	 0.345955 
5.000000 	 2.000000 	 -0.164776 	 0.466797 	 0.966693 	 0.236164 
4.000000 	 2.000000 	 -1.527468 	 0.515852 	 1.036210 	 0.223584 
3.000000 	 2.000000 	 -2.481685 	 0.509320 	 0.952214 	 0.225212 
2.000000 	 2.000000 	 -3.034598 	 0.475337 	 0.743715 	 0.233738 
1.000000 	 2.000000 	 -3.371972 	 0.411386 	 0.489542 	 0.218880 
0.000000 	 2.000000 	 -3.455876 	 0.413442 	 0.176154 	 0.223035 
-1.000000 	 2.000000 	 -3.404354 	 0.424733 	 -0.124189 	 0.222228 
-2.000000 	 2.000000 	 -3.143420 	 0.469677 	 -0.426501 	 0.226374 
-3.000000 	 2.000000 	 -2.609081 	 0.527381 	 -0.674459 	 0.230656 
-4.000000 	 2.000000 	 -1.308742 	 0.625518 	 -0.980171 	 0.269067 
-5.000000 	 2.000000 	 -0.350761 	 0.436084 	 -0.898489 	 0.229307 
-6.000000 	 2.000000 	 1.286671 	 0.419055 	 -0.825063 	 0.304019 
-7.000000 	 2.000000 	 4.586309 	 1.695099 	 -0.857015 	 0.514496 
-8.000000 	 2.000000 	 7.783020 	 1.920192 	 -1.557070 	 0.567748 
-9.000000 	 2.000000 	 9.386247 	 1.095831 	 -1.999262 	 0.514436 
-10.000000 	 2.000000 	 9.520761 	 0.870008 	 -2.072210 	 0.500808 
-11.000000 	 2.000000 	 8.599899 	 1.121822 	 -2.094218 	 0.533880 
-12.000000 	 2.000000 	 2.985882 	 1.903681 	 -1.228694 	 1.664132 
-13.000000 	 2.000000 	 14.802733 	 2.525737 	 0.325416 	 1.234834 
-14.000000 	 2.000000 	 18.785313 	 1.505593 	 -0.184174 	 0.842874 
-15.000000 	 2.000000 	 19.993047 	 1.196082 	 -0.461405 	 0.821411 
-16.000000 	 2.000000 	 19.627075 	 1.566977 	 -0.540830 	 1.046891 
-17.000000 	 2.000000 	 15.216934 	 3.693328 	 -0.209630 	 1.493429 
-18.000000 	 2.000000 	 0.699040 	 0.708393 	 0.878241 	 0.686989 
-19.000000 	 2.000000 	 0.764692 	 0.366344 	 0.825408 	 0.221935 
-20.000000 	 2.000000 	 0.829919 	 0.387234 	 0.705005 	 0.184952 
-21.000000 	 2.000000 	 0.823876 	 0.399757 	 0.614918 	 0.189687 
-22.000000 	 2.000000 	 0.895223 	 0.390346 	 0.567280 	 0.188482 
-23.000000 	 2.000000 	 0.891542 	 0.390331 	 0.520544 	 0.191729 
-24.000000 	 2.000000 	 0.958843 	 0.399009 	 0.470490 	 0.189439 
-25.000000 	 2.000000 	 0.940910 	 0.395754 	 0.442011 	 0.193277 
