RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
35.000000 	 30.000000 	 0.300183 	 0.669874 
34.000000 	 30.000000 	 0.340303 	 0.849609 
33.000000 	 30.000000 	 0.607075 	 1.250629 
32.000000 	 30.000000 	 0.880162 	 1.552425 
31.000000 	 30.000000 	 1.276783 	 2.048007 
30.000000 	 30.000000 	 1.724892 	 2.459136 
29.000000 	 30.000000 	 2.597872 	 2.958836 
28.000000 	 30.000000 	 3.341483 	 3.204172 
27.000000 	 30.000000 	 3.901954 	 3.306798 
26.000000 	 30.000000 	 4.809769 	 3.256124 
25.000000 	 30.000000 	 5.490098 	 3.023187 
24.000000 	 30.000000 	 5.838944 	 2.853638 
23.000000 	 30.000000 	 5.772125 	 2.613789 
22.000000 	 30.000000 	 5.058354 	 2.550413 
21.000000 	 30.000000 	 4.147425 	 2.539508 
20.000000 	 30.000000 	 2.822164 	 2.135828 
19.000000 	 30.000000 	 2.002047 	 1.941952 
18.000000 	 30.000000 	 1.209591 	 1.554008 
17.000000 	 30.000000 	 0.509695 	 1.084997 
16.000000 	 30.000000 	 0.344125 	 1.074011 
15.000000 	 30.000000 	 0.278633 	 1.095819 
14.000000 	 30.000000 	 0.209589 	 1.189363 
13.000000 	 30.000000 	 0.218250 	 1.362425 
12.000000 	 30.000000 	 0.257165 	 1.351531 
11.000000 	 30.000000 	 0.162885 	 1.558763 
10.000000 	 30.000000 	 0.119178 	 1.528533 
9.000000 	 30.000000 	 0.200065 	 1.421156 
8.000000 	 30.000000 	 0.045702 	 1.539571 
7.000000 	 30.000000 	 0.084532 	 1.312492 
6.000000 	 30.000000 	 0.065479 	 1.321455 
5.000000 	 30.000000 	 0.055934 	 1.278495 
4.000000 	 30.000000 	 0.041318 	 1.202188 
3.000000 	 30.000000 	 -0.000032 	 1.179484 
2.000000 	 30.000000 	 -0.068150 	 1.152092 
1.000000 	 30.000000 	 0.006013 	 1.150955 
0.000000 	 30.000000 	 -0.066305 	 1.088563 
-1.000000 	 30.000000 	 -0.074343 	 1.074972 
-2.000000 	 30.000000 	 -0.104565 	 1.161798 
-3.000000 	 30.000000 	 -0.163705 	 1.215998 
-4.000000 	 30.000000 	 -0.110480 	 1.240796 
-5.000000 	 30.000000 	 0.012694 	 1.350327 
-6.000000 	 30.000000 	 -0.036026 	 1.391527 
-7.000000 	 30.000000 	 -0.017130 	 1.447708 
-8.000000 	 30.000000 	 -0.030766 	 1.412084 
-9.000000 	 30.000000 	 -0.044092 	 1.517245 
-10.000000 	 30.000000 	 0.049369 	 1.528460 
-11.000000 	 30.000000 	 -0.032005 	 1.324514 
-12.000000 	 30.000000 	 0.066034 	 1.220012 
-13.000000 	 30.000000 	 0.069209 	 1.159986 
-14.000000 	 30.000000 	 0.082702 	 0.997078 
-15.000000 	 30.000000 	 0.035101 	 0.999411 
-16.000000 	 30.000000 	 -0.224896 	 1.084854 
-17.000000 	 30.000000 	 -1.116751 	 1.610050 
-18.000000 	 30.000000 	 -2.179526 	 2.069208 
-19.000000 	 30.000000 	 -3.369410 	 2.416205 
-20.000000 	 30.000000 	 -4.518983 	 2.581146 
-21.000000 	 30.000000 	 -5.400950 	 2.595339 
-22.000000 	 30.000000 	 -5.875171 	 2.714643 
-23.000000 	 30.000000 	 -5.690714 	 2.983998 
-24.000000 	 30.000000 	 -5.122614 	 3.413061 
-25.000000 	 30.000000 	 -4.329156 	 3.584340 
-26.000000 	 30.000000 	 -3.591308 	 3.514879 
-27.000000 	 30.000000 	 -2.521337 	 3.120605 
-28.000000 	 30.000000 	 -1.630693 	 2.712786 
-29.000000 	 30.000000 	 -0.361740 	 1.701511 
-30.000000 	 30.000000 	 -0.205049 	 1.220728 
-31.000000 	 30.000000 	 0.187497 	 0.914243 
-32.000000 	 30.000000 	 0.241170 	 0.707492 
-33.000000 	 30.000000 	 0.257020 	 0.646933 
-34.000000 	 30.000000 	 0.150785 	 0.589042 
-35.000000 	 30.000000 	 0.217277 	 0.562455 
