RadialPosition (mm) 	 AxialPosition (mm) 	 UAxialMean (m/s) 	 UAxialRMS (m/s) 	 VRadialMean (m/s) 	 VRadialRMS (m/s) 
35.000000 	 30.000000 	 0.347929 	 0.450349 	 -0.433884 	 0.265406 
34.000000 	 30.000000 	 0.412828 	 0.452139 	 -0.416523 	 0.262386 
33.000000 	 30.000000 	 0.392121 	 0.459828 	 -0.416779 	 0.264072 
32.000000 	 30.000000 	 0.430139 	 0.459189 	 -0.430109 	 0.282534 
31.000000 	 30.000000 	 0.372094 	 0.473764 	 -0.422709 	 0.313832 
30.000000 	 30.000000 	 0.409070 	 0.464396 	 -0.469618 	 0.339499 
29.000000 	 30.000000 	 0.367387 	 0.496503 	 -0.517920 	 0.343975 
28.000000 	 30.000000 	 0.377683 	 0.523867 	 -0.490813 	 0.396753 
27.000000 	 30.000000 	 0.389749 	 0.565984 	 -0.517352 	 0.450427 
26.000000 	 30.000000 	 0.388347 	 0.602085 	 -0.520165 	 0.529956 
25.000000 	 30.000000 	 0.470766 	 0.711219 	 -0.514254 	 0.681189 
24.000000 	 30.000000 	 0.737560 	 0.936490 	 -0.481777 	 0.895759 
23.000000 	 30.000000 	 1.457852 	 1.397411 	 -0.445911 	 1.172514 
22.000000 	 30.000000 	 3.044719 	 2.099346 	 -0.306739 	 1.618770 
21.000000 	 30.000000 	 5.596083 	 2.844934 	 0.135339 	 2.140083 
20.000000 	 30.000000 	 8.588575 	 3.268654 	 0.519087 	 2.517298 
19.000000 	 30.000000 	 12.079288 	 3.465324 	 0.677096 	 2.615834 
18.000000 	 30.000000 	 16.398730 	 3.164314 	 1.486503 	 2.437728 
17.000000 	 30.000000 	 18.842469 	 2.537578 	 1.365526 	 2.212081 
16.000000 	 30.000000 	 19.366927 	 2.254625 	 1.248954 	 1.937660 
15.000000 	 30.000000 	 17.367145 	 2.776541 	 1.157636 	 1.840031 
14.000000 	 30.000000 	 14.612024 	 2.626570 	 1.023015 	 1.754238 
13.000000 	 30.000000 	 12.591107 	 2.081910 	 0.616121 	 1.507217 
12.000000 	 30.000000 	 10.814839 	 1.295854 	 0.569131 	 1.107479 
11.000000 	 30.000000 	 10.417290 	 0.979106 	 0.160530 	 0.817386 
10.000000 	 30.000000 	 10.409734 	 0.880734 	 -0.465073 	 0.759691 
9.000000 	 30.000000 	 10.600555 	 0.829696 	 -1.215114 	 0.666785 
8.000000 	 30.000000 	 10.712416 	 0.727166 	 -1.586499 	 0.559722 
7.000000 	 30.000000 	 10.636727 	 0.693389 	 -1.697672 	 0.548428 
6.000000 	 30.000000 	 10.423098 	 0.730285 	 -1.658400 	 0.521644 
5.000000 	 30.000000 	 10.035170 	 0.704429 	 -1.600470 	 0.517625 
4.000000 	 30.000000 	 9.441686 	 0.700394 	 -1.490762 	 0.510701 
3.000000 	 30.000000 	 8.878883 	 0.700487 	 -1.376935 	 0.511417 
2.000000 	 30.000000 	 8.314301 	 0.689753 	 -1.176312 	 0.547958 
1.000000 	 30.000000 	 7.851721 	 0.659385 	 -0.951154 	 0.586937 
0.000000 	 30.000000 	 7.605247 	 0.625203 	 -0.754145 	 0.619921 
-1.000000 	 30.000000 	 7.465665 	 0.613897 	 -0.497772 	 0.614888 
-2.000000 	 30.000000 	 7.627030 	 0.643507 	 -0.284416 	 0.596652 
-3.000000 	 30.000000 	 7.970253 	 0.682437 	 -0.105020 	 0.563082 
-4.000000 	 30.000000 	 8.564436 	 0.755478 	 0.067162 	 0.513181 
-5.000000 	 30.000000 	 9.195499 	 0.778496 	 0.180906 	 0.507280 
-6.000000 	 30.000000 	 9.844437 	 0.776641 	 0.250115 	 0.530824 
-7.000000 	 30.000000 	 10.404715 	 0.765330 	 0.341335 	 0.539391 
-8.000000 	 30.000000 	 10.636588 	 0.738230 	 0.390089 	 0.554110 
-9.000000 	 30.000000 	 10.792978 	 0.795581 	 0.366122 	 0.557141 
-10.000000 	 30.000000 	 10.577822 	 0.840194 	 0.137397 	 0.588636 
-11.000000 	 30.000000 	 10.269283 	 0.900879 	 -0.362248 	 0.678627 
-12.000000 	 30.000000 	 10.115917 	 0.944431 	 -1.021482 	 0.741921 
-13.000000 	 30.000000 	 10.100667 	 1.120695 	 -1.587476 	 0.867102 
-14.000000 	 30.000000 	 11.026820 	 1.726564 	 -1.913226 	 1.150477 
-15.000000 	 30.000000 	 12.214761 	 2.192116 	 -2.197033 	 1.374051 
-16.000000 	 30.000000 	 14.148184 	 2.166314 	 -2.279390 	 1.544747 
-17.000000 	 30.000000 	 14.415203 	 1.940203 	 -2.503131 	 1.797040 
-18.000000 	 30.000000 	 12.772457 	 2.505320 	 -2.069995 	 2.271000 
-19.000000 	 30.000000 	 9.816939 	 2.671247 	 -1.132875 	 2.312814 
-20.000000 	 30.000000 	 7.333135 	 2.428552 	 -0.631584 	 2.201963 
-21.000000 	 30.000000 	 4.969373 	 2.284780 	 -0.224310 	 1.873017 
