RadialPosition (mm) 	 AxialPosition (mm) 	 WAxialMean (m/s) 	 WAxialRMS (m/s) 
25.000000 	 2.000000 	 0.294046 	 0.433492 
24.000000 	 2.000000 	 0.324688 	 0.451893 
23.000000 	 2.000000 	 0.367161 	 0.432094 
22.000000 	 2.000000 	 0.384997 	 0.414155 
21.000000 	 2.000000 	 0.383160 	 0.405722 
20.000000 	 2.000000 	 0.393039 	 0.401933 
19.000000 	 2.000000 	 0.414569 	 0.599713 
18.000000 	 2.000000 	 0.411253 	 2.051274 
17.000000 	 2.000000 	 0.703072 	 1.281227 
16.000000 	 2.000000 	 0.890244 	 0.970959 
15.000000 	 2.000000 	 0.864675 	 1.035318 
14.000000 	 2.000000 	 0.680906 	 1.491478 
13.000000 	 2.000000 	 0.277639 	 1.897722 
12.000000 	 2.000000 	 0.328982 	 1.167548 
11.000000 	 2.000000 	 0.359561 	 1.186955 
10.000000 	 2.000000 	 0.347593 	 1.177569 
9.000000 	 2.000000 	 0.358330 	 1.107909 
8.000000 	 2.000000 	 0.300632 	 0.968195 
7.000000 	 2.000000 	 -0.038017 	 0.734425 
6.000000 	 2.000000 	 -0.140120 	 0.535980 
5.000000 	 2.000000 	 -0.038923 	 0.467210 
4.000000 	 2.000000 	 0.089402 	 0.431046 
3.000000 	 2.000000 	 0.099087 	 0.418080 
2.000000 	 2.000000 	 0.088271 	 0.413765 
1.000000 	 2.000000 	 0.040109 	 0.412494 
0.000000 	 2.000000 	 -0.007972 	 0.391704 
-1.000000 	 2.000000 	 -0.041840 	 0.430397 
-2.000000 	 2.000000 	 -0.059929 	 0.415885 
-3.000000 	 2.000000 	 -0.091258 	 0.435594 
-4.000000 	 2.000000 	 -0.173992 	 0.437706 
-5.000000 	 2.000000 	 -0.336315 	 0.503169 
-6.000000 	 2.000000 	 -0.292006 	 0.614935 
-7.000000 	 2.000000 	 0.101093 	 0.886944 
-8.000000 	 2.000000 	 0.111984 	 1.070705 
-9.000000 	 2.000000 	 0.078176 	 1.129028 
-10.000000 	 2.000000 	 0.007748 	 1.091608 
-11.000000 	 2.000000 	 -0.065444 	 1.162638 
-12.000000 	 2.000000 	 -0.218046 	 1.878930 
-13.000000 	 2.000000 	 -0.170276 	 1.199018 
-14.000000 	 2.000000 	 -0.186363 	 0.944956 
-15.000000 	 2.000000 	 -0.127149 	 1.032465 
-16.000000 	 2.000000 	 -0.215795 	 1.372034 
-17.000000 	 2.000000 	 -0.300143 	 1.723972 
-18.000000 	 2.000000 	 -0.085735 	 0.382344 
-19.000000 	 2.000000 	 -0.070800 	 0.376220 
-20.000000 	 2.000000 	 -0.057903 	 0.380451 
-21.000000 	 2.000000 	 -0.054179 	 0.356764 
-22.000000 	 2.000000 	 -0.051381 	 0.394438 
-23.000000 	 2.000000 	 -0.018767 	 0.397157 
-24.000000 	 2.000000 	 0.010439 	 0.390294 
-25.000000 	 2.000000 	 0.059342 	 0.405072 
